case,event
0,q$0
0,aj$0
0,f
0,m$1
0,c
0,b$1
0,o
0,m$0
0,ab
0,d
0,ar
0,p
0,l
0,aq
1,s
1,m$1
1,f
1,aj$0
1,m$0
1,d
1,ab
1,n
1,ac
1,ah
2,s
2,o
2,p
2,au
3,m$1
3,r$0
3,aj$0
3,al
3,x
3,d
3,b$1
3,ad
3,m$0
3,ab
3,n
3,r$1
3,ao
3,ac
3,i
3,b$0
3,ah
3,as
4,b$1
4,av$1
4,r$0
4,aj$0
4,j
4,c
4,r$1
4,y
4,m$1
4,m$0
4,o
4,d
4,ar
4,ab
4,ao
4,p
4,b$0
4,l
4,i
4,aq
4,as
5,aj$0
5,ap
5,u$1
5,av$1
5,d
5,m$1
5,r$0
5,ao
5,s
5,r$1
5,i
5,b$0
5,m$0
5,aa
6,s
6,aj$0
6,f
6,c
6,y
6,m$1
6,o
6,m$0
6,av$0
6,ab
6,ar
6,p
6,l
6,aq
7,q$0
7,r$0
7,aj$0
7,j
7,aj$1
7,q$1
7,c
7,m$1
7,o
7,av$0
7,r$1
7,m$0
7,d
7,ao
7,b$0
7,ar
7,ab
7,i
7,p
7,l
7,aa
7,aq
8,d
8,al
8,m$1
8,b$1
8,at
8,aj$0
8,ap
8,n
8,m$0
8,ac
8,r$0
8,ah
8,ao
8,ab
8,b$0
8,i
8,aa
9,f
9,d
9,q$0
9,n
9,aj$0
9,m$1
9,aj$1
9,m$0
9,ab
9,ac
9,ah
10,m$1
10,aj$0
10,s
10,f
10,d
10,m$0
10,ab
10,n
10,ac
11,s
11,o
11,au
11,p
12,d
12,al
12,aj$0
12,r$0
12,d
12,q$0
12,c
12,m$1
12,aj$1
12,q$1
12,ao
12,b$1
12,o
12,m$0
12,d
12,ab
12,i
12,ar
12,as
12,p
12,l
12,aq
14,aj$0
14,s
14,ap
14,av$1
14,d
14,r$0
14,x
14,m$1
14,ao
14,i
14,b$0
14,n
14,m$0
14,as
14,ac
14,ad
15,ap
15,aj$0
15,d
15,x
15,s
15,am
15,al
15,m$1
15,m$0
15,ad
15,r$0
15,ab
15,ao
15,b$0
15,i
15,aa
16,f
16,aj$0
16,q$0
16,m$1
16,d
16,aj$1
16,am
16,m$0
16,ab
17,q$0
17,q$1
17,aj$0
17,f
17,c
17,m$1
17,aj$1
17,m$0
17,ab
17,o
17,d
17,ar
17,p
17,l
17,aq
18,d
18,al
18,d
18,u$1
18,q$0
18,r$0
18,m$1
18,aj$0
18,ao
18,ap
18,i
18,m$0
18,b$0
18,ab
18,u$0
18,as
19,al
19,y
19,r$0
19,aj$0
19,c
19,m$1
19,d
19,r$1
19,o
19,s
19,m$0
19,ao
19,d
19,ab
19,b$0
19,ar
19,i
19,p
19,as
19,l
20,a
20,au
20,p
21,al
21,q$0
21,r$0
21,aj$0
21,r$1
21,aj$1
21,j
21,c
21,o
21,m$1
21,q$1
21,ao
21,m$0
21,b$0
21,i
21,d
21,ab
21,aa
21,ar
21,p
21,l
21,aq
22,c
22,aj$0
22,m$1
22,y
22,s
22,o
22,f
22,m$0
22,av$0
22,ar
22,ab
22,p
22,l
22,aq
