case,event
0,q$1
0,aj$1
0,f
0,m$1$0
0,c
0,b$1
0,o$0
0,m$0$1
0,ab$1
0,d$0$0$0
0,ar
0,p$0
0,l
0,aq
1,s
1,m$1$1
1,f
1,aj$1
1,m$0$1
1,d$0$1$0
1,ab$1
1,n$0
1,ac
1,ah
2,s
2,o$1
2,p$1
2,au
3,m$1$1
3,r$0$1
3,aj$1
3,al
3,x
3,d$0$1$0
3,b$1
3,ad$1
3,m$0$1
3,ab$1
3,n$0
3,r$1
3,ao$0
3,ac
3,i$0
3,b$0$1
3,ah
3,as
4,b$1
4,av$0$1
4,r$0$1
4,aj$1
4,j$1
4,c
4,r$1
4,y
4,m$1$0
4,m$0$0
4,o$0
4,d$0$0$0
4,ar
4,ab$0
4,ao$0
4,p$0
4,b$0$1
4,l
4,i$0
4,aq
4,as
5,aj$1
5,ap$1
5,u$0$1
5,av$0$1
5,d$0$1$0
5,m$1$1
5,r$0$0
5,ao$1
5,s
5,r$1
5,i$1
5,b$0$0$0
5,m$0$0
5,aa
6,s
6,aj$1
6,f
6,c
6,y
6,m$1$0
6,o$0
6,m$0$1
6,av$0$0
6,ab$1
6,ar
6,p$0
6,l
6,aq
7,q$1
7,r$0$1
7,aj$1
7,j$1
7,aj$0$0
7,q$0$1
7,c
7,m$1$0
7,o$0
7,av$0$0
7,r$1
7,m$0$0
7,d$0$0$0
7,ao$0
7,b$0$0$0
7,ar
7,ab$0
7,i$0
7,p$0
7,l
7,aa
7,aq
8,d$0$1$0
8,al
8,m$1$1
8,b$1
8,at
8,aj$1
8,ap$0
8,n$0
8,m$0$1
8,ac
8,r$0$0
8,ah
8,ao$0
8,ab$0
8,b$0$1
8,i$0
8,aa
9,f
9,d$0$1$0
9,q$1
9,n$1
9,aj$1
9,m$1$1
9,aj$0$0
9,m$0$1
9,ab$1
9,ac
9,ah
12,d$0$1$0
12,al
12,aj$1
12,r$0$1
12,d$0$1$1
12,q$0$0
12,c
12,m$1$0
12,aj$0$0
12,q$0$1
12,ao$0
12,b$0$0$0
12,o$0
12,m$0$0
12,d$1
12,ab$0
12,i$0
12,ar
12,as
12,p$0
12,l
12,aq
14,aj$1
14,s
14,ap$1
14,av$0$1
14,d$0$1$0
14,r$0$0
14,x
14,m$1$0
14,ao$1
14,i$1
14,b$0$0$0
14,n$0
14,m$0$0
14,as
14,ac
14,ad$0
15,ap$1
15,aj$1
15,d$0$1$0
15,x
15,s
15,am
15,al
15,m$1$0
15,m$0$1
15,ad$0
15,r$0$0
15,ab$1
15,ao$0
15,b$0$0$0
15,i$0
15,aa
16,f
16,aj$1
16,q$1
16,m$1$1
16,d$0$1$0
16,aj$0$0
16,am
16,m$0$1
16,ab$1
17,q$1
17,q$1
17,aj$1
17,f
17,c
17,m$1$0
17,aj$0$0
17,m$0$1
17,ab$1
17,o$0
17,d$0$0$0
17,ar
17,p$0
17,l
17,aq
18,d$0$1$0
18,al
18,d$0$1$1
18,u$0$1
18,q$1
18,r$0$1
18,m$1$0
18,aj$0$1
18,ao$0
18,ap$0
18,i$1
18,m$0$0
18,b$0$0$0
18,ab$0
18,u$1
18,as
21,al
21,q$1
21,r$0$1
21,aj$1
21,r$1
21,aj$0$0
21,j$0
21,c
21,o$0
21,m$1$0
21,q$0$1
21,ao$0
21,m$0$0
21,b$0$0$0
21,i$0
21,d$1
21,ab$0
21,aa
21,ar
21,p$0
21,l
21,aq
22,c
22,aj$1
22,m$1$1
22,y
22,s
22,o$0
22,f
22,m$0$1
22,av$0$0
22,ar
22,ab$1
22,p$0
22,l
22,aq
23,m$1$1
23,c
23,q$1
23,aj$1
23,y
23,u$0$0
23,o$0
23,f
23,m$0$1
23,av$0$0
23,ar
23,p$0
23,ab$0
23,l
23,aq
25,r$0$1
25,z
25,aj$1
25,av$0$1
25,ap$1
25,m$1$1
25,n$0
25,b$1
25,m$0$1
25,ac
25,r$1
25,ah
25,ab$0
25,ao$0
25,b$0$1
25,i$0
25,as
27,m$1$1
27,q$1
27,u$0$1
27,f
27,aj$1
27,d$0$1$0
27,m$0$1
27,ab$1
27,am
28,q$1
28,aj$1
28,f
28,m$1$1
28,aj$0$0
28,d$0$1$0
28,m$0$1
28,ab$1
28,n$0
28,ac
28,ah
29,q$1
29,aj$1
29,u$0$1
29,m$1$1
29,f
29,ap$0
29,u$0$0
29,m$0$1
30,m$1$1
30,r$0$1
30,z
30,aj$1
30,aj$0$0
30,q$0$0
30,al
30,d$0$0$0
30,n$0
30,m$0$1
30,r$1
30,ac
30,ao$0
30,ab$0
30,ah
30,i$0
30,b$0$0$0
30,aa
31,d$0$1$0
31,al
31,q$1
31,s
31,r$0$1
31,c
31,m$1$0
31,z
31,aj$0$1
31,ao$1
31,b$0$0$0
31,o$0
31,m$0$0
31,i$0
31,as
31,d$1
31,ab$0
31,ar
31,p$0
31,l
31,aq
32,m$1$1
32,x
32,d$0$1$0
32,r$0$1
32,ad$1
32,av$0$0
32,s
32,aj$1
32,r$1
32,m$0$1
32,n$0
32,ab$1
32,ao$0
32,ac
32,i$0
32,b$0$0$0
32,ah
32,as
33,q$1
33,f
33,s
33,aj$1
33,c
33,m$1$0
33,m$0$1
33,o$0
33,d$0$0$0
33,ab$1
33,ar
33,p$0
33,l
33,aq
37,s
37,o$1
37,p$1
37,au
38,aj$1
38,y
38,m$1$1
38,c
38,f
38,q$0$0
38,o$0
38,u$0$0
38,m$0$1
38,av$0$0
38,ar
38,ab$1
38,p$0
38,l
38,aq
39,q$1
39,u$0$1
39,m$1$1
39,f
39,aj$1
39,d$0$1$0
39,m$0$1
39,am
39,ab$1
41,aj$1
41,f
41,m$1$1
41,s
41,m$0$1
41,y
41,c
41,ab$1
41,o$0
41,d$0$0$0
41,ar
41,p$0
41,l
41,aq
44,s
44,o$1
44,p$1
44,au
45,av$0$1
45,d$0$1$0
45,aj$1
45,r$0$1
45,d$0$1$1
45,q$0$0
45,m$1$0
45,aj$0$0
45,ao$1
45,x
45,m$0$0
45,n$0
45,i$0
45,b$0$0$0
45,ab$0
45,ad$0
45,ac
46,m$1$1
46,al
46,aj$1
46,c
46,r$0$1
46,r$1
46,b$1
46,q$0$0
46,x
46,o$0
46,ad$0
46,d$0$0$0
46,ao$0
46,b$0$1
46,ar
46,i$0
46,m$0$0
46,ab$0
46,p$0
46,l
46,as
47,j$1
47,aj$1
47,m$1$1
47,av$0$1
47,c
47,d$0$1$0
47,s
47,q$0$0
47,m$0$0
47,r$0$0
47,ao$0
47,o$0
47,d$0$0$1
47,ab$0
47,ar
47,i$0
47,b$0$0$0
47,p$0
47,l
47,as
47,aq
48,d$0$1$0
48,m$1$1
48,r$0$1
48,s
48,al
48,am
48,aj$1
48,d$0$0$1
48,m$0$1
48,r$1
48,ab$1
48,ao$0
48,i$0
48,b$0$0$0
48,aa
50,y
50,m$1$1
50,q$1
50,aj$1
50,c
50,f
50,u$0$0
50,m$0$1
50,ab$1
50,o$0
50,av$0$0
50,ar
50,p$0
50,l
50,aq
51,q$1
51,aj$1
51,d$0$1$0
51,f
51,m$1$1
51,n$0
51,aj$0$0
51,m$0$1
51,ac
51,ab$1
51,ah
53,f
53,aj$1
53,c
53,q$1
53,o$1
53,m$1$0
53,d$0$0$0
53,s
53,ar
53,m$0$1
53,ab$1
53,p$0
53,l
53,aq
54,c
54,q$1
54,aj$1
54,m$1$0
54,f
54,aj$0$0
54,y
54,m$0$1
54,o$0
54,ab$1
54,av$0$0
54,ar
54,p$0
54,l
54,aq
55,u$0$1
55,d$0$1$0
55,q$1
55,m$1$1
55,av$0$1
55,aj$1
55,x
55,d$0$0$1
55,r$0$0
55,m$0$0
55,ad$0
55,ao$0
55,b$0$0$0
55,am
55,ab$0
55,i$0
55,as
56,d$0$1$0
56,r$0$1
56,d$0$1$1
56,m$1$1
56,s
56,aj$1
56,av$0$0
56,r$1
56,am
56,ao$0
56,i$1
56,m$0$0
56,ab$0
56,b$0$0$0
56,as
57,aj$1
57,m$1$1
57,c
57,b$1
57,y
57,f
57,o$0
57,m$0$1
57,ab$1
57,av$0$0
57,ar
57,p$0
57,l
57,aq
59,aj$1
59,j$1
59,al
59,r$0$1
59,ap$1
59,m$1$0
59,n$0
59,b$1
59,r$1
59,ac
59,m$0$0
59,ao$0
59,ah
59,i$0
59,ab$0
59,b$0$1
60,z
60,av$0$1
60,y
60,s
60,m$1$1
60,r$0$0
60,aj$1
60,c
60,r$1
60,ao$1
60,m$0$0
60,i$0
60,ab$0
60,o$0
60,d$1
60,b$0$0$0
60,ar
60,as
60,p$0
60,l
60,aq
61,b$1
61,al
61,r$0$1
61,aj$1
61,z
61,m$1$1
61,q$0$0
61,c
61,o$0
61,r$1
61,m$0$0
61,d$0$0$0
61,ao$0
61,ab$0
61,ar
61,b$0$1
61,i$0
61,p$0
61,l
61,aa
61,aq
63,q$1
63,m$1$1
63,aj$1
63,c
63,b$1
63,f
63,o$0
63,d$0$0$0
63,ar
63,m$0$1
63,ab$1
63,p$0
63,l
63,aq
64,ap$1
64,aj$1
64,u$0$1
64,m$1$1
64,q$0$0
64,u$0$0
64,f
64,m$0$1
64,ab$1
65,f
65,m$1$1
65,q$1
65,aj$1
65,aj$0$0
65,d$0$1$0
65,n$0
65,m$0$1
65,ac
65,ah
65,ab$1
66,s
66,o$1
66,p$1
66,au
68,av$0$1
68,b$1
68,m$1$1
68,aj$1
68,r$0$0
68,c
68,q$0$0
68,o$0
68,ao$1
68,at
68,m$0$0
68,r$1
68,i$0
68,d$0$0$0
68,ab$0
68,ar
68,p$0
68,b$0$1
68,l
68,as
68,aq
69,c
69,d$0$1$0
69,av$0$1
69,m$1$1
69,d$0$1$1
69,r$0$0
69,y
69,ao$1
69,aj$1
69,i$1
69,s
69,m$0$0
69,o$0
69,b$0$0$0
69,as
69,d$1
69,ab$0
69,ar
69,p$0
69,l
69,aq
70,m$1$1
70,d$0$1$0
70,q$1
70,aj$1
70,f
70,u$0$0
70,n$0
70,ac
70,ah
70,m$0$1
70,ab$1
71,r$0$1
71,b$1
71,m$1$1
71,av$0$1
71,j$1
71,aj$1
71,r$1
71,d$0$0$0
71,m$0$1
71,ao$1
71,n$0
71,ab$0
71,i$0
71,ac
71,ah
71,b$0$1
71,as
73,q$1
73,f
73,c
73,b$1
73,m$1$0
73,aj$1
73,o$0
73,m$0$1
73,d$0$0$0
73,ab$1
73,ar
73,p$0
73,l
73,aq
74,q$1
74,r$0$1
74,q$1
74,m$1$1
74,c
74,al
74,aj$1
74,u$0$0
74,m$0$1
74,z
74,r$1
74,o$0
74,ab$0
74,ao$0
74,b$0$0$0
74,d$1
74,i$0
74,ar
74,aa
74,p$0
74,l
74,aq
75,s
75,d$0$1$0
75,d$0$1$1
75,aj$1
75,m$1$1
75,al
75,ap$0
75,m$0$1
75,ab$1
75,n$0
75,r$0$0
75,ac
75,ao$0
75,ah
75,b$0$0$0
75,i$0
75,as
76,y
76,at
76,r$0$1
76,c
76,o$1
76,aj$1
76,al
76,av$0$0
76,aj$0$0
76,m$1$0
76,q$0$0
76,ar
76,r$1
76,m$0$0
76,ao$0
76,p$0
76,i$0
76,ab$0
76,l
76,b$0$0$1
76,aa
76,aq
80,y
80,c
80,o$1
80,d$0$1$0
80,al
80,aj$1
80,m$1$0
80,j$0
80,s
80,m$0$0
80,r$0$0
80,d$0$0$1
80,ar
80,ab$0
80,p$0
80,ao$0
80,i$0
80,b$0$0$1
80,l
80,aa
80,aq
81,q$1
81,c
81,o$1
81,q$1
81,f
81,m$1$0
81,aj$1
81,aj$0$0
81,d$0$0$0
81,m$0$1
81,ab$1
81,ar
81,p$0
81,l
81,aq
82,al
82,c
82,q$1
82,j$1
82,m$1$0
82,aj$1
82,b$1
82,r$0$0
82,r$1
82,o$0
82,m$0$0
82,d$0$0$0
82,ao$0
82,i$0
82,ar
82,ab$0
82,b$0$1
82,aa
82,p$0
82,l
82,aq
84,c
84,aj$1
84,q$1
84,r$0$1
84,m$1$0
84,at
84,al
84,aj$0$0
84,q$0$1
84,m$0$0
84,r$1
84,ab$1
84,o$0
84,d$0$0$0
84,ao$0
84,ar
84,i$0
84,b$0$0$0
84,as
84,p$0
84,l
85,f
