,event,case
0,w,0
1,g,0
2,n,0
3,n,1
4,g,1
5,w,1
6,g,2
7,j,2
8,n,2
9,ah,3
10,j,3
11,g,3
12,g,4
13,n,4
14,j,4
15,n,5
16,g,5
17,w,5
18,g,6
19,n,6
20,w,6
21,ah,7
22,j,7
23,g,7
24,w,8
25,g,8
26,ah,8
27,n,9
28,w,9
29,g,9
30,n,10
31,w,10
32,g,10
33,g,11
34,n,11
35,w,11
36,ah,12
37,g,12
38,j,12
39,g,13
40,n,13
41,j,13
42,ah,14
43,g,14
44,w,14
45,n,15
46,g,15
47,w,15
48,n,16
49,g,16
50,j,16
51,g,17
52,n,17
53,j,17
54,n,18
55,j,18
56,g,18
57,n,19
58,w,19
59,g,19
60,w,20
61,ah,20
62,g,20
63,g,21
64,n,21
65,w,21
66,g,22
67,j,22
68,n,22
69,g,23
70,w,23
71,n,23
72,j,24
73,g,24
74,ah,24
75,g,25
76,n,25
77,w,25
78,g,26
79,n,26
80,w,26
81,g,27
82,ah,27
83,j,27
84,j,28
85,n,28
86,g,28
87,w,29
88,n,29
89,g,29
90,j,30
91,g,30
92,n,30
93,j,31
94,g,31
95,ah,31
96,g,32
97,w,32
98,n,32
99,g,33
100,j,33
101,ah,33
102,ah,34
103,g,34
104,w,34
105,j,35
106,n,35
107,g,35
108,g,36
109,w,36
110,ah,36
111,ah,37
112,j,37
113,g,37
114,n,38
115,w,38
116,g,38
117,w,39
118,g,39
119,ah,39
120,g,40
121,n,40
122,j,40
123,j,41
124,g,41
125,n,41
126,j,42
127,g,42
128,n,42
129,w,43
130,g,43
131,ah,43
132,g,44
133,ah,44
134,j,44
135,n,45
136,g,45
137,w,45
138,j,46
139,n,46
140,g,46
141,n,47
142,w,47
143,g,47
144,g,48
145,n,48
146,w,48
147,g,49
148,j,49
149,ah,49
150,n,50
151,w,50
152,g,50
153,g,51
154,n,51
155,w,51
156,g,52
157,ah,52
158,w,52
159,j,53
160,g,53
161,n,53
162,w,54
163,g,54
164,n,54
165,g,55
166,n,55
167,j,55
168,n,56
169,j,56
170,g,56
171,g,57
172,n,57
173,w,57
174,w,58
175,ah,58
176,g,58
177,g,59
178,j,59
179,n,59
180,g,60
181,w,60
182,n,60
183,ah,61
184,g,61
185,j,61
186,g,62
187,ah,62
188,w,62
189,g,63
190,n,63
191,w,63
192,w,64
193,ah,64
194,g,64
195,j,65
196,g,65
197,ah,65
198,j,66
199,ah,66
200,g,66
201,j,67
202,g,67
203,n,67
204,n,68
205,w,68
206,g,68
207,n,69
208,g,69
209,w,69
210,j,70
211,ah,70
212,g,70
213,g,71
214,j,71
215,n,71
216,n,72
217,w,72
218,g,72
219,w,73
220,n,73
221,g,73
222,g,74
223,n,74
224,j,74
225,j,75
226,g,75
227,n,75
228,w,76
229,g,76
230,n,76
231,j,77
232,ah,77
233,g,77
234,g,78
235,ah,78
236,j,78
237,w,79
238,g,79
239,n,79
240,g,80
241,w,80
242,ah,80
243,j,81
244,ah,81
245,g,81
246,ah,82
247,g,82
248,w,82
249,g,83
250,n,83
251,w,83
252,g,84
253,n,84
254,w,84
255,g,85
256,j,85
257,n,85
258,ah,86
259,w,86
260,g,86
261,n,87
262,g,87
263,w,87
264,n,88
265,g,88
266,w,88
267,j,89
268,n,89
269,g,89
270,j,90
271,g,90
272,ah,90
273,w,91
274,g,91
275,n,91
276,j,92
277,n,92
278,g,92
279,g,93
280,w,93
281,n,93
282,g,94
283,ah,94
284,j,94
285,n,95
286,w,95
287,g,95
288,w,96
289,g,96
290,ah,96
291,n,97
292,w,97
293,g,97
294,g,98
295,j,98
296,ah,98
