,event,case
0,-1,0
1,1,0
2,-1,1
3,2,1
4,-1,2
5,-1,3
6,0,3
7,-1,4
8,-1,5
9,0,5
10,-1,6
11,0,6
12,-1,7
13,-1,8
14,-1,9
15,-1,10
16,-1,11
17,-1,12
18,-1,13
19,-1,14
20,1,14
21,-1,15
22,1,15
23,-1,16
24,-1,17
25,0,17
26,-1,18
27,-1,19
28,0,19
29,1,20
30,-1,20
31,1,21
32,-1,21
33,-1,22
34,-1,23
35,-1,24
36,2,24
37,-1,25
38,-1,26
39,-1,27
40,-1,28
41,0,28
42,1,29
43,-1,29
44,1,30
45,-1,30
46,-1,31
47,0,31
48,-1,32
49,-1,33
50,-1,34
51,3,34
52,2,34
53,0,34
54,-1,35
55,0,35
56,-1,36
57,3,36
58,-1,37
59,1,37
60,-1,38
61,0,38
62,-1,39
63,0,39
64,-1,40
65,0,40
66,1,41
67,-1,41
68,-1,42
69,-1,43
70,-1,44
71,-1,45
72,-1,46
73,0,46
74,-1,47
75,3,47
76,-1,48
77,-1,49
78,-1,50
79,3,50
80,-1,51
81,-1,52
82,-1,53
83,-1,54
84,-1,55
85,-1,56
86,0,56
87,-1,57
88,-1,58
89,-1,59
90,0,59
91,-1,60
92,-1,61
93,3,61
94,2,61
95,1,62
96,-1,62
97,-1,63
98,-1,64
99,0,64
100,-1,65
101,1,65
102,0,65
103,-1,66
104,3,66
105,-1,67
106,0,67
107,-1,68
108,3,68
109,0,68
110,1,69
111,-1,69
112,-1,70
113,1,71
114,-1,71
115,-1,72
116,0,72
117,-1,73
118,1,73
119,-1,74
120,0,74
121,-1,75
122,-1,76
123,-1,77
124,-1,78
125,-1,79
126,1,80
127,-1,80
128,-1,81
129,-1,82
130,0,82
131,-1,83
132,-1,84
133,1,85
134,-1,85
135,0,85
136,-1,86
137,-1,87
138,0,87
139,-1,88
140,1,88
141,-1,89
142,-1,90
143,-1,91
144,-1,92
145,1,93
146,-1,93
147,1,94
148,-1,94
149,-1,95
150,-1,96
151,-1,97
152,-1,98
153,-1,99
154,-1,100
155,-1,101
156,-1,102
157,-1,103
158,3,103
159,1,104
160,-1,104
161,-1,105
162,-1,106
163,0,106
164,-1,107
165,1,108
166,-1,108
167,-1,109
168,0,109
169,-1,110
170,-1,111
171,3,111
172,-1,112
173,-1,113
174,1,113
175,-1,114
176,1,115
177,-1,115
178,-1,116
179,0,116
180,-1,117
181,-1,118
182,3,118
183,-1,119
184,0,119
185,-1,120
186,3,120
187,0,120
188,1,121
