case,event,z_2,z_1,z_4,z_3,z_6,z_5,z_8,z_7,z_9,z_10,z_11
0,c,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,h,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,j,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,af,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,ao,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,m,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,d,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,a,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,g,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,ag,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,an,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,b,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,y,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,ae,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,ac,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
0,f,0.848164873,0.79712514,0.680985114,0.195903765,FALSE,0.229026421,0.612067226,0.384932612,TRUE,0.821351412,FALSE
1,as,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
1,b,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
1,c,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
1,q,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
1,m,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
1,s,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
1,g,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
1,af,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
1,j,0.868846197,0.538704679,0.071917416,0.411046626,FALSE,0.257845111,0.68149208,0.199458918,TRUE,0.932251847,TRUE
