case,event,z_2,z_1,z_4,z_3,z_5
0,d,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,i,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,f,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,f,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,t,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,q,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,w,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,i,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,p,0.171158625,TRUE,0.084402213,0.055110393,FALSE
0,i,0.171158625,TRUE,0.084402213,0.055110393,FALSE
1,f,0.161132599,FALSE,0.169333768,0.85110305,TRUE
1,b,0.161132599,FALSE,0.169333768,0.85110305,TRUE
1,a,0.161132599,FALSE,0.169333768,0.85110305,TRUE
1,t,0.161132599,FALSE,0.169333768,0.85110305,TRUE
1,q,0.161132599,FALSE,0.169333768,0.85110305,TRUE
1,f,0.161132599,FALSE,0.169333768,0.85110305,TRUE
1,w,0.161132599,FALSE,0.169333768,0.85110305,TRUE
1,i,0.161132599,FALSE,0.169333768,0.85110305,TRUE
1,p,0.161132599,FALSE,0.169333768,0.85110305,TRUE
2,ad,0.638058788,FALSE,0.228541428,0.189744237,TRUE
2,x,0.638058788,FALSE,0.228541428,0.189744237,TRUE
2,ap,0.638058788,FALSE,0.228541428,0.189744237,TRUE
2,j,0.638058788,FALSE,0.228541428,0.189744237,TRUE
2,m,0.638058788,FALSE,0.228541428,0.189744237,TRUE
2,o,0.638058788,FALSE,0.228541428,0.189744237,TRUE
2,r,0.638058788,FALSE,0.228541428,0.189744237,TRUE
2,l,0.638058788,FALSE,0.228541428,0.189744237,TRUE
3,d,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,t,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,b,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,f,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,q,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,f,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,w,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,i,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,p,0.200893707,FALSE,0.981181683,0.61297857,TRUE
3,i,0.200893707,FALSE,0.981181683,0.61297857,TRUE
4,f,0.027338097,TRUE,0.015114904,0.072093691,TRUE
4,d,0.027338097,TRUE,0.015114904,0.072093691,TRUE
4,b,0.027338097,TRUE,0.015114904,0.072093691,TRUE
4,t,0.027338097,TRUE,0.015114904,0.072093691,TRUE
4,f,0.027338097,TRUE,0.015114904,0.072093691,TRUE
4,q,0.027338097,TRUE,0.015114904,0.072093691,TRUE
4,w,0.027338097,TRUE,0.015114904,0.072093691,TRUE
4,i,0.027338097,TRUE,0.015114904,0.072093691,TRUE
4,p,0.027338097,TRUE,0.015114904,0.072093691,TRUE
5,d,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,f,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,f,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,i,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,t,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,q,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,w,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,i,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,p,0.070004747,FALSE,0.443585519,0.996061909,FALSE
5,i,0.070004747,FALSE,0.443585519,0.996061909,FALSE
6,f,0.234380262,TRUE,0.438488774,0.570572377,TRUE
6,b,0.234380262,TRUE,0.438488774,0.570572377,TRUE
6,t,0.234380262,TRUE,0.438488774,0.570572377,TRUE
6,d,0.234380262,TRUE,0.438488774,0.570572377,TRUE
6,q,0.234380262,TRUE,0.438488774,0.570572377,TRUE
6,w,0.234380262,TRUE,0.438488774,0.570572377,TRUE
6,f,0.234380262,TRUE,0.438488774,0.570572377,TRUE
6,i,0.234380262,TRUE,0.438488774,0.570572377,TRUE
6,p,0.234380262,TRUE,0.438488774,0.570572377,TRUE
7,b,0.471460719,FALSE,0.777995967,0.312558121,TRUE
7,a,0.471460719,FALSE,0.777995967,0.312558121,TRUE
7,f,0.471460719,FALSE,0.777995967,0.312558121,TRUE
7,t,0.471460719,FALSE,0.777995967,0.312558121,TRUE
7,f,0.471460719,FALSE,0.777995967,0.312558121,TRUE
7,q,0.471460719,FALSE,0.777995967,0.312558121,TRUE
7,w,0.471460719,FALSE,0.777995967,0.312558121,TRUE
7,i,0.471460719,FALSE,0.777995967,0.312558121,TRUE
7,p,0.471460719,FALSE,0.777995967,0.312558121,TRUE
8,t,0.628394823,FALSE,0.20365991,0.483702915,TRUE
8,b,0.628394823,FALSE,0.20365991,0.483702915,TRUE
8,q,0.628394823,FALSE,0.20365991,0.483702915,TRUE
8,f,0.628394823,FALSE,0.20365991,0.483702915,TRUE
8,a,0.628394823,FALSE,0.20365991,0.483702915,TRUE
8,w,0.628394823,FALSE,0.20365991,0.483702915,TRUE
8,f,0.628394823,FALSE,0.20365991,0.483702915,TRUE
9,t,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,i,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,d,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,f,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,q,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,w,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,f,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,i,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,p,0.179012884,TRUE,0.279359034,0.512525341,FALSE
9,i,0.179012884,TRUE,0.279359034,0.512525341,FALSE
10,k,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,t,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,i,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,q,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,x,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,ar,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,w,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,j,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,i,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,g,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,p,0.876739261,FALSE,0.615998271,0.089315209,FALSE
10,i,0.876739261,FALSE,0.615998271,0.089315209,FALSE
11,a,0.551431589,TRUE,0.813405172,0.777650517,FALSE
11,t,0.551431589,TRUE,0.813405172,0.777650517,FALSE
11,f,0.551431589,TRUE,0.813405172,0.777650517,FALSE
11,f,0.551431589,TRUE,0.813405172,0.777650517,FALSE
11,i,0.551431589,TRUE,0.813405172,0.777650517,FALSE
11,q,0.551431589,TRUE,0.813405172,0.777650517,FALSE
12,x,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,ad,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,i,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,u,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,t,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,ap,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,q,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,w,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,j,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,i,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,p,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,h,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,m,0.919478644,TRUE,0.877213059,0.097077651,FALSE
12,v,0.919478644,TRUE,0.877213059,0.097077651,FALSE
13,b,0.347144191,TRUE,0.682981278,0.150131664,TRUE
13,a,0.347144191,TRUE,0.682981278,0.150131664,TRUE
13,t,0.347144191,TRUE,0.682981278,0.150131664,TRUE
13,f,0.347144191,TRUE,0.682981278,0.150131664,TRUE
13,q,0.347144191,TRUE,0.682981278,0.150131664,TRUE
13,f,0.347144191,TRUE,0.682981278,0.150131664,TRUE
13,w,0.347144191,TRUE,0.682981278,0.150131664,TRUE
13,i,0.347144191,TRUE,0.682981278,0.150131664,TRUE
13,p,0.347144191,TRUE,0.682981278,0.150131664,TRUE
14,t,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,i,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,k,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,x,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,q,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,ar,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,w,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,j,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,i,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,p,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,g,0.915781098,FALSE,0.85130263,0.150744519,FALSE
14,h,0.915781098,FALSE,0.85130263,0.150744519,FALSE
15,x,0.76306376,TRUE,0.430912218,0.263143881,TRUE
15,ad,0.76306376,TRUE,0.430912218,0.263143881,TRUE
15,c,0.76306376,TRUE,0.430912218,0.263143881,TRUE
15,ap,0.76306376,TRUE,0.430912218,0.263143881,TRUE
15,j,0.76306376,TRUE,0.430912218,0.263143881,TRUE
15,m,0.76306376,TRUE,0.430912218,0.263143881,TRUE
15,o,0.76306376,TRUE,0.430912218,0.263143881,TRUE
15,r,0.76306376,TRUE,0.430912218,0.263143881,TRUE
15,l,0.76306376,TRUE,0.430912218,0.263143881,TRUE
16,f,0.29394026,TRUE,0.412381838,0.82876647,TRUE
16,c,0.29394026,TRUE,0.412381838,0.82876647,TRUE
16,d,0.29394026,TRUE,0.412381838,0.82876647,TRUE
16,f,0.29394026,TRUE,0.412381838,0.82876647,TRUE
17,i,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,f,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,t,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,a,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,q,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,f,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,w,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,i,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,p,0.929038783,TRUE,0.21269834,0.928365883,FALSE
17,i,0.929038783,TRUE,0.21269834,0.928365883,FALSE
18,t,0.978523758,FALSE,0.344714207,0.982744397,TRUE
18,a,0.978523758,FALSE,0.344714207,0.982744397,TRUE
18,f,0.978523758,FALSE,0.344714207,0.982744397,TRUE
18,b,0.978523758,FALSE,0.344714207,0.982744397,TRUE
18,f,0.978523758,FALSE,0.344714207,0.982744397,TRUE
18,q,0.978523758,FALSE,0.344714207,0.982744397,TRUE
18,w,0.978523758,FALSE,0.344714207,0.982744397,TRUE
18,i,0.978523758,FALSE,0.344714207,0.982744397,TRUE
18,p,0.978523758,FALSE,0.344714207,0.982744397,TRUE
19,d,0.160572321,FALSE,0.419480027,0.646465784,TRUE
19,f,0.160572321,FALSE,0.419480027,0.646465784,TRUE
19,t,0.160572321,FALSE,0.419480027,0.646465784,TRUE
19,f,0.160572321,FALSE,0.419480027,0.646465784,TRUE
19,b,0.160572321,FALSE,0.419480027,0.646465784,TRUE
19,q,0.160572321,FALSE,0.419480027,0.646465784,TRUE
19,w,0.160572321,FALSE,0.419480027,0.646465784,TRUE
19,i,0.160572321,FALSE,0.419480027,0.646465784,TRUE
19,p,0.160572321,FALSE,0.419480027,0.646465784,TRUE
20,i,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,t,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,k,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,q,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,ar,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,w,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,x,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,j,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,i,0.653608162,FALSE,0.493721283,0.130599503,FALSE
20,p,0.653608162,FALSE,0.493721283,0.130599503,FALSE
21,k,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,x,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,t,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,i,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,ar,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,q,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,w,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,j,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,m,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,i,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,p,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,h,0.796961428,TRUE,0.889583378,0.1529673,FALSE
21,g,0.796961428,TRUE,0.889583378,0.1529673,FALSE
22,d,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,t,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,i,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,f,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,f,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,q,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,w,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,i,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,p,0.755016663,FALSE,0.606830867,0.485365674,FALSE
22,i,0.755016663,FALSE,0.606830867,0.485365674,FALSE
23,i,0.719253685,FALSE,0.167606647,0.660139063,FALSE
23,d,0.719253685,FALSE,0.167606647,0.660139063,FALSE
23,t,0.719253685,FALSE,0.167606647,0.660139063,FALSE
23,f,0.719253685,FALSE,0.167606647,0.660139063,FALSE
23,q,0.719253685,FALSE,0.167606647,0.660139063,FALSE
23,f,0.719253685,FALSE,0.167606647,0.660139063,FALSE
23,w,0.719253685,FALSE,0.167606647,0.660139063,FALSE
23,i,0.719253685,FALSE,0.167606647,0.660139063,FALSE
23,p,0.719253685,FALSE,0.167606647,0.660139063,FALSE
24,d,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,i,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,t,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,q,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,f,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,w,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,f,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,i,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,p,0.902842187,TRUE,0.713622773,0.371264305,FALSE
24,i,0.902842187,TRUE,0.713622773,0.371264305,FALSE
25,a,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,f,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,f,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,i,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,t,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,q,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,w,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,i,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,p,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
25,i,0.060734277,TRUE,7.41E-04,0.071889646,FALSE
26,t,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,k,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,i,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,ar,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,q,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,x,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,w,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,j,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,g,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,i,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,p,0.987149934,FALSE,0.498511262,0.185538371,FALSE
26,i,0.987149934,FALSE,0.498511262,0.185538371,FALSE
27,t,0.616178563,TRUE,0.420959319,0.658050385,TRUE
27,a,0.616178563,TRUE,0.420959319,0.658050385,TRUE
27,f,0.616178563,TRUE,0.420959319,0.658050385,TRUE
27,f,0.616178563,TRUE,0.420959319,0.658050385,TRUE
27,b,0.616178563,TRUE,0.420959319,0.658050385,TRUE
27,q,0.616178563,TRUE,0.420959319,0.658050385,TRUE
27,w,0.616178563,TRUE,0.420959319,0.658050385,TRUE
27,i,0.616178563,TRUE,0.420959319,0.658050385,TRUE
28,a,0.014478665,FALSE,0.841915219,0.376231508,TRUE
28,f,0.014478665,FALSE,0.841915219,0.376231508,TRUE
28,f,0.014478665,FALSE,0.841915219,0.376231508,TRUE
28,h,0.014478665,FALSE,0.841915219,0.376231508,TRUE
29,t,0.392383939,TRUE,0.102715278,0.288217122,TRUE
30,b,0.311469559,FALSE,0.045637769,0.948886798,TRUE
30,t,0.311469559,FALSE,0.045637769,0.948886798,TRUE
30,d,0.311469559,FALSE,0.045637769,0.948886798,TRUE
30,f,0.311469559,FALSE,0.045637769,0.948886798,TRUE
30,f,0.311469559,FALSE,0.045637769,0.948886798,TRUE
