case,event
1,a
1,aj
1,v
1,ak
1,am
1,c
1,f
1,au
1,t
2,aj
2,a
2,ak
2,v
2,am
2,c
2,f
2,au
2,t
3,ai
3,a
3,ak
3,v
3,am
3,c
3,c
3,as
3,r
3,f
3,ag
3,c
3,w
3,ac
3,aj
3,ae
3,l
3,e
3,ab
3,as
4,aj
4,a
4,ak
4,v
4,c
4,am
4,w
4,ao
5,aj
5,a
5,v
5,ak
5,am
5,c
5,c
5,as
5,r
5,t
6,aj
6,a
6,ak
6,v
6,c
6,am
6,f
6,au
7,a
7,aj
7,v
7,ak
7,am
7,c
7,w
7,ao
8,aj
8,a
8,ak
8,v
8,c
8,am
8,c
8,as
8,r
8,t
9,aj
9,a
9,v
9,ak
9,c
9,am
9,f
9,au
9,t
10,a
10,aj
10,v
10,ak
10,c
10,am
10,w
10,ao
10,t
11,a
11,aj
11,ak
11,v
11,c
11,am
11,c
11,as
11,r
11,t
12,a
12,ai
12,ak
12,v
12,am
12,c
12,c
12,as
12,r
12,t
13,aj
13,a
13,ak
13,v
13,c
13,am
13,c
13,as
13,r
13,t
14,a
14,aj
14,ak
14,v
14,c
14,am
14,w
14,ao
14,t
15,a
15,aj
15,v
15,ak
15,am
15,c
15,c
15,q
15,t
15,b
15,m
15,k
15,t
16,aj
16,a
16,ak
16,v
16,am
16,c
16,w
16,ao
16,t
17,ai
17,a
17,v
17,ak
17,am
17,c
17,w
17,ao
17,t
18,aj
18,a
18,v
18,ak
18,c
18,am
18,c
18,as
18,r
18,t
19,a
19,aj
19,v
19,ak
19,c
19,am
19,f
19,au
20,aj
20,a
20,ak
20,v
20,c
20,am
20,c
20,as
20,r
20,u
21,a
21,aj
21,ak
21,v
21,am
21,c
21,f
21,au
21,t
22,a
22,aj
22,ak
22,v
22,c
22,am
22,t
22,b
22,q
22,s
22,k
23,aj
23,a
23,v
23,ak
23,am
23,c
23,c
23,q
23,b
23,t
24,a
24,aj
24,ak
24,v
24,c
24,am
24,w
24,ao
24,t
25,a
25,aj
25,ak
25,v
25,c
25,am
26,a
26,aj
26,v
26,ak
26,am
26,c
26,w
26,ao
26,t
27,a
27,aj
27,v
27,ak
27,am
27,c
27,f
27,au
27,u
28,a
28,aj
28,ak
28,v
28,am
28,c
28,w
28,ao
29,aj
29,a
29,v
29,ak
29,c
29,am
29,c
29,as
29,r
29,t
30,a
30,aj
30,ak
30,v
30,am
30,c
30,w
30,ao
30,t
31,aj
31,a
31,ak
31,v
31,c
31,am
31,c
31,as
31,r
31,t
32,aj
32,a
32,ak
32,v
32,am
32,c
32,q
32,b
32,t
32,c
32,s
32,k
32,t
33,a
33,aj
33,v
33,ak
33,c
33,am
33,q
33,b
33,c
33,t
33,k
33,s
33,t
34,a
34,aj
34,v
34,ak
34,c
34,am
34,q
34,t
34,b
34,k
34,s
34,t
35,aj
35,a
35,v
35,ak
35,c
35,am
35,t
35,q
35,c
35,b
35,k
35,s
35,t
36,aj
36,a
36,v
36,ak
36,c
36,am
36,w
36,ao
36,t
37,a
37,aj
37,ak
37,v
37,am
37,c
37,c
37,as
37,r
37,t
38,a
38,aj
38,ak
38,v
38,c
38,am
38,f
38,au
39,a
39,aj
39,v
39,ak
39,am
39,c
39,c
39,q
39,t
39,b
39,k
39,m
39,t
40,a
40,aj
40,v
40,ak
40,am
40,c
40,f
40,au
40,t
41,a
41,aj
41,ak
41,v
41,am
41,c
41,w
41,ao
41,t
42,aj
42,a
42,v
42,ak
42,am
42,c
42,f
42,au
42,t
43,a
43,aj
43,v
43,ak
43,c
43,am
43,c
43,as
43,r
43,t
44,a
44,aj
44,ak
44,v
44,am
44,c
44,f
44,au
45,a
45,aj
45,v
45,ak
45,am
45,c
45,c
45,as
45,r
45,t
46,ai
46,a
46,ak
46,v
46,am
46,c
46,w
47,aj
47,a
47,v
47,ak
47,c
47,am
47,q
47,b
47,c
47,t
47,s
47,k
47,t
48,aj
48,a
48,ak
48,v
48,c
48,am
48,c
48,as
48,r
48,t
49,a
49,aj
49,v
49,ak
49,c
49,am
49,w
49,ao
49,t
50,aj
50,a
50,v
50,ak
50,c
50,am
50,f
51,aj
51,a
51,v
51,ak
51,c
51,am
51,c
51,as
51,r
51,t
52,a
52,aj
52,v
52,ak
52,c
52,am
52,w
52,ao
53,a
53,aj
53,ak
53,v
53,am
53,c
53,c
53,as
53,r
53,t
54,a
54,aj
54,v
54,ak
54,am
54,c
54,q
54,b
54,c
54,t
54,s
54,k
54,t
55,a
