case,event,z_2,z_1,z_3
0,c,TRUE,0.343852154,0.50159385
0,u,TRUE,0.343852154,0.50159385
0,q,TRUE,0.343852154,0.50159385
1,p,TRUE,0.657386279,0.583095248
1,k,TRUE,0.657386279,0.583095248
1,ag,TRUE,0.657386279,0.583095248
1,ap,TRUE,0.657386279,0.583095248
2,am,TRUE,0.791562741,0.237744572
2,ar,TRUE,0.791562741,0.237744572
2,al,TRUE,0.791562741,0.237744572
2,ac,TRUE,0.791562741,0.237744572
2,an,TRUE,0.791562741,0.237744572
3,b,TRUE,0.716132501,0.04540691
3,f,TRUE,0.716132501,0.04540691
3,ai,TRUE,0.716132501,0.04540691
3,r,TRUE,0.716132501,0.04540691
3,aj,TRUE,0.716132501,0.04540691
3,g,TRUE,0.716132501,0.04540691
3,aq,TRUE,0.716132501,0.04540691
3,h,TRUE,0.716132501,0.04540691
3,aa,TRUE,0.716132501,0.04540691
3,ab,TRUE,0.716132501,0.04540691
3,n,TRUE,0.716132501,0.04540691
4,c,TRUE,0.480049445,0.130113225
4,ak,TRUE,0.480049445,0.130113225
4,z,TRUE,0.480049445,0.130113225
4,q,TRUE,0.480049445,0.130113225
5,b,FALSE,0.07735615,0.942102461
5,ai,FALSE,0.07735615,0.942102461
5,f,FALSE,0.07735615,0.942102461
5,l,FALSE,0.07735615,0.942102461
5,ao,FALSE,0.07735615,0.942102461
5,ad,FALSE,0.07735615,0.942102461
5,h,FALSE,0.07735615,0.942102461
5,g,FALSE,0.07735615,0.942102461
5,aq,FALSE,0.07735615,0.942102461
5,aa,FALSE,0.07735615,0.942102461
5,ab,FALSE,0.07735615,0.942102461
5,n,FALSE,0.07735615,0.942102461
6,c,TRUE,0.378176918,0.068391989
6,ak,TRUE,0.378176918,0.068391989
6,z,TRUE,0.378176918,0.068391989
6,q,TRUE,0.378176918,0.068391989
7,c,TRUE,0.898440202,0.515704331
7,z,TRUE,0.898440202,0.515704331
7,ak,TRUE,0.898440202,0.515704331
7,q,TRUE,0.898440202,0.515704331
8,c,TRUE,0.215839265,0.03169337
8,z,TRUE,0.215839265,0.03169337
8,ak,TRUE,0.215839265,0.03169337
8,q,TRUE,0.215839265,0.03169337
9,y,FALSE,0.980495394,0.448369016
9,t,FALSE,0.980495394,0.448369016
10,c,FALSE,0.239424716,0.978923983
10,w,FALSE,0.239424716,0.978923983
10,q,FALSE,0.239424716,0.978923983
11,b,TRUE,0.103088367,0.544534211
11,f,TRUE,0.103088367,0.544534211
