case,event,z_2,z_1,z_4,z_3,z_6,z_5,z_8,z_7,z_9
0,p,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,ap,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,ab,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,w,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,g,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,ar,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,l,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,n,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,ak,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,m,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,t,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
0,r,TRUE,0.980450056,TRUE,TRUE,0.031823932,0.720245771,TRUE,FALSE,0.441957816
1,b,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,af,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,a,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,ak,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,c,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,t,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,ae,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,y,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,am,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,s,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
1,z,FALSE,0.123825347,TRUE,TRUE,0.84215655,0.479375687,TRUE,TRUE,0.681339755
2,f,TRUE,0.788096317,TRUE,TRUE,0.066935875,0.390624482,FALSE,TRUE,0.667809363
2,p,TRUE,0.788096317,TRUE,TRUE,0.066935875,0.390624482,FALSE,TRUE,0.667809363
2,c,TRUE,0.788096317,TRUE,TRUE,0.066935875,0.390624482,FALSE,TRUE,0.667809363
2,s,TRUE,0.788096317,TRUE,TRUE,0.066935875,0.390624482,FALSE,TRUE,0.667809363
2,z,TRUE,0.788096317,TRUE,TRUE,0.066935875,0.390624482,FALSE,TRUE,0.667809363
2,ak,TRUE,0.788096317,TRUE,TRUE,0.066935875,0.390624482,FALSE,TRUE,0.667809363
2,t,TRUE,0.788096317,TRUE,TRUE,0.066935875,0.390624482,FALSE,TRUE,0.667809363
3,f,TRUE,0.580599868,FALSE,TRUE,0.277490859,0.63626039,TRUE,FALSE,0.368756
3,b,TRUE,0.580599868,FALSE,TRUE,0.277490859,0.63626039,TRUE,FALSE,0.368756
3,aa,TRUE,0.580599868,FALSE,TRUE,0.277490859,0.63626039,TRUE,FALSE,0.368756
3,af,TRUE,0.580599868,FALSE,TRUE,0.277490859,0.63626039,TRUE,FALSE,0.368756
