case,event,z_1
0,aj,0.416755863
0,f,0.416755863
0,am,0.416755863
0,a,0.416755863
0,s,0.416755863
0,s,0.416755863
0,h,0.416755863
0,q,0.416755863
0,ai,0.416755863
0,ac,0.416755863
0,al,0.416755863
0,g,0.416755863
0,aa,0.416755863
0,p,0.416755863
0,o,0.416755863
0,w,0.416755863
0,z,0.416755863
0,ab,0.416755863
0,k,0.416755863
0,ad,0.416755863
0,ai,0.416755863
0,al,0.416755863
0,z,0.416755863
0,d,0.416755863
0,n,0.416755863
0,c,0.416755863
1,a,0.61651558
1,ak,0.61651558
1,h,0.61651558
1,s,0.61651558
1,ai,0.61651558
1,ah,0.61651558
1,ac,0.61651558
1,w,0.61651558
1,aa,0.61651558
1,d,0.61651558
1,aj,0.61651558
1,am,0.61651558
1,ac,0.61651558
1,ab,0.61651558
1,q,0.61651558
1,z,0.61651558
1,k,0.61651558
1,ai,0.61651558
1,ai,0.61651558
1,d,0.61651558
1,n,0.61651558
1,z,0.61651558
1,c,0.61651558
2,j,0.858093751
2,q,0.858093751
2,ak,0.858093751
2,w,0.858093751
2,c,0.858093751
2,d,0.858093751
2,at,0.858093751
2,s,0.858093751
2,s,0.858093751
2,h,0.858093751
2,am,0.858093751
2,ai,0.858093751
2,aa,0.858093751
2,i,0.858093751
2,q,0.858093751
2,ab,0.858093751
2,ac,0.858093751
2,p,0.858093751
2,al,0.858093751
2,o,0.858093751
2,w,0.858093751
2,z,0.858093751
2,k,0.858093751
2,ad,0.858093751
2,ai,0.858093751
2,al,0.858093751
2,z,0.858093751
3,f,0.032490505
3,aj,0.032490505
3,am,0.032490505
3,s,0.032490505
3,j,0.032490505
3,q,0.032490505
3,q,0.032490505
3,g,0.032490505
3,p,0.032490505
3,h,0.032490505
3,al,0.032490505
3,s,0.032490505
3,ai,0.032490505
3,o,0.032490505
3,aa,0.032490505
3,ac,0.032490505
3,w,0.032490505
3,ab,0.032490505
3,k,0.032490505
3,z,0.032490505
3,ad,0.032490505
3,ai,0.032490505
3,al,0.032490505
3,z,0.032490505
3,d,0.032490505
3,n,0.032490505
3,c,0.032490505
4,q,0.365228329
4,j,0.365228329
4,f,0.365228329
4,h,0.365228329
4,aj,0.365228329
4,s,0.365228329
4,ai,0.365228329
4,s,0.365228329
4,i,0.365228329
4,am,0.365228329
4,aa,0.365228329
4,q,0.365228329
4,al,0.365228329
4,ac,0.365228329
4,p,0.365228329
4,ab,0.365228329
4,o,0.365228329
4,w,0.365228329
4,k,0.365228329
4,z,0.365228329
4,ad,0.365228329
4,al,0.365228329
4,ai,0.365228329
4,d,0.365228329
4,z,0.365228329
4,n,0.365228329
5,aj,0.39976428
5,q,0.39976428
5,f,0.39976428
5,j,0.39976428
5,h,0.39976428
5,ai,0.39976428
5,aj,0.39976428
5,am,0.39976428
5,s,0.39976428
5,q,0.39976428
5,s,0.39976428
5,ac,0.39976428
5,aa,0.39976428
5,p,0.39976428
5,al,0.39976428
5,ab,0.39976428
5,o,0.39976428
5,w,0.39976428
5,k,0.39976428
5,z,0.39976428
5,ai,0.39976428
5,ad,0.39976428
5,al,0.39976428
5,d,0.39976428
5,z,0.39976428
5,n,0.39976428
5,c,0.39976428
6,q,0.32565865
6,aj,0.32565865
6,f,0.32565865
6,am,0.32565865
6,aj,0.32565865
6,j,0.32565865
6,s,0.32565865
6,h,0.32565865
6,s,0.32565865
6,aa,0.32565865
6,ab,0.32565865
6,ai,0.32565865
6,q,0.32565865
6,ac,0.32565865
6,p,0.32565865
6,al,0.32565865
6,o,0.32565865
6,w,0.32565865
6,k,0.32565865
6,z,0.32565865
6,ad,0.32565865
6,ai,0.32565865
6,al,0.32565865
6,z,0.32565865
6,n,0.32565865
6,d,0.32565865
6,c,0.32565865
7,q,0.661441871
7,j,0.661441871
7,ak,0.661441871
7,ah,0.661441871
7,w,0.661441871
7,h,0.661441871
7,s,0.661441871
7,ai,0.661441871
7,d,0.661441871
7,ac,0.661441871
7,am,0.661441871
7,aa,0.661441871
7,aj,0.661441871
7,s,0.661441871
7,ab,0.661441871
7,q,0.661441871
7,al,0.661441871
7,p,0.661441871
7,o,0.661441871
7,w,0.661441871
7,z,0.661441871
7,k,0.661441871
7,ai,0.661441871
7,ad,0.661441871
7,al,0.661441871
7,z,0.661441871
7,d,0.661441871
8,ak,0.811084954
8,a,0.811084954
8,ah,0.811084954
8,s,0.811084954
8,aa,0.811084954
8,w,0.811084954
8,ab,0.811084954
8,h,0.811084954
8,ai,0.811084954
8,ac,0.811084954
8,d,0.811084954
8,s,0.811084954
8,am,0.811084954
8,aj,0.811084954
8,q,0.811084954
8,p,0.811084954
8,al,0.811084954
8,o,0.811084954
8,w,0.811084954
8,k,0.811084954
8,z,0.811084954
8,ad,0.811084954
8,al,0.811084954
8,ai,0.811084954
8,d,0.811084954
8,z,0.811084954
8,n,0.811084954
8,c,0.811084954
9,j,0.07619497
9,aj,0.07619497
9,f,0.07619497
9,q,0.07619497
9,s,0.07619497
9,i,0.07619497
9,h,0.07619497
9,am,0.07619497
9,s,0.07619497
9,aa,0.07619497
9,ai,0.07619497
9,q,0.07619497
9,ab,0.07619497
9,ac,0.07619497
9,p,0.07619497
9,al,0.07619497
9,o,0.07619497
9,w,0.07619497
9,k,0.07619497
9,z,0.07619497
9,ai,0.07619497
9,ad,0.07619497
9,al,0.07619497
9,d,0.07619497
9,z,0.07619497
9,n,0.07619497
9,c,0.07619497
10,j,0.439939438
10,f,0.439939438
10,q,0.439939438
10,aj,0.439939438
10,h,0.439939438
10,s,0.439939438
10,aj,0.439939438
10,s,0.439939438
10,am,0.439939438
10,ai,0.439939438
10,ac,0.439939438
10,aa,0.439939438
10,q,0.439939438
10,ab,0.439939438
10,al,0.439939438
10,p,0.439939438
10,o,0.439939438
10,w,0.439939438
10,k,0.439939438
10,z,0.439939438
10,ai,0.439939438
10,ad,0.439939438
10,al,0.439939438
10,n,0.439939438
11,ak,0.640436463
11,j,0.640436463
11,q,0.640436463
11,w,0.640436463
11,ah,0.640436463
11,h,0.640436463
11,s,0.640436463
11,aa,0.640436463
11,ai,0.640436463
11,d,0.640436463
11,s,0.640436463
11,am,0.640436463
11,ab,0.640436463
11,ac,0.640436463
11,aj,0.640436463
11,q,0.640436463
11,p,0.640436463
11,al,0.640436463
11,o,0.640436463
11,w,0.640436463
11,z,0.640436463
11,k,0.640436463
11,ai,0.640436463
11,ad,0.640436463
11,al,0.640436463
11,z,0.640436463
11,n,0.640436463
11,d,0.640436463
11,c,0.640436463
12,f,0.012173707
12,q,0.012173707
12,j,0.012173707
12,aj,0.012173707
12,am,0.012173707
12,aj,0.012173707
12,s,0.012173707
12,s,0.012173707
12,q,0.012173707
12,h,0.012173707
12,aa,0.012173707
12,al,0.012173707
12,ai,0.012173707
12,p,0.012173707
12,ac,0.012173707
12,ab,0.012173707
12,o,0.012173707
12,w,0.012173707
12,z,0.012173707
12,k,0.012173707
12,ad,0.012173707
12,ai,0.012173707
12,al,0.012173707
12,d,0.012173707
12,n,0.012173707
12,z,0.012173707
12,c,0.012173707
13,j,0.954650149
13,ak,0.954650149
13,q,0.954650149
13,s,0.954650149
13,w,0.954650149
13,h,0.954650149
13,n,0.954650149
13,aa,0.954650149
13,ab,0.954650149
13,ai,0.954650149
13,d,0.954650149
13,ac,0.954650149
13,s,0.954650149
13,am,0.954650149
13,g,0.954650149
13,q,0.954650149
13,al,0.954650149
13,p,0.954650149
13,o,0.954650149
13,w,0.954650149
13,z,0.954650149
13,k,0.954650149
13,ai,0.954650149
13,ad,0.954650149
13,al,0.954650149
13,z,0.954650149
13,d,0.954650149
14,aj,0.243607273
14,a,0.243607273
14,s,0.243607273
14,aa,0.243607273
14,f,0.243607273
14,am,0.243607273
14,ab,0.243607273
14,h,0.243607273
14,i,0.243607273
14,s,0.243607273
14,ai,0.243607273
14,q,0.243607273
14,ac,0.243607273
14,al,0.243607273
14,p,0.243607273
14,o,0.243607273
14,w,0.243607273
14,k,0.243607273
14,z,0.243607273
14,ai,0.243607273
14,ad,0.243607273
14,al,0.243607273
14,d,0.243607273
14,z,0.243607273
14,n,0.243607273
14,c,0.243607273
15,f,0.302590859
15,q,0.302590859
15,j,0.302590859
15,s,0.302590859
15,aj,0.302590859
15,s,0.302590859
15,am,0.302590859
15,i,0.302590859
15,aa,0.302590859
15,h,0.302590859
15,q,0.302590859
15,al,0.302590859
15,ai,0.302590859
15,ab,0.302590859
15,p,0.302590859
15,o,0.302590859
15,ac,0.302590859
15,w,0.302590859
15,z,0.302590859
15,k,0.302590859
15,ad,0.302590859
15,ai,0.302590859
15,al,0.302590859
15,n,0.302590859
15,d,0.302590859
15,z,0.302590859
15,c,0.302590859
16,ak,0.536993414
16,a,0.536993414
16,ah,0.536993414
16,s,0.536993414
16,w,0.536993414
16,h,0.536993414
16,d,0.536993414
16,aa,0.536993414
16,ac,0.536993414
16,aj,0.536993414
16,ab,0.536993414
16,ai,0.536993414
16,ac,0.536993414
16,af,0.536993414
16,z,0.536993414
16,k,0.536993414
16,ai,0.536993414
16,ai,0.536993414
16,z,0.536993414
16,d,0.536993414
16,n,0.536993414
16,c,0.536993414
17,f,0.447502183
17,j,0.447502183
17,aj,0.447502183
17,q,0.447502183
17,g,0.447502183
17,s,0.447502183
17,am,0.447502183
17,q,0.447502183
17,h,0.447502183
17,s,0.447502183
17,p,0.447502183
17,al,0.447502183
17,ai,0.447502183
17,ac,0.447502183
17,aa,0.447502183
17,ab,0.447502183
17,o,0.447502183
17,w,0.447502183
17,z,0.447502183
17,k,0.447502183
17,ad,0.447502183
17,ai,0.447502183
17,al,0.447502183
18,j,0.333347341
18,aj,0.333347341
18,f,0.333347341
18,q,0.333347341
18,am,0.333347341
18,s,0.333347341
18,g,0.333347341
18,aa,0.333347341
18,s,0.333347341
18,h,0.333347341
18,ai,0.333347341
18,q,0.333347341
18,ab,0.333347341
18,al,0.333347341
18,ac,0.333347341
18,p,0.333347341
18,o,0.333347341
18,w,0.333347341
18,z,0.333347341
18,k,0.333347341
18,ad,0.333347341
18,al,0.333347341
18,ai,0.333347341
18,z,0.333347341
18,d,0.333347341
18,n,0.333347341
18,c,0.333347341
19,f,0.123857451
19,a,0.123857451
19,aj,0.123857451
19,am,0.123857451
19,g,0.123857451
19,s,0.123857451
19,h,0.123857451
19,s,0.123857451
19,q,0.123857451
19,al,0.123857451
19,p,0.123857451
19,ai,0.123857451
19,aa,0.123857451
19,ac,0.123857451
19,o,0.123857451
19,ab,0.123857451
19,w,0.123857451
19,k,0.123857451
19,z,0.123857451
19,ai,0.123857451
19,ad,0.123857451
19,al,0.123857451
19,z,0.123857451
19,d,0.123857451
19,n,0.123857451
19,c,0.123857451
20,j,0.782988744
20,ak,0.782988744
20,q,0.782988744
20,h,0.782988744
20,s,0.782988744
20,ah,0.782988744
20,w,0.782988744
20,ai,0.782988744
20,ac,0.782988744
20,aa,0.782988744
20,d,0.782988744
20,ab,0.782988744
20,aj,0.782988744
20,am,0.782988744
20,s,0.782988744
20,q,0.782988744
20,al,0.782988744
20,p,0.782988744
20,o,0.782988744
20,w,0.782988744
20,z,0.782988744
20,k,0.782988744
20,ai,0.782988744
20,ad,0.782988744
20,al,0.782988744
20,d,0.782988744
20,n,0.782988744
20,z,0.782988744
20,c,0.782988744
21,ak,0.59976469
21,w,0.59976469
21,a,0.59976469
21,h,0.59976469
21,ai,0.59976469
21,s,0.59976469
21,d,0.59976469
21,ah,0.59976469
21,aa,0.59976469
21,ac,0.59976469
21,am,0.59976469
21,ac,0.59976469
21,aj,0.59976469
21,ab,0.59976469
21,q,0.59976469
21,z,0.59976469
21,k,0.59976469
21,ai,0.59976469
21,ai,0.59976469
21,n,0.59976469
21,z,0.59976469
22,q,0.031314033
22,aj,0.031314033
22,j,0.031314033
22,f,0.031314033
22,aj,0.031314033
22,am,0.031314033
22,h,0.031314033
22,s,0.031314033
22,ai,0.031314033
22,s,0.031314033
22,ac,0.031314033
22,aa,0.031314033
22,q,0.031314033
22,ab,0.031314033
22,p,0.031314033
22,al,0.031314033
22,o,0.031314033
22,w,0.031314033
22,k,0.031314033
22,z,0.031314033
22,ai,0.031314033
22,ad,0.031314033
22,al,0.031314033
22,d,0.031314033
22,z,0.031314033
22,n,0.031314033
22,c,0.031314033
23,f,0.054017806
23,a,0.054017806
23,aj,0.054017806
23,am,0.054017806
23,g,0.054017806
23,s,0.054017806
23,aa,0.054017806
23,s,0.054017806
23,h,0.054017806
23,q,0.054017806
23,ab,0.054017806
23,ai,0.054017806
23,ac,0.054017806
23,al,0.054017806
23,p,0.054017806
23,o,0.054017806
23,w,0.054017806
23,z,0.054017806
23,k,0.054017806
23,ai,0.054017806
23,ad,0.054017806
23,al,0.054017806
23,d,0.054017806
23,n,0.054017806
24,ak,0.739478701
24,a,0.739478701
24,w,0.739478701
24,h,0.739478701
24,ai,0.739478701
24,s,0.739478701
24,ah,0.739478701
24,d,0.739478701
24,ac,0.739478701
24,aa,0.739478701
24,s,0.739478701
24,aj,0.739478701
24,ab,0.739478701
24,am,0.739478701
