case,event,z_2,z_1,z_4,z_3,z_6,z_5,z_8,z_7,z_9,z_10,z_11
0,c,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,h,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,j,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,af,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,ao,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,m,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,d,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,a,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,g,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,ag,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,an,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,b,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,y,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,ae,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,ac,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
0,f,0.848164873,0.79712514,0.6809851140000001,0.195903765,False,0.229026421,0.612067226,0.384932612,True,0.8213514120000001,False
1,as,0.868846197,0.538704679,0.071917416,0.411046626,False,0.257845111,0.68149208,0.199458918,True,0.9322518470000001,True
1,b,0.868846197,0.538704679,0.071917416,0.411046626,False,0.257845111,0.68149208,0.199458918,True,0.9322518470000001,True
