Result of replaying a2db046c-82e9-4353-818b-18771d2291c7 on Anonymous log imported from log10-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"7|300|327|405|565|661",6,No,"97,254.00","0.00","138.00","9.00","7,500.00","1.00","1.00","10.00","1.00","3.00","36,543.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]a|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau from tree
2,"214|379|492|601|663",5,No,"98,049.00","0.00","141.00","10.00","7,500.00","1.00","1.00","11.00","1.00","3.00","36,188.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]t|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree
3,"30|112|321|583",4,No,"97,466.00","0.00","146.00","9.00","7,500.00","1.00","1.00","10.00","1.00","6.00","36,340.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]t|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau from tree|[L/M]f|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split
4,"18|146|410|496",4,No,"96,828.00","0.00","275.00","9.00","7,500.00","1.00","1.00","10.00","1.00","5.00","35,376.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]t|[L/M]a|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[L/M]b|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split
5,"208|317|575|686",4,No,"98,906.00","0.00","142.00","10.00","7,500.00","1.00","1.00","11.00","1.00","3.00","38,381.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[L/M]i|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau split|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree
6,"45|164|231|687",4,No,"101,436.00","0.00","284.00","4.00","7,500.00","1.00","1.00","5.00","1.00","1.00","38,132.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau split
7,"138|161|339|607",4,No,"95,729.00","0.00","139.00","9.00","7,500.00","1.00","1.00","10.00","1.00","2.00","34,668.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau split|[M-INVI]tau split|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join
8,"120|121|267|380",4,No,"101,011.00","0.00","152.00","10.00","7,500.00","1.00","1.00","11.00","1.00","1.00","37,903.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]t|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start
9,"25|111|188|287",4,No,"99,846.00","0.00","149.00","10.00","7,500.00","1.00","1.00","11.00","1.00","0.00","39,290.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start
10,"117|503|524|543",4,No,"99,677.00","0.00","147.00","10.00","7,500.00","1.00","1.00","11.00","1.00","0.00","38,578.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree
