case,event
2,a
2,am
2,c
2,r
2,aa
2,b
2,y
2,ab
2,i
2,aq
2,an
2,s
2,ao
2,x
2,d
2,ah
2,t
2,j
2,ai
3,h
3,a
3,f
3,u
3,k
3,n
3,ap
3,ag
3,z
3,p
3,r
3,b
3,e
3,aa
3,i
3,ab
3,aq
3,an
3,af
3,x
3,al
3,d
3,ah
3,t
3,j
3,ai
5,a
5,g
5,ak
5,q
5,c
5,am
5,i
5,r
5,b
5,af
5,al
5,ab
5,aq
5,an
5,aa
5,x
5,d
5,ah
5,t
5,j
5,ai
6,g
6,a
6,ak
6,q
6,p
6,e
6,i
6,s
6,ao
6,d
6,ah
6,t
6,j
6,ai
7,a
7,g
7,at
7,q
7,am
7,c
7,b
7,i
7,r
7,aa
7,ab
7,aq
7,s
7,ao
7,an
7,x
7,d
7,ah
7,t
7,j
7,ai
8,a
8,p
8,ac
8,l
8,r
8,m
8,ae
8,i
8,b
8,aa
8,ab
8,af
8,aq
8,al
8,an
8,x
8,d
8,ah
8,t
8,j
8,ai
10,g
10,at
10,q
10,a
10,z
10,p
10,b
10,ab
10,y
10,r
10,i
10,aq
10,s
10,an
10,ao
10,aa
10,x
10,d
10,ah
10,t
10,j
10,ai
11,a
11,aj
11,l
11,ac
11,m
11,ae
11,i
11,af
11,al
11,d
11,ah
11,t
11,j
11,ai
12,a
12,am
12,c
12,m
12,ae
12,i
12,s
12,ao
12,d
12,ah
12,t
12,j
12,ai
13,f
13,h
13,a
13,n
13,k
13,ag
13,v
13,ap
13,as
13,ad
13,aj
13,y
13,i
13,s
13,ao
13,d
13,ah
13,t
13,j
13,ai
14,g
14,ak
14,q
14,a
14,am
14,c
14,l
14,ac
14,m
14,ae
14,i
14,s
14,ao
14,d
14,ah
14,t
14,j
14,ai
15,a
15,c
15,am
15,r
15,aa
15,b
15,m
15,ab
15,aq
15,ae
15,an
15,i
15,x
15,af
15,al
15,d
15,ah
15,t
15,j
15,ai
16,a
16,am
16,c
16,b
16,ab
16,r
16,aa
16,y
16,aq
16,an
16,i
16,x
16,s
16,ao
16,d
16,ah
16,t
16,j
16,ai
17,g
17,a
17,at
17,q
17,z
17,p
17,m
17,ae
17,i
17,s
17,ao
17,d
17,ah
17,t
17,j
17,ai
18,f
18,ar
18,h
18,n
18,k
18,a
18,ag
18,ap
18,aj
18,l
18,ac
18,r
18,aa
18,b
18,y
18,ab
18,i
18,aq
18,af
18,an
18,x
18,al
18,d
18,ah
18,t
18,j
18,ai
21,a
21,aj
21,ac
21,l
21,m
21,ae
21,i
21,s
21,ao
21,d
21,ah
21,t
21,j
21,ai
22,h
22,a
22,f
22,n
22,ag
22,w
22,k
22,ap
22,c
22,am
22,b
22,r
22,aa
22,ab
22,i
22,aq
22,s
22,an
22,x
22,ao
22,d
22,ah
22,t
22,j
22,ai
23,a
23,g
23,at
23,q
23,am
23,c
23,l
23,ac
23,m
23,ae
23,i
23,af
23,al
23,d
23,ah
23,t
23,j
23,ai
24,f
24,h
24,k
24,n
24,ag
24,a
24,v
24,ap
24,as
24,ad
24,aj
24,ac
24,l
24,e
24,i
24,s
24,ao
24,d
24,ah
24,t
24,j
24,ai
25,a
25,c
25,am
25,ac
25,l
25,e
25,i
25,af
25,al
25,d
25,ah
25,t
25,j
25,ai
26,g
26,a
26,ak
26,q
26,o
26,p
26,l
26,ac
26,i
26,s
26,ao
26,d
26,ah
26,t
26,j
26,ai
28,a
28,z
28,p
28,l
28,ac
28,r
28,m
28,aa
28,b
28,ab
28,aq
28,ae
28,an
28,x
28,i
28,af
28,al
28,d
28,ah
28,t
28,j
28,ai
30,a
30,am
30,c
30,l
30,ac
30,m
30,b
30,ae
30,r
30,i
30,ab
30,aa
30,aq
30,af
30,an
30,x
30,al
30,d
30,ah
30,t
30,j
30,ai
32,a
32,g
32,at
32,q
32,am
32,c
32,l
32,ac
32,e
32,b
32,r
32,i
32,af
32,ab
32,al
32,aa
32,aq
32,an
32,x
32,d
32,ah
32,t
32,j
32,ai
33,a
33,am
33,c
33,i
33,af
33,al
33,d
33,ah
33,t
33,j
33,ai
34,f
34,h
34,a
34,n
34,k
34,u
34,ag
34,ap
34,c
34,am
34,ac
34,l
34,y
34,b
34,r
34,ab
34,i
34,af
34,aa
34,aq
34,al
34,an
34,x
34,d
34,ah
34,t
34,j
34,ai
35,g
35,a
35,at
35,q
35,am
35,c
35,ac
35,l
35,i
35,s
35,ao
35,d
35,ah
35,t
35,j
35,ai
36,f
36,h
36,a
