,event,case
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,0,1
6,1,1
7,2,1
8,3,1
9,4,1
10,0,2
11,1,2
12,2,2
13,3,2
14,4,2
15,0,3
16,1,3
17,2,3
18,3,3
19,4,3
20,0,4
21,1,4
22,2,4
23,3,4
24,4,4
25,0,5
26,1,5
27,2,5
28,3,5
29,4,5
30,0,6
31,1,6
32,2,6
33,3,6
34,4,6
35,0,7
36,1,7
37,2,7
38,3,7
39,4,7
40,0,8
41,1,8
42,2,8
43,3,8
44,4,8
45,0,9
46,1,9
47,2,9
48,3,9
49,4,9
50,0,10
51,1,10
52,2,10
53,3,10
54,4,10
55,0,11
56,1,11
57,2,11
58,3,11
59,4,11
60,0,12
61,1,12
62,2,12
63,3,12
64,4,12
65,0,13
66,1,13
67,2,13
68,3,13
69,4,13
70,0,14
71,1,14
72,2,14
73,3,14
74,4,14
75,0,15
76,1,15
77,2,15
78,3,15
79,4,15
80,0,16
81,1,16
82,2,16
83,3,16
84,4,16
85,0,17
86,1,17
87,2,17
88,3,17
89,4,17
90,0,18
91,1,18
92,2,18
93,3,18
94,4,18
95,0,19
96,1,19
97,2,19
98,3,19
99,4,19
100,0,20
101,1,20
102,2,20
103,3,20
104,4,20
105,0,21
106,1,21
107,2,21
108,3,21
109,4,21
110,0,22
111,1,22
112,2,22
113,3,22
114,4,22
115,0,23
116,1,23
117,2,23
118,3,23
119,4,23
120,0,24
121,1,24
122,2,24
123,3,24
124,4,24
125,0,25
126,1,25
127,2,25
128,3,25
129,4,25
130,0,26
131,1,26
132,2,26
133,3,26
134,4,26
135,0,27
136,1,27
137,2,27
138,3,27
139,4,27
140,0,28
141,1,28
142,2,28
143,3,28
144,4,28
145,0,29
146,1,29
147,2,29
148,3,29
149,4,29
150,0,30
151,1,30
152,2,30
153,3,30
154,4,30
155,0,31
156,1,31
157,2,31
158,3,31
159,4,31
160,0,32
161,1,32
162,2,32
163,3,32
164,4,32
165,0,33
166,1,33
167,2,33
168,3,33
169,4,33
170,0,34
171,1,34
172,2,34
173,3,34
174,4,34
175,0,35
176,1,35
177,2,35
178,3,35
179,4,35
180,0,36
181,1,36
182,2,36
183,3,36
184,4,36
185,0,37
186,1,37
187,2,37
188,3,37
189,4,37
190,0,38
191,1,38
192,2,38
193,3,38
194,4,38
195,0,39
196,1,39
197,2,39
198,3,39
199,4,39
200,0,40
201,1,40
202,2,40
203,3,40
204,4,40
205,0,41
206,1,41
207,2,41
208,3,41
209,4,41
210,0,42
211,1,42
212,2,42
213,3,42
214,4,42
215,0,43
216,1,43
217,2,43
218,3,43
219,4,43
220,0,44
221,1,44
222,2,44
223,3,44
224,4,44
225,0,45
226,1,45
227,2,45
228,3,45
229,4,45
230,0,46
231,1,46
232,2,46
233,3,46
234,4,46
235,0,47
236,1,47
237,2,47
238,3,47
239,4,47
240,0,48
241,1,48
242,2,48
243,3,48
244,4,48
245,0,49
246,1,49
247,2,49
248,3,49
249,4,49
250,0,50
251,1,50
252,2,50
253,3,50
254,4,50
255,0,51
256,1,51
257,2,51
258,3,51
259,4,51
260,0,52
261,1,52
262,2,52
263,3,52
264,4,52
265,0,53
266,1,53
267,2,53
268,3,53
269,4,53
270,0,54
271,1,54
272,2,54
273,3,54
274,4,54
275,0,55
276,1,55
277,2,55
278,3,55
279,4,55
280,0,56
281,1,56
282,2,56
283,3,56
284,4,56
285,0,57
286,1,57
287,2,57
288,3,57
289,4,57
290,0,58
291,1,58
292,2,58
293,3,58
294,4,58
295,0,59
296,1,59
297,2,59
298,3,59
299,4,59
300,0,60
301,1,60
302,2,60
303,3,60
304,4,60
305,0,61
306,1,61
307,2,61
308,3,61
309,4,61
310,0,62
311,1,62
312,2,62
313,3,62
314,4,62
315,0,63
316,1,63
317,2,63
318,3,63
319,4,63
320,0,64
321,1,64
322,2,64
323,3,64
324,4,64
325,0,65
326,1,65
327,2,65
328,3,65
329,4,65
330,0,66
331,1,66
332,2,66
333,3,66
334,4,66
335,0,67
336,1,67
337,2,67
338,3,67
339,4,67
340,0,68
341,1,68
342,2,68
343,3,68
344,4,68
345,0,69
346,1,69
347,2,69
348,3,69
349,4,69
350,0,70
351,1,70
352,2,70
353,3,70
354,4,70
355,0,71
356,1,71
357,2,71
358,3,71
359,4,71
360,0,72
361,1,72
362,2,72
363,3,72
364,4,72
365,0,73
366,1,73
367,2,73
368,3,73
369,4,73
370,0,74
371,1,74
372,2,74
373,3,74
374,4,74
375,0,75
376,1,75
377,2,75
378,3,75
379,4,75
380,0,76
381,1,76
382,2,76
383,3,76
384,4,76
385,0,77
386,1,77
387,2,77
388,3,77
389,4,77
390,0,78
391,1,78
392,2,78
393,3,78
394,4,78
395,0,79
396,1,79
397,2,79
398,3,79
399,4,79
400,0,80
401,1,80
402,2,80
403,3,80
404,4,80
405,0,81
406,1,81
407,2,81
408,3,81
409,4,81
410,0,82
411,1,82
412,2,82
413,3,82
414,4,82
415,0,83
416,1,83
417,2,83
418,3,83
419,4,83
420,0,84
421,1,84
422,2,84
423,3,84
424,4,84
425,0,85
426,1,85
427,2,85
428,3,85
429,4,85
430,0,86
431,1,86
432,2,86
433,3,86
434,4,86
435,0,87
436,1,87
437,2,87
438,3,87
439,4,87
440,0,88
441,1,88
442,2,88
443,3,88
444,4,88
445,0,89
446,1,89
447,2,89
448,3,89
449,4,89
450,0,90
451,1,90
452,2,90
453,3,90
454,4,90
455,0,91
456,1,91
457,2,91
458,3,91
459,4,91
460,0,92
461,1,92
462,2,92
463,3,92
464,4,92
465,0,93
466,1,93
467,2,93
468,3,93
469,4,93
470,0,94
471,1,94
472,2,94
473,3,94
474,4,94
475,0,95
476,1,95
477,2,95
478,3,95
479,4,95
480,0,96
481,1,96
482,2,96
483,3,96
484,4,96
485,0,97
486,1,97
487,2,97
488,3,97
489,4,97
490,0,98
491,1,98
492,2,98
493,3,98
494,4,98
495,0,99
496,1,99
497,2,99
498,3,99
499,4,99
500,0,100
501,1,100
502,2,100
503,3,100
504,4,100
505,0,101
506,1,101
507,2,101
508,3,101
509,4,101
510,0,102
511,1,102
512,2,102
513,3,102
514,4,102
515,0,103
516,1,103
517,2,103
518,3,103
519,4,103
520,0,104
521,1,104
522,2,104
523,3,104
524,4,104
525,0,105
526,1,105
527,2,105
528,3,105
529,4,105
530,0,106
531,1,106
532,2,106
533,3,106
534,4,106
535,0,107
536,1,107
537,2,107
538,3,107
539,4,107
540,0,108
541,1,108
542,2,108
543,3,108
544,4,108
545,0,109
546,1,109
547,2,109
548,3,109
549,4,109
550,0,110
551,1,110
552,2,110
553,3,110
554,4,110
555,0,111
556,1,111
557,2,111
558,3,111
559,4,111
560,0,112
561,1,112
562,2,112
563,3,112
564,4,112
565,0,113
566,1,113
567,2,113
568,3,113
569,4,113
570,0,114
571,1,114
572,2,114
573,3,114
574,4,114
575,0,115
576,1,115
577,2,115
578,3,115
579,4,115
580,0,116
581,1,116
582,2,116
583,3,116
584,4,116
585,0,117
586,1,117
587,2,117
588,3,117
589,4,117
590,0,118
591,1,118
592,2,118
593,3,118
594,4,118
595,0,119
596,1,119
597,2,119
598,3,119
599,4,119
600,0,120
601,1,120
602,2,120
603,3,120
604,4,120
605,0,121
606,1,121
607,2,121
608,3,121
609,4,121
610,0,122
611,1,122
612,2,122
613,3,122
614,4,122
615,0,123
616,1,123
617,2,123
618,3,123
619,4,123
620,0,124
621,1,124
622,2,124
623,3,124
624,4,124
625,0,125
626,1,125
627,2,125
628,3,125
629,4,125
630,0,126
631,1,126
632,2,126
633,3,126
634,4,126
635,0,127
636,1,127
637,2,127
638,3,127
639,4,127
