Result of replaying e2880fd0-c8c7-498f-a927-22f648aea26c on Anonymous log imported from feb-log2-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"9",1,Yes,"2,196.00","12.00","86.00","39.00","662.00","1.00","0.72","43.00","0.69","39.00","1,074.00",[M-INVI]tau split|[M-INVI]tau from tree|[L/M]a|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ae|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L]i|[L/M]s|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]ao|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L]d|[L]t|[L]ah|[L]t|[L]j|[L]j|[L]ai|[L]a|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L]p|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ae|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]ao|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[M-INVI]tau from tree|[L]j|[L]ai
2,"1",1,Yes,"485.00","3.00","32.00","29.00","107.00","0.93","0.91","33.00","0.97","29.00","368.00",[M-INVI]tau split|[M-REAL]a|[M-INVI]tau split|[L/M]f|[M-INVI]tau split|[L/M]v|[M-REAL]as|[L/M]n|[L/M]h|[L/M]k|[L/M]ag|[L/M]ap|[L/M]ad|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]x|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L]ah|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[M-INVI]tau from tree
3,"21",1,Yes,"433.00","5.00","22.00","30.00","108.00","0.93","0.85","34.00","0.90","30.00","312.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau split|[L/M]h|[L/M]f|[L/M]k|[L/M]n|[M-INVI]tau split|[L]ag|[L/M]ag|[L/M]v|[L/M]ap|[L/M]as|[L]aj|[L/M]ad|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-REAL]aj|[M-INVI]tau split|[L]l|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]i|[L/M]e|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]an|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
4,"18",1,Yes,"376.00","0.00","19.00","28.00","87.00","1.00","1.00","32.00","1.00","28.00","284.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau split|[L/M]f|[L/M]n|[L/M]h|[L/M]k|[M-INVI]tau split|[L/M]ag|[L/M]u|[L/M]ap|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]aj|[M-INVI]tau split|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ae|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[L/M]i|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau start|[L/M]an|[L/M]aa|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
5,"12",1,Yes,"331.00","0.00","11.00","27.00","83.00","1.00","1.00","31.00","1.00","27.00","265.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[L/M]f|[L/M]a|[M-INVI]tau split|[L/M]u|[L/M]k|[L/M]n|[L/M]ag|[L/M]ap|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau split|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[L/M]e|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[L/M]i|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
6,"34",1,Yes,"372.00","0.00","14.00","26.00","86.00","1.00","1.00","30.00","1.00","26.00","288.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[L/M]f|[L/M]a|[M-INVI]tau split|[L/M]u|[L/M]n|[L/M]k|[L/M]ap|[L/M]ag|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ae|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]ab|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]aq|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
7,"40",1,Yes,"398.00","0.00","19.00","26.00","85.00","1.00","1.00","30.00","1.00","26.00","297.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]a|[L/M]h|[L/M]k|[L/M]n|[M-INVI]tau split|[L/M]w|[L/M]ag|[L/M]ap|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]m|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]an|[M-INVI]tau from tree|[L/M]ae|[M-INVI]tau from tree|[L/M]x|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
8,"38",1,Yes,"393.00","0.00","13.00","26.00","89.00","1.00","1.00","30.00","1.00","26.00","292.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]k|[L/M]h|[L/M]ap|[L/M]a|[L/M]n|[M-INVI]tau split|[L/M]u|[L/M]ag|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]z|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]y|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau start|[L/M]ab|[L/M]aa|[L/M]i|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
9,"22",1,Yes,"427.00","0.00","8.00","26.00","96.00","1.00","1.00","30.00","1.00","26.00","306.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau split|[L/M]f|[L/M]h|[L/M]k|[L/M]n|[M-INVI]tau split|[L/M]ar|[L/M]ap|[L/M]ag|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]y|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau start|[L/M]ab|[L/M]i|[L/M]aa|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]an|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
10,"14",1,Yes,"330.00","0.00","16.00","22.00","81.00","1.00","1.00","26.00","1.00","22.00","248.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]e|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]ab|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[L/M]i|[M-INVI]tau split|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ao|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
11,"5",1,Yes,"518.00","3.00","26.00","23.00","115.00","0.95","0.89","27.00","0.91","23.00","298.00",[M-INVI]tau split|[L/M]a|[L/M]g|[M-REAL]ak|[L/M]q|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L]ac|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[L/M]e|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]ab|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]aq|[M-INVI]tau from tree|[L/M]ao|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L]x|[L/M]ah|[L/M]t|[M-INVI]tau from tree|[L/M]ai
