Result of replaying 1538c2f7-5105-429d-bbbc-86a4389b223f on Anonymous log imported from mar-log4-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"9|32",2,Yes,"59.00","0.00","0.00","10.00","18.00","1.00","1.00","16.00","1.00","10.00","56.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[L/M]c|[L/M]as|[L/M]r|[L/M]t|[M-INVI]tau from tree
2,"11|24",2,Yes,"57.00","0.00","0.00","9.00","17.00","1.00","1.00","15.00","1.00","9.00","53.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[L/M]w|[L/M]ao|[L/M]t|[M-INVI]tau from tree
3,"39",1,Yes,"99.00","12.00","8.00","22.00","38.00","0.92","0.57","28.00","0.50","22.00","93.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[L/M]c|[L/M]as|[L]r|[L/M]r|[M-REAL]t|[L]ac|[L]ac|[L]c|[L]aj|[L]c|[L]ag|[L/M]w|[M-INVI]ae|[M-INVI]l|[M-INVI]e|[M-INVI]ab|[L]ae|[L]l|[L]ab|[L]e|[L/M]as
4,"21",1,Yes,"109.00","3.00","9.00","15.00","35.00","1.00","0.86","21.00","0.80","15.00","103.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]t|[L]b|[L/M]b|[L/M]q|[L]c|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L]m|[L/M]k|[M-INVI]m|[M-INVI]tau join|[L/M]t
5,"22",1,Yes,"111.00","5.00","6.00","12.00","39.00","0.77","0.72","18.00","0.83","12.00","103.00",[M-INVI]tau split|[M-REAL]a|[L]v|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]v|[M-REAL]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L]ak|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[M-INVI]tau split|[L/M]t|[L/M]q|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]s|[L/M]k|[M-INVI]tau join|[L/M]t
6,"33",1,Yes,"130.00","10.00","12.00","18.00","82.00","0.90","0.58","24.00","0.50","18.00","126.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[L/M]w|[L/M]ao|[M-REAL]t|[L]u|[L]u|[L]a|[L]aj|[L]v|[L]ak|[L]am|[L]c|[L/M]w|[M-INVI]ae|[M-INVI]l|[M-INVI]e|[M-INVI]ab|[M-INVI]e|[L]u
7,"19",1,Yes,"97.00","1.00","9.00","14.00","32.00","1.00","0.95","20.00","0.93","14.00","93.00",[M-INVI]tau split|[L/M]ai|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L]am|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[L/M]q|[M-INVI]tau split|[L/M]t|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]s|[L/M]k|[M-INVI]tau join|[L/M]t
8,"28",1,Yes,"99.00","0.00","6.00","13.00","29.00","1.00","1.00","19.00","1.00","13.00","95.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]c|[L/M]q|[L/M]b|[L/M]t|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]s|[L/M]k|[M-INVI]tau join|[L/M]t
9,"16",1,Yes,"80.00","3.00","8.00","10.00","26.00","0.82","0.81","16.00","0.90","10.00","75.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]y|[L/M]q|[L/M]b|[M-INVI]tau join|[L/M]aq|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]k|[M-INVI]m|[M-INVI]tau join|[M-INVI]tau from tree|[L]m
10,"31",1,Yes,"62.00","5.00","6.00","11.00","22.00","0.80","0.71","17.00","0.73","11.00","59.00",[M-INVI]tau split|[M-REAL]ai|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L]c|[L/M]c|[M-INVI]tau join|[L/M]c|[L/M]as|[L/M]r|[M-REAL]t|[M-INVI]tau from tree|[L]al|[L]n
