case,event
1,av
1,f
1,a
1,i
1,y
1,ad
1,d
1,o
1,w
1,ak
1,ag
3,b
3,a
3,g
3,u
3,ae
3,d
3,o
3,au
3,w
3,ag
4,b
4,aj
4,l
4,q
4,an
4,u
4,ab
4,x
4,al
4,j
4,v
4,ap
4,af
4,e
4,s
4,ai
4,t
6,as
6,a
6,y
6,d
6,au
6,i
6,f
6,ad
6,o
6,w
6,ag
7,b
7,a
7,h
7,p
7,u
7,g
7,d
7,ak
7,o
8,g
8,b
8,l
8,u
8,q
8,ab
8,an
8,x
8,al
8,ae
8,e
8,s
8,ai
8,t
9,l
9,q
9,x
9,an
9,g
9,z
9,b
9,al
9,ae
9,u
9,e
9,s
9,at
9,t
10,as
10,a
10,i
10,e
10,ad
10,f
10,s
10,ai
10,t
11,b
11,u
11,a
11,g
11,ah
11,ao
11,d
11,n
11,o
12,i
12,l
12,q
12,f
12,as
12,ad
12,x
12,an
12,ab
12,al
12,ae
12,e
13,as
13,i
13,f
13,a
13,j
13,v
13,af
13,ap
13,e
13,ad
13,s
13,at
13,t
14,b
14,u
14,aj
14,l
14,q
14,ab
14,x
14,an
14,al
14,h
14,p
14,e
14,s
14,ai
16,l
16,f
16,i
16,av
16,q
16,an
16,x
16,ab
16,ad
16,al
16,ac
16,e
16,s
16,at
16,t
17,i
17,l
17,as
17,q
17,ab
17,ad
17,f
17,x
17,an
17,al
17,ah
17,ao
17,e
17,s
17,at
17,t
18,g
18,b
18,a
18,u
18,d
18,au
18,w
18,o
18,ag
19,i
19,as
19,ad
19,l
19,f
19,q
19,z
19,an
19,x
19,al
19,d
19,n
19,o
19,m
20,as
20,l
20,i
20,f
20,ad
20,q
20,ab
20,an
20,x
20,al
20,aa
20,e
20,s
20,at
20,t
22,i
22,ad
22,as
22,f
22,l
22,q
22,x
22,an
22,ab
22,al
22,aa
22,e
22,s
22,at
22,t
23,l
23,i
23,f
23,q
23,ad
23,z
23,av
23,an
23,x
23,al
23,c
23,aq
23,ar
23,e
23,s
23,ai
23,t
25,i
25,l
25,ad
25,av
25,f
25,q
25,an
25,x
25,ab
25,al
25,d
25,o
25,m
27,l
27,i
27,q
27,f
27,x
27,av
27,an
27,z
27,ad
27,al
27,aa
27,e
27,s
27,at
28,i
28,ad
28,f
28,av
28,l
28,q
28,an
28,x
28,z
28,al
28,c
28,aq
28,ar
28,e
28,s
28,at
28,t
29,l
29,q
29,z
29,an
29,aj
29,x
29,b
29,al
29,u
29,h
29,p
29,e
29,s
29,at
29,t
30,b
30,a
30,u
30,y
30,d
30,o
32,f
32,i
32,a
32,av
32,ad
32,j
32,af
32,ap
32,v
32,d
32,n
32,m
33,k
33,a
33,b
33,u
33,e
33,s
33,ai
33,t
34,a
34,aa
34,d
34,i
34,ad
34,as
34,f
34,o
36,i
36,ad
36,av
36,f
36,l
36,q
36,an
36,ab
36,x
36,al
36,y
36,e
36,s
36,ai
36,t
38,a
38,b
38,ac
38,u
38,d
38,m
38,o
38,n
40,av
40,a
40,f
40,i
40,h
40,ad
40,p
40,e
40,s
40,ai
40,t
41,b
41,a
41,aj
41,u
41,ae
41,d
41,au
41,m
41,w
41,o
41,ag
42,a
42,ac
42,d
42,ak
42,b
42,u
42,m
42,w
42,o
42,ag
43,a
43,b
43,e
43,s
43,ai
43,u
43,t
44,a
44,b
44,ac
44,aj
44,u
44,e
44,s
44,at
44,t
45,i
45,l
45,q
45,f
45,as
45,ad
45,x
45,ab
45,an
45,al
45,aa
45,e
45,s
45,ai
45,t
47,b
47,g
47,a
47,u
47,e
47,s
47,ai
47,t
48,aj
48,b
48,l
48,u
48,q
48,an
48,x
48,ab
48,al
48,ae
48,e
48,s
48,at
48,t
49,as
49,f
49,l
49,q
49,i
49,x
49,ad
49,ab
49,an
49,al
49,j
49,ap
49,af
49,v
49,e
49,s
49,at
49,t
50,l
50,q
50,an
50,aj
50,x
50,b
50,al
50,ab
50,ac
50,u
50,e
50,s
50,ai
50,t
51,a
51,aj
51,b
51,ae
51,u
53,i
53,f
53,ad
53,as
53,l
53,q
53,z
53,x
53,an
53,al
53,y
53,e
53,s
53,at
53,t
55,a
55,b
55,ac
55,u
55,e
55,s
55,ai
55,t
56,i
56,as
56,f
56,a
56,ad
56,j
56,ap
56,v
56,af
56,e
56,s
56,ai
56,t
57,f
57,l
57,as
57,i
57,ad
57,q
57,x
57,an
57,ab
57,al
57,ae
57,e
57,s
57,ai
57,t
58,i
58,as
58,l
58,f
58,q
58,an
58,ad
58,ab
58,x
58,al
58,aa
58,d
58,n
58,o
60,b
60,u
60,a
60,ae
60,d
60,n
60,o
63,as
63,f
63,i
63,a
63,ad
63,y
63,e
63,s
63,at
67,b
67,u
67,k
67,l
67,q
67,x
67,an
67,ab
67,al
67,y
67,d
67,m
67,o
67,n
68,g
68,a
68,b
68,y
68,d
68,o
68,n
68,u
68,m
69,l
69,q
69,b
69,x
69,u
69,ab
69,an
69,al
69,h
69,p
69,e
70,b
70,u
70,g
70,l
70,q
70,an
70,x
70,z
70,al
70,aa
70,e
70,s
70,ai
70,t
71,a
71,f
71,j
71,i
71,av
71,v
71,ap
71,af
71,ad
71,e
71,s
71,ai
71,t
72,f
72,l
72,i
72,q
72,an
72,as
72,ab
72,ad
72,x
72,al
72,aq
72,c
72,ar
72,e
72,s
72,ai
72,t
75,av
75,i
75,ad
75,f
75,l
75,q
75,x
75,an
75,al
75,ab
75,j
75,af
75,ap
75,v
75,e
75,s
75,at
76,av
76,l
76,f
76,i
76,ad
76,q
76,z
76,x
76,an
76,al
76,am
76,ao
76,e
76,s
76,ai
76,t
77,as
77,l
77,i
77,f
77,q
77,z
77,ad
77,an
77,x
77,al
77,aa
77,e
77,s
77,ai
77,t
78,as
78,i
78,ad
78,l
78,f
78,q
78,x
78,an
78,z
78,al
78,j
78,af
78,ap
78,v
78,e
78,s
78,ai
78,t
79,as
79,i
79,l
79,f
79,q
79,x
79,ad
79,ab
79,an
79,al
79,ac
79,e
79,s
79,ai
79,t
82,i
82,f
82,a
82,as
82,aa
82,ad
82,d
82,au
82,w
82,o
82,ag
83,b
83,u
83,a
83,aa
83,d
83,au
83,m
83,w
83,o
83,ag
87,as
87,l
87,f
87,i
87,ad
87,q
87,ab
87,an
87,x
87,al
87,r
87,am
87,d
87,ak
87,m
87,w
87,o
87,ag
88,l
88,b
88,u
88,q
88,ab
88,an
88,x
88,al
88,ao
88,am
88,e
88,s
88,at
88,t
89,f
89,as
89,l
89,i
89,q
89,x
89,an
89,al
89,z
89,ad
89,j
89,v
89,ap
89,af
89,d
89,m
89,n
89,o
91,b
91,u
91,l
91,q
91,an
91,x
91,z
91,al
91,ae
91,d
91,m
91,n
91,o
94,l
94,b
94,q
94,x
94,an
94,u
94,z
94,al
94,h
94,p
94,e
94,s
94,at
94,t
95,l
95,f
95,i
95,as
95,ad
95,q
95,z
95,an
95,x
95,al
95,ao
95,am
95,e
95,s
95,ai
95,t
96,i
96,ad
96,av
96,f
96,l
96,q
96,an
96,ab
96,x
96,al
96,ae
96,d
96,n
96,o
99,a
99,av
99,f
99,i
99,d
99,ad
99,o
99,n
100,f
100,as
100,i
100,l
100,ad
100,q
100,ab
100,x
100,an
100,al
100,c
100,aq
100,ar
100,d
100,o
100,m
100,n
101,av
101,i
101,ad
101,l
101,f
101,q
101,x
101,ab
101,an
101,al
101,aa
101,d
101,o
101,au
101,w
101,ag
102,a
102,aa
102,f
102,d
102,as
102,i
102,ad
102,o
102,n
102,m
104,g
104,a
104,b
104,ac
104,e
104,s
104,u
104,at
104,t
105,av
105,f
105,i
105,a
105,ad
105,e
105,s
105,ai
105,t
106,b
106,u
106,aj
106,a
106,ac
106,e
106,s
106,at
106,t
107,f
107,i
107,ad
107,l
107,as
107,q
107,ab
107,an
107,x
107,al
107,ae
107,d
107,ak
107,w
107,ag
107,o
109,i
109,ad
109,f
109,as
109,a
109,c
109,aq
109,ar
109,d
109,n
109,o
110,f
110,l
110,q
110,x
110,av
110,i
110,ab
110,ad
110,an
110,al
110,ah
110,ao
110,d
110,w
110,o
110,au
110,ag
111,f
111,i
111,ad
111,as
111,a
111,aa
111,d
111,n
111,m
111,o
115,i
115,av
115,ad
115,f
115,a
115,j
115,v
115,af
115,ap
115,d
115,o
115,m
116,i
116,ad
116,f
116,l
116,as
116,q
116,an
116,z
116,x
116,al
116,h
116,p
116,d
116,n
116,o
117,a
117,b
117,ao
117,k
117,am
117,u
117,d
117,o
117,m
118,b
118,l
118,q
118,u
118,z
118,x
118,an
118,al
118,ae
118,e
118,s
118,ai
118,t
121,aj
121,l
121,b
121,u
121,q
121,z
121,an
121,x
121,al
121,r
121,ah
121,e
121,s
121,ai
121,t
122,g
122,b
122,a
122,ae
122,u
124,l
124,i
124,q
124,av
124,f
124,ad
124,x
124,an
124,z
124,al
124,ao
124,ah
124,e
124,s
124,at
124,t
126,aj
126,l
126,b
126,q
126,ab
126,u
126,an
126,x
126,al
126,h
126,p
126,e
126,s
126,at
126,t
128,i
128,as
128,f
128,a
128,ad
128,aq
128,c
128,ar
128,e
128,s
128,at
129,l
129,q
129,x
129,an
129,b
129,u
