Result of replaying 6e24ac09-fb25-4f0b-8669-169875ab335f on Anonymous log imported from feb-log3-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"21",1,Yes,"5,938.00","3.00","15.00","18.00","1,630.00","1.00","0.86","22.00","0.83","18.00","2,180.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]u|[L/M]l|[L/M]k|[L/M]q|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]x|[L]x|[L/M]an|[L]al|[L/M]ab|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]aa|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]w|[M-INVI]tau laterDoChild|[L/M]ak|[L/M]m|[M-INVI]tau laterDoChild|[L/M]o|[M-INVI]tau finish|[L]o|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau join
2,"16",1,Yes,"5,159.00","5.00","14.00","15.00","1,759.00","1.00","0.74","19.00","0.67","15.00","2,193.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau split|[L]c|[L/M]f|[L/M]as|[L/M]i|[L]aq|[L/M]ad|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]ar|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L]d|[L]d|[L/M]au|[M-INVI]tau laterDoChild|[L/M]w|[M-INVI]tau laterDoChild|[L/M]o|[M-INVI]tau finish|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau from tree|[M-INVI]tau join
3,"34",1,Yes,"3,889.00","5.00","11.00","11.00","1,267.00","0.80","0.67","15.00","0.73","11.00","1,569.00",[M-INVI]tau split|[L/M]l|[M-INVI]tau split|[L/M]b|[M-INVI]tau from tree|[M-REAL]u|[M-INVI]tau join|[M-REAL]q|[M-INVI]tau join|[M-INVI]tau from tree|[L]an|[L/M]al|[M-INVI]tau from tree|[L]al|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau laterDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]ak|[M-INVI]tau laterDoChild|[L/M]w|[M-INVI]tau finish|[L/M]ag|[M-INVI]tau from tree|[M-INVI]tau finish|[M-INVI]tau join|[L]ag
4,"38",1,Yes,"2,530.00","1.00","5.00","15.00","608.00","1.00","0.95","19.00","0.93","15.00","1,174.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]i|[L/M]f|[L/M]l|[L/M]as|[L/M]ad|[L/M]q|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]z|[L/M]an|[L/M]x|[M-INVI]tau join|[L/M]al|[M-INVI]tau split|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[L]m|[L/M]d|[M-INVI]tau split|[L/M]m|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau join
5,"1",1,Yes,"3,115.00","3.00","8.00","9.00","864.00","1.00","0.77","13.00","0.67","9.00","1,274.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau split|[L/M]b|[L]b|[L]ae|[L/M]k|[L]d|[L/M]u|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]ak|[M-INVI]tau laterDoChild|[L/M]o|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau finish|[M-INVI]tau join
6,"14",1,Yes,"953.00","0.00","2.00","14.00","191.00","1.00","1.00","18.00","1.00","14.00","536.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]g|[L/M]l|[L/M]b|[L/M]q|[L/M]u|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]z|[L/M]x|[L/M]an|[M-INVI]tau join|[L/M]al|[M-INVI]tau split|[L/M]ah|[L/M]ao|[M-INVI]tau join|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau laterDoChild|[L/M]n|[M-INVI]tau finish|[M-INVI]tau from tree|[M-INVI]tau join
7,"37",1,Yes,"4,127.00","4.00","11.00","15.00","1,203.00","0.92","0.79","19.00","0.80","15.00","1,901.00",[M-INVI]tau split|[L/M]l|[M-INVI]tau split|[L]l|[L/M]f|[L/M]as|[L/M]i|[L/M]q|[M-REAL]ad|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]an|[L/M]ab|[L/M]x|[M-INVI]tau join|[L]ad|[L/M]al|[M-INVI]tau from tree|[L]ao|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[L/M]m|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau join
8,"4",1,Yes,"1,206.00","0.00","3.00","11.00","241.00","1.00","1.00","15.00","1.00","11.00","624.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]u|[L/M]a|[L/M]g|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]j|[M-INVI]tau split|[L/M]af|[M-INVI]tau split|[L/M]v|[L/M]ap|[M-INVI]tau join|[M-INVI]tau join|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau laterDoChild|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau finish|[M-INVI]tau join
9,"26",1,Yes,"4,743.00","7.00","16.00","14.00","1,786.00","0.89","0.61","18.00","0.57","14.00","2,060.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]g|[M-REAL]l|[L/M]q|[L]x|[L/M]b|[L]an|[L/M]u|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]ab|[L]p|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[L]o|[L/M]m|[M-INVI]tau laterDoChild|[L/M]n|[M-INVI]tau finish|[M-INVI]tau join|[L]n
10,"5",1,Yes,"493.00","0.00","1.00","15.00","109.00","1.00","1.00","19.00","1.00","15.00","330.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]k|[L/M]l|[L/M]u|[L/M]q|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]z|[L/M]an|[L/M]x|[M-INVI]tau join|[L/M]al|[L/M]h|[L/M]p|[L/M]d|[M-INVI]tau split|[L/M]m|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau laterDoChild|[L/M]n|[M-INVI]tau finish|[M-INVI]tau join
