,event,case
0,a,0
1,aj,0
2,aj,1
3,a,1
4,ai,2
5,a,2
6,aj,2
7,aj,3
8,a,3
9,aj,4
10,a,4
11,aj,5
12,a,5
13,a,6
14,aj,6
15,a,7
16,aj,7
17,a,8
18,ai,8
19,aj,9
20,a,9
21,a,10
22,aj,10
23,a,11
24,aj,11
25,aj,12
26,a,12
27,ai,13
28,a,13
29,aj,14
30,a,14
31,aj,15
32,a,15
33,a,16
34,aj,16
35,a,17
36,aj,17
37,a,18
38,aj,18
39,a,19
40,aj,19
41,aj,20
42,a,20
43,a,21
44,aj,21
45,aj,22
46,a,22
47,aj,23
48,a,23
49,a,24
50,aj,24
51,aj,25
52,a,25
53,aj,26
54,a,26
55,a,27
56,aj,27
57,a,28
58,aj,28
59,a,29
60,aj,29
61,a,30
62,aj,30
63,aj,31
64,a,31
65,a,32
66,aj,32
67,a,33
68,aj,33
69,aj,34
70,a,34
71,aj,35
72,a,35
73,a,36
74,aj,36
75,aj,37
76,a,37
77,a,38
78,aj,38
79,a,39
80,aj,39
81,a,40
82,aj,40
83,aj,41
84,a,41
85,a,42
86,aj,42
87,ai,43
88,a,43
89,ai,44
90,a,44
91,a,45
92,aj,45
93,a,46
94,aj,46
95,ai,47
96,a,47
97,a,48
98,aj,48
99,aj,49
100,a,49
101,a,50
102,aj,50
103,aj,51
104,a,51
105,aj,52
106,a,52
107,a,53
108,aj,53
109,aj,54
110,a,54
111,aj,55
112,a,55
113,aj,56
114,a,56
115,aj,57
116,a,57
117,aj,58
118,a,58
119,aj,59
120,a,59
121,a,60
122,aj,60
123,a,61
124,aj,61
125,a,62
126,aj,62
127,aj,63
128,a,63
129,a,64
130,aj,64
131,a,65
132,ai,65
133,a,66
134,aj,66
135,aj,67
136,a,67
137,a,68
138,aj,68
139,a,69
140,aj,69
141,aj,70
142,a,70
143,a,71
144,aj,71
145,a,72
146,aj,72
147,a,73
148,aj,73
149,a,74
150,ai,74
151,a,75
152,aj,75
153,a,76
154,aj,76
155,aj,77
156,a,77
157,aj,78
158,a,78
159,aj,79
160,a,79
161,a,80
162,ai,80
163,aj,81
164,a,81
165,aj,81
166,aj,82
167,a,82
168,aj,83
169,a,83
170,a,84
171,ai,84
172,aj,85
173,a,85
174,aj,86
175,a,86
176,a,87
177,aj,87
178,a,88
179,aj,88
180,a,89
181,aj,89
182,aj,90
183,a,90
184,aj,91
185,a,91
186,aj,92
187,a,92
188,aj,93
189,a,93
190,aj,94
191,a,94
192,aj,95
193,a,95
194,aj,96
195,a,96
196,a,97
197,aj,97
198,a,98
199,aj,98
200,aj,99
201,a,99
202,aj,100
203,a,100
204,a,101
205,ai,101
206,aj,102
207,a,102
208,aj,103
209,a,103
210,a,104
211,ai,104
212,aj,105
213,a,105
214,a,106
215,ai,106
216,a,107
217,ai,107
218,aj,108
219,a,108
220,a,109
221,ai,109
222,a,110
223,aj,110
224,a,111
225,aj,111
226,ai,112
227,a,112
228,a,113
229,aj,113
230,a,114
231,aj,114
232,a,115
233,aj,115
234,a,116
235,aj,116
236,aj,117
237,a,117
238,aj,118
239,a,118
240,aj,119
241,a,119
242,ai,120
243,a,120
244,a,121
245,aj,121
246,a,122
247,aj,122
248,a,123
249,aj,123
250,aj,124
251,a,124
252,a,125
253,aj,125
254,ai,126
255,a,126
256,a,127
257,aj,127
258,ai,128
259,a,128
260,aj,129
261,a,129
262,a,130
263,aj,130
264,a,131
265,aj,131
266,a,132
267,aj,132
268,ai,133
269,a,133
270,aj,134
271,a,134
272,a,135
273,aj,135
274,a,136
275,aj,136
276,a,137
277,aj,137
278,aj,138
279,a,138
280,aj,139
281,a,139
282,a,140
283,aj,140
284,a,141
285,aj,141
286,a,142
287,aj,142
288,a,143
289,aj,143
290,aj,144
291,a,144
292,aj,145
293,a,145
294,a,146
295,aj,146
296,aj,147
297,a,147
298,aj,148
299,a,148
300,aj,149
301,a,149
302,a,150
303,aj,150
304,aj,151
305,a,151
306,a,152
307,aj,152
308,aj,153
309,a,153
310,a,154
311,aj,154
312,aj,155
313,a,155
314,a,156
315,aj,156
316,aj,157
317,a,157
318,a,158
319,aj,158
320,a,159
321,aj,159
322,a,160
323,aj,160
324,a,161
325,aj,161
326,a,162
327,aj,162
328,aj,163
329,a,163
330,a,164
331,aj,164
332,aj,165
333,a,165
334,ai,166
335,a,166
336,aj,167
337,a,167
338,aj,168
339,a,168
340,aj,169
341,a,169
342,aj,170
343,a,170
344,aj,171
345,a,171
346,a,172
347,aj,172
348,a,173
349,aj,173
350,a,174
351,aj,174
352,a,175
353,aj,175
354,ai,176
355,a,176
356,aj,177
357,a,177
358,aj,178
359,a,178
360,aj,179
361,a,179
362,a,180
363,aj,180
364,a,181
365,aj,181
366,a,182
367,aj,182
368,a,183
369,aj,183
370,aj,183
371,a,184
372,aj,184
373,a,185
374,aj,185
375,aj,186
376,a,186
377,aj,187
378,a,187
379,aj,188
380,a,188
381,aj,189
382,a,189
383,aj,190
384,a,190
385,a,191
386,aj,191
387,aj,191
388,aj,192
389,a,192
390,aj,193
391,a,193
392,a,194
393,aj,194
394,a,195
395,aj,195
396,aj,196
397,a,196
398,a,197
399,aj,197
400,a,198
401,aj,198
402,a,199
403,aj,199
404,aj,200
405,a,200
406,aj,201
407,a,201
408,aj,202
409,a,202
410,a,203
411,aj,203
412,aj,204
413,a,204
414,a,205
415,aj,205
416,a,206
417,aj,206
418,a,207
419,ai,207
420,aj,208
421,a,208
422,a,209
423,aj,209
424,aj,210
425,a,210
426,ai,211
427,a,211
428,a,212
429,aj,212
430,a,213
431,aj,213
432,aj,214
433,a,214
434,a,215
435,ai,215
436,a,216
437,aj,216
438,aj,217
439,a,217
440,aj,218
441,a,218
442,aj,219
443,a,219
444,a,220
445,ai,220
446,aj,221
447,a,221
448,a,222
449,aj,222
450,a,223
451,aj,223
452,aj,224
453,a,224
454,aj,225
455,a,225
456,a,226
457,aj,226
458,a,227
459,aj,227
460,a,228
461,aj,228
462,a,229
463,ai,229
464,a,230
465,aj,230
466,a,231
467,aj,231
468,a,232
469,aj,232
470,a,233
471,aj,233
472,a,234
473,aj,234
474,a,235
475,aj,235
476,a,236
477,aj,236
478,a,237
479,ai,237
480,ai,238
481,a,238
482,aj,239
483,a,239
484,a,240
485,aj,240
486,aj,241
487,a,241
488,aj,242
489,a,242
490,aj,243
491,a,243
492,aj,244
493,a,244
494,aj,245
495,a,245
496,aj,246
497,a,246
498,aj,247
499,a,247
500,a,248
501,aj,248
502,ai,249
503,a,249
504,aj,250
505,a,250
506,aj,251
507,a,251
508,a,252
509,aj,252
510,aj,253
511,a,253
512,aj,254
513,a,254
514,aj,255
515,a,255
516,aj,256
517,a,256
518,a,257
519,aj,257
520,aj,258
521,a,258
522,ai,259
523,a,259
524,a,260
525,aj,260
526,a,261
527,aj,261
528,aj,262
529,a,262
530,aj,263
531,a,263
532,aj,264
533,a,264
534,aj,265
535,a,265
536,aj,266
537,a,266
538,a,267
539,aj,267
540,aj,268
541,a,268
542,a,269
543,aj,269
544,aj,270
545,a,270
