case,event
1,a
1,aj$1
1,v
1,ak
1,am
1,c$0$1
1,f$0
1,au
1,t$1
2,aj$1
2,a
2,ak
2,v
2,am
2,c$0$1
2,f$0
2,au
2,t$1
3,ai
3,a
3,ak
3,v
3,am
3,c$0$1
3,c$0$0$0
3,as$1
3,r$0
3,f$1
3,ag
3,c$1
3,w$0
3,ac$1
3,aj$0
3,ae
3,l
3,e$0
3,ab
3,as$0
5,aj$1
5,a
5,v
5,ak
5,am
5,c$0$1
5,c$0$0$0
5,as$1
5,r$0
5,t$1
8,aj$1
8,a
8,ak
8,v
8,c$0$1
8,am
8,c$0$0$0
8,as$1
8,r$0
8,t$1
9,aj$1
9,a
9,v
9,ak
9,c$0$1
9,am
9,f$0
9,au
9,t$1
10,a
10,aj$1
10,v
10,ak
10,c$0$1
10,am
10,w$1
10,ao
10,t$1
11,a
11,aj$1
11,ak
11,v
11,c$0$1
11,am
11,c$0$0$0
11,as$1
11,r$0
11,t$1
12,a
12,ai
12,ak
12,v
12,am
12,c$0$1
12,c$0$0$0
12,as$1
12,r$0
12,t$1
13,aj$1
13,a
13,ak
13,v
13,c$0$1
13,am
13,c$0$0$0
13,as$1
13,r$0
13,t$1
14,a
14,aj$1
14,ak
14,v
14,c$0$1
14,am
14,w$1
14,ao
14,t$1
15,a
15,aj$1
15,v
15,ak
15,am
15,c$0$1
15,c$0$0$0
15,q
15,t$1
15,b
15,m
15,k
15,t$0
16,aj$1
16,a
16,ak
16,v
16,am
16,c$0$1
16,w$1
16,ao
16,t$1
17,ai
17,a
17,v
17,ak
17,am
17,c$0$1
17,w$1
17,ao
17,t$1
18,aj$1
18,a
18,v
18,ak
18,c$0$1
18,am
18,c$0$0$0
18,as$1
18,r$0
18,t$1
20,aj$1
20,a
20,ak
20,v
20,c$0$1
20,am
20,c$0$0$0
20,as$1
20,r$0
20,u$0
21,a
21,aj$1
21,ak
21,v
21,am
21,c$0$1
21,f$0
21,au
21,t$1
24,a
24,aj$1
24,ak
24,v
24,c$0$1
24,am
24,w$1
24,ao
24,t$1
26,a
26,aj$1
26,v
26,ak
26,am
26,c$0$1
26,w$1
26,ao
26,t$1
27,a
27,aj$1
27,v
27,ak
27,am
27,c$0$1
27,f$0
27,au
27,u$0
29,aj$1
29,a
29,v
29,ak
29,c$0$1
29,am
29,c$0$0$0
29,as$1
29,r$0
29,t$1
30,a
30,aj$1
30,ak
30,v
30,am
30,c$0$1
30,w$1
30,ao
30,t$1
31,aj$1
31,a
31,ak
31,v
31,c$0$1
31,am
31,c$0$0$0
31,as$1
31,r$0
31,t$1
32,aj$1
32,a
32,ak
32,v
32,am
32,c$0$1
32,q
32,b
32,t$1
32,c$0$0$0
32,s
32,k
32,t$0
33,a
33,aj$1
33,v
33,ak
33,c$0$1
33,am
33,q
33,b
33,c$0$0$0
33,t$1
33,k
33,s
33,t$0
34,a
34,aj$1
34,v
34,ak
34,c$0$1
34,am
34,q
34,t$1
34,b
34,k
34,s
34,t$0
35,aj$1
35,a
35,v
35,ak
35,c$0$1
35,am
35,t$1
35,q
35,c$0$0$0
35,b
35,k
35,s
35,t$0
36,aj$1
36,a
36,v
36,ak
36,c$0$1
36,am
36,w$1
36,ao
36,t$1
37,a
37,aj$1
37,ak
37,v
37,am
37,c$0$1
37,c$0$0$0
37,as$1
37,r$0
37,t$1
39,a
39,aj$1
39,v
39,ak
39,am
39,c$0$1
39,c$0$0$0
39,q
39,t$1
39,b
39,k
39,m
39,t$0
40,a
40,aj$1
40,v
40,ak
40,am
40,c$0$1
40,f$0
40,au
40,t$1
41,a
41,aj$1
41,ak
41,v
41,am
41,c$0$1
41,w$1
41,ao
41,t$1
42,aj$1
42,a
42,v
42,ak
42,am
42,c$0$1
42,f$0
42,au
42,t$1
43,a
43,aj$1
43,v
43,ak
43,c$0$1
43,am
43,c$0$0$0
43,as$1
43,r$0
43,t$1
45,a
45,aj$1
45,v
45,ak
45,am
45,c$0$1
45,c$0$0$0
45,as$1
45,r$0
45,t$1
47,aj$1
47,a
47,v
47,ak
47,c$0$1
47,am
47,q
47,b
47,c$0$0$0
47,t$1
47,s
47,k
47,t$0
48,aj$1
48,a
48,ak
48,v
48,c$0$1
48,am
48,c$0$0$0
48,as$1
48,r$0
48,t$1
49,a
49,aj$1
49,v
49,ak
49,c$0$1
49,am
49,w$1
49,ao
49,t$1
51,aj$1
51,a
51,v
51,ak
51,c$0$1
51,am
51,c$0$0$0
51,as$1
51,r$0
51,t$1
53,a
53,aj$1
53,ak
53,v
53,am
53,c$0$1
53,c$0$0$0
53,as$1
53,r$0
53,t$1
54,a
54,aj$1
54,v
54,ak
54,am
54,c$0$1
54,q
54,b
54,c$0$0$0
54,t$1
54,s
54,k
54,t$0
55,a
55,aj$1
55,v
55,ak
55,c$0$1
55,am
55,w$1
55,ao
55,t$1
56,aj$1
56,a
56,ak
56,v
56,am
56,c$0$1
56,t$1
56,q
56,b
56,c$0$0$0
56,k
56,s
56,t$0
57,a
57,aj$1
57,ak
57,v
57,am
57,c$0$1
57,w$1
57,ao
57,t$1
60,ai
60,a
60,v
60,ak
60,c$0$1
60,am
60,q
60,b
60,c$0$0$0
60,t$1
60,s
60,k
60,t$0
61,ai
61,a
61,v
61,ak
61,am
61,c$0$1
61,c$0$0$0
61,as$1
61,r$0
61,t$1
62,a
62,aj$1
62,ak
62,v
62,am
62,c$0$1
62,w$1
62,ao
62,t$1
63,a
63,aj$1
63,ak
63,v
63,am
63,c$0$1
63,c$0$0$0
63,as$1
63,r$0
63,t$1
64,ai
64,a
64,ak
64,v
64,c$0$1
64,am
64,c$0$0$0
64,as$1
64,r$0
64,d$0
65,a
65,aj$1
65,v
65,ak
65,c$0$1
65,am
65,c$0$0$0
65,b
65,q
65,t$1
65,s
65,k
65,at$1
65,al$1
67,aj$1
67,a
67,ak
67,v
67,am
67,c$0$1
67,w$1
67,ao
67,t$1
69,a
69,aj$1
69,ak
69,v
69,c$0$1
69,am
69,c$0$0$0
69,as$1
69,r$0
69,t$1
70,aj$1
70,a
70,v
70,ak
70,c$0$1
70,am
70,f$0
70,au
70,h$0
70,ad$1
71,aj$1
71,a
71,ak
71,v
71,am
71,c$0$1
71,w$1
71,ao
71,t$1
72,a
72,aj$1
72,v
72,ak
72,c$0$1
72,am
72,c$0$0$0
72,as$1
72,r$0
72,t$1
73,aj$1
73,a
73,v
73,ak
73,am
73,c$0$1
73,w$1
73,ao
73,t$1
74,aj$1
74,a
74,v
74,ak
74,am
74,c$0$1
74,w$1
74,ao
74,t$1
75,aj$1
75,a
75,v
75,ak
75,am
