,event,case
0,s,0
1,aj,0
2,f,0
3,c,0
4,y,0
5,m,0
6,o,0
7,m,0
8,av,0
9,ab,0
10,ar,0
11,p,0
12,l,0
13,aq,0
14,c,1
15,aj,1
16,m,1
17,y,1
18,s,1
19,o,1
20,f,1
21,m,1
22,av,1
23,ar,1
24,ab,1
25,p,1
26,l,1
27,aq,1
28,m,2
29,c,2
30,q,2
31,aj,2
32,y,2
33,u,2
34,o,2
35,f,2
36,m,2
37,av,2
38,ar,2
39,p,2
40,ab,2
41,l,2
42,aq,2
43,aj,3
44,y,3
45,m,3
46,c,3
47,f,3
48,q,3
49,o,3
50,u,3
51,m,3
52,av,3
53,ar,3
54,ab,3
55,p,3
56,l,3
57,aq,3
58,c,4
59,f,4
60,s,4
61,y,4
62,m,4
63,aj,4
64,o,4
65,m,4
66,av,4
67,ab,4
68,ar,4
69,p,4
70,l,4
71,y,5
72,m,5
73,q,5
74,aj,5
75,c,5
76,f,5
77,u,5
78,m,5
79,ab,5
80,o,5
81,av,5
82,ar,5
83,p,5
84,l,5
85,aq,5
86,c,6
87,q,6
88,aj,6
89,m,6
90,f,6
91,aj,6
92,y,6
93,m,6
94,o,6
95,ab,6
96,av,6
97,ar,6
98,p,6
99,l,6
100,aq,6
101,aj,7
102,m,7
103,c,7
104,b,7
105,y,7
106,f,7
107,o,7
108,m,7
109,ab,7
110,av,7
111,ar,7
112,p,7
113,l,7
114,aq,7
115,q,8
116,u,8
117,y,8
118,aj,8
119,c,8
120,f,8
121,m,8
122,m,8
123,o,8
124,ab,8
125,av,8
126,ar,8
127,p,8
128,l,8
129,aj,9
130,q,9
131,f,9
132,y,9
133,c,9
134,aj,9
135,o,9
136,av,9
137,m,9
138,ar,9
139,p,9
140,m,9
141,ab,9
142,l,9
143,aq,9
144,m,10
145,c,10
146,y,10
147,f,10
148,o,10
149,b,10
150,aj,10
151,av,10
152,ar,10
153,m,10
154,p,10
155,ab,10
156,l,10
157,f,11
158,y,11
159,aj,11
160,m,11
161,c,11
162,o,11
163,b,11
164,m,11
165,av,11
166,ab,11
167,ar,11
168,p,11
169,l,11
170,aq,11
171,f,12
172,b,12
173,c,12
174,aj,12
175,m,12
176,y,12
177,m,12
178,o,12
179,ab,12
180,av,12
181,ar,12
182,p,12
183,l,12
184,aq,12
185,c,13
186,f,13
187,m,13
188,aj,13
189,aj,13
190,y,13
191,q,13
