traceName,alignmentFitness,alignmentCost,moveNr,moveType,processActivity,logActivity,log:attribute:concept:name
"0","1.00000000","100.00000000","0","LMGOOD","TICK","TICK",""
"0","1.00000000","100.00000000","1","LMGOOD","TICK","TICK",""
"0","1.00000000","100.00000000","2","LMGOOD","TICK","TICK",""
"0","1.00000000","100.00000000","3","LMGOOD","TICK","TICK",""
"0","1.00000000","100.00000000","4","LMGOOD","TICK","TICK",""
"0","1.00000000","100.00000000","5","LMGOOD","TICK","TICK",""
"0","1.00000000","100.00000000","6","LMGOOD","ab","ab",""
"0","1.00000000","100.00000000","7","LMGOOD","TICK","TICK",""
"0","1.00000000","100.00000000","8","LMGOOD","ac","ac",""
"0","1.00000000","100.00000000","9","LMGOOD","ah","ah",""
"1","1.00000000","150.00000000","0","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","1","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","2","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","3","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","4","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","5","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","6","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","7","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","8","LMGOOD","ab","ab",""
"1","1.00000000","150.00000000","9","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","10","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","11","LMGOOD","ar","ar",""
"1","1.00000000","150.00000000","12","LMGOOD","p","p",""
"1","1.00000000","150.00000000","13","LMGOOD","l","l",""
"1","1.00000000","150.00000000","14","LMGOOD","aq","aq",""
"10","1.00000000","40.00000000","0","LMGOOD","TICK","TICK",""
"10","1.00000000","40.00000000","1","LMGOOD","TICK","TICK",""
"10","1.00000000","40.00000000","2","LMGOOD","TICK","TICK",""
"10","1.00000000","40.00000000","3","LMGOOD","p","p",""
"11","1.00000000","140.00000000","0","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","1","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","2","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","3","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","4","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","5","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","6","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","7","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","8","LMGOOD","TICK","TICK",""
"11","1.00000000","140.00000000","9","LMGOOD","ab","ab",""
"11","1.00000000","140.00000000","10","LMGOOD","ar","ar",""
"11","1.00000000","140.00000000","11","LMGOOD","p","p",""
"11","1.00000000","140.00000000","12","LMGOOD","l","l",""
"11","1.00000000","140.00000000","13","LMGOOD","aq","aq",""
"12","1.00000000","80.00000000","0","LMGOOD","TICK","TICK",""
"12","1.00000000","80.00000000","1","LMGOOD","TICK","TICK",""
"12","1.00000000","80.00000000","2","LMGOOD","TICK","TICK",""
"12","1.00000000","80.00000000","3","LMGOOD","TICK","TICK",""
"12","1.00000000","80.00000000","4","LMGOOD","TICK","TICK",""
"12","1.00000000","80.00000000","5","LMGOOD","TICK","TICK",""
"12","1.00000000","80.00000000","6","LMGOOD","TICK","TICK",""
"12","1.00000000","80.00000000","7","LMGOOD","ab","ab",""
"13","1.00000000","110.00000000","0","LMGOOD","TICK","TICK",""
"13","1.00000000","110.00000000","1","LMGOOD","TICK","TICK",""
"13","1.00000000","110.00000000","2","LMGOOD","TICK","TICK",""
"13","1.00000000","110.00000000","3","LMGOOD","TICK","TICK",""
"13","1.00000000","110.00000000","4","LMGOOD","TICK","TICK",""
"13","1.00000000","110.00000000","5","LMGOOD","TICK","TICK",""
"13","1.00000000","110.00000000","6","LMGOOD","TICK","TICK",""
"13","1.00000000","110.00000000","7","LMGOOD","TICK","TICK",""
"13","1.00000000","110.00000000","8","LMGOOD","ab","ab",""
"13","1.00000000","110.00000000","9","LMGOOD","ac","ac",""
"13","1.00000000","110.00000000","10","LMGOOD","ah","ah",""
"14","1.00000000","220.00000000","0","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","1","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","2","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","3","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","4","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","5","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","6","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","7","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","8","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","9","LMGOOD","TICK","TICK",""
"14","1.00000000","220.00000000","10","LMGOOD","TICK","TICK",""
