traceName,alignmentFitness,alignmentCost,moveNr,moveType,processActivity,logActivity,log:attribute:concept:name
"0","1.00000000","40.00000000","0","LMGOOD","TICK","TICK",""
"0","1.00000000","40.00000000","1","LMGOOD","TICK","TICK",""
"0","1.00000000","40.00000000","2","LMGOOD","p","p",""
"0","1.00000000","40.00000000","3","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","0","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","1","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","2","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","3","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","4","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","5","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","6","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","7","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","8","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","9","LMGOOD","TICK","TICK",""
"1","1.00000000","150.00000000","10","LMGOOD","ar","ar",""
"1","1.00000000","150.00000000","11","LMGOOD","ab","ab",""
"1","1.00000000","150.00000000","12","LMGOOD","p","p",""
"1","1.00000000","150.00000000","13","LMGOOD","l","l",""
"1","1.00000000","150.00000000","14","LMGOOD","aq","aq",""
"10","1.00000000","150.00000000","0","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","1","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","2","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","3","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","4","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","5","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","6","LMGOOD","b","b",""
"10","1.00000000","150.00000000","7","LMGOOD","ao","ao",""
"10","1.00000000","150.00000000","8","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","9","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","10","LMGOOD","i","i",""
"10","1.00000000","150.00000000","11","LMGOOD","b","b",""
"10","1.00000000","150.00000000","12","LMGOOD","TICK","TICK",""
"10","1.00000000","150.00000000","13","LMGOOD","as","as",""
"10","1.00000000","150.00000000","14","LMGOOD","ab","ab",""
"12","1.00000000","40.00000000","0","LMGOOD","TICK","TICK",""
"12","1.00000000","40.00000000","1","LMGOOD","TICK","TICK",""
"12","1.00000000","40.00000000","2","LMGOOD","TICK","TICK",""
"12","1.00000000","40.00000000","3","LMGOOD","p","p",""
"14","1.00000000","150.00000000","0","LMGOOD","TICK","TICK",""
"14","1.00000000","150.00000000","1","LMGOOD","TICK","TICK",""
"14","1.00000000","150.00000000","2","LMGOOD","TICK","TICK",""
"14","1.00000000","150.00000000","3","LMGOOD","TICK","TICK",""
"14","1.00000000","150.00000000","4","LMGOOD","TICK","TICK",""
"14","1.00000000","150.00000000","5","LMGOOD","TICK","TICK",""
"14","1.00000000","150.00000000","6","LMGOOD","TICK","TICK",""
