case,event,z_1
1,a,0.61651558
1,ak,0.61651558
1,h,0.61651558
1,s,0.61651558
1,ai,0.61651558
1,ah,0.61651558
1,ac,0.61651558
1,w,0.61651558
1,aa,0.61651558
1,d,0.61651558
1,aj,0.61651558
1,am,0.61651558
1,ac,0.61651558
1,ab,0.61651558
1,q,0.61651558
1,z,0.61651558
1,k,0.61651558
1,ai,0.61651558
1,ai,0.61651558
1,d,0.61651558
1,n,0.61651558
1,z,0.61651558
1,c,0.61651558
3,f,0.032490505
3,aj,0.032490505
3,am,0.032490505
3,s,0.032490505
3,j,0.032490505
3,q,0.032490505
3,q,0.032490505
3,g,0.032490505
3,p,0.032490505
3,h,0.032490505
3,al,0.032490505
3,s,0.032490505
3,ai,0.032490505
3,o,0.032490505
3,aa,0.032490505
3,ac,0.032490505
3,w,0.032490505
3,ab,0.032490505
3,k,0.032490505
3,z,0.032490505
3,ad,0.032490505
3,ai,0.032490505
3,al,0.032490505
3,z,0.032490505
3,d,0.032490505
3,n,0.032490505
3,c,0.032490505
5,aj,0.39976428
5,q,0.39976428
5,f,0.39976428
5,j,0.39976428
5,h,0.39976428
5,ai,0.39976428
5,aj,0.39976428
5,am,0.39976428
5,s,0.39976428
5,q,0.39976428
5,s,0.39976428
5,ac,0.39976428
5,aa,0.39976428
5,p,0.39976428
5,al,0.39976428
5,ab,0.39976428
5,o,0.39976428
5,w,0.39976428
5,k,0.39976428
5,z,0.39976428
5,ai,0.39976428
5,ad,0.39976428
5,al,0.39976428
5,d,0.39976428
5,z,0.39976428
5,n,0.39976428
5,c,0.39976428
6,q,0.32565865
6,aj,0.32565865
6,f,0.32565865
6,am,0.32565865
6,aj,0.32565865
6,j,0.32565865
6,s,0.32565865
6,h,0.32565865
6,s,0.32565865
6,aa,0.32565865
6,ab,0.32565865
6,ai,0.32565865
6,q,0.32565865
6,ac,0.32565865
6,p,0.32565865
6,al,0.32565865
6,o,0.32565865
6,w,0.32565865
6,k,0.32565865
6,z,0.32565865
6,ad,0.32565865
6,ai,0.32565865
6,al,0.32565865
6,z,0.32565865
6,n,0.32565865
6,d,0.32565865
6,c,0.32565865
8,ak,0.811084954
8,a,0.811084954
8,ah,0.811084954
8,s,0.811084954
8,aa,0.811084954
8,w,0.811084954
8,ab,0.811084954
8,h,0.811084954
8,ai,0.811084954
8,ac,0.811084954
8,d,0.811084954
8,s,0.811084954
8,am,0.811084954
8,aj,0.811084954
8,q,0.811084954
8,p,0.811084954
8,al,0.811084954
8,o,0.811084954
8,w,0.811084954
8,k,0.811084954
8,z,0.811084954
8,ad,0.811084954
8,al,0.811084954
8,ai,0.811084954
8,d,0.811084954
8,z,0.811084954
8,n,0.811084954
8,c,0.811084954
9,j,0.07619497
9,aj,0.07619497
9,f,0.07619497
9,q,0.07619497
9,s,0.07619497
9,i,0.07619497
9,h,0.07619497
9,am,0.07619497
9,s,0.07619497
9,aa,0.07619497
9,ai,0.07619497
9,q,0.07619497
9,ab,0.07619497
9,ac,0.07619497
9,p,0.07619497
9,al,0.07619497
9,o,0.07619497
9,w,0.07619497
9,k,0.07619497
9,z,0.07619497
9,ai,0.07619497
9,ad,0.07619497
9,al,0.07619497
9,d,0.07619497
9,z,0.07619497
9,n,0.07619497
9,c,0.07619497
11,ak,0.640436463
11,j,0.640436463
11,q,0.640436463
11,w,0.640436463
11,ah,0.640436463
11,h,0.640436463
11,s,0.640436463
11,aa,0.640436463
11,ai,0.640436463
11,d,0.640436463
11,s,0.640436463
11,am,0.640436463
11,ab,0.640436463
11,ac,0.640436463
11,aj,0.640436463
11,q,0.640436463
11,p,0.640436463
11,al,0.640436463
11,o,0.640436463
11,w,0.640436463
11,z,0.640436463
11,k,0.640436463
11,ai,0.640436463
11,ad,0.640436463
11,al,0.640436463
11,z,0.640436463
11,n,0.640436463
11,d,0.640436463
11,c,0.640436463
12,f,0.012173706999999999
12,q,0.012173706999999999
12,j,0.012173706999999999
12,aj,0.012173706999999999
12,am,0.012173706999999999
12,aj,0.012173706999999999
12,s,0.012173706999999999
12,s,0.012173706999999999
12,q,0.012173706999999999
12,h,0.012173706999999999
12,aa,0.012173706999999999
12,al,0.012173706999999999
12,ai,0.012173706999999999
12,p,0.012173706999999999
12,ac,0.012173706999999999
12,ab,0.012173706999999999
12,o,0.012173706999999999
12,w,0.012173706999999999
12,z,0.012173706999999999
12,k,0.012173706999999999
12,ad,0.012173706999999999
12,ai,0.012173706999999999
12,al,0.012173706999999999
12,d,0.012173706999999999
12,n,0.012173706999999999
12,z,0.012173706999999999
12,c,0.012173706999999999
14,aj,0.243607273
14,a,0.243607273
14,s,0.243607273
14,aa,0.243607273
14,f,0.243607273
14,am,0.243607273
14,ab,0.243607273
14,h,0.243607273
14,i,0.243607273
14,s,0.243607273
14,ai,0.243607273
14,q,0.243607273
14,ac,0.243607273
14,al,0.243607273
14,p,0.243607273
14,o,0.243607273
14,w,0.243607273
14,k,0.243607273
14,z,0.243607273
14,ai,0.243607273
14,ad,0.243607273
14,al,0.243607273
14,d,0.243607273
14,z,0.243607273
14,n,0.243607273
14,c,0.243607273
15,f,0.302590859
15,q,0.302590859
15,j,0.302590859
15,s,0.302590859
15,aj,0.302590859
15,s,0.302590859
15,am,0.302590859
15,i,0.302590859
15,aa,0.302590859
15,h,0.302590859
15,q,0.302590859
15,al,0.302590859
15,ai,0.302590859
15,ab,0.302590859
15,p,0.302590859
15,o,0.302590859
15,ac,0.302590859
15,w,0.302590859
15,z,0.302590859
15,k,0.302590859
15,ad,0.302590859
15,ai,0.302590859
15,al,0.302590859
15,n,0.302590859
15,d,0.302590859
15,z,0.302590859
15,c,0.302590859
16,ak,0.536993414
16,a,0.536993414
