Result of replaying d419fd8f-5001-4fa4-aec5-a8bc8a20e9ac on Anonymous log imported from log1-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"504",1,No,"112,984.00","1.00","266.00","21.00","7,500.00","1.00","0.96","24.00","0.95","17.00","37,219.00",[M-INVI]tau split|[L/M]b|[L/M]d|[M-INVI]tau split|[M-INVI]tau split|[L/M]as|[L/M]s|[M-INVI]tau split|[L/M]j|[L/M]m|[L/M]af|[L/M]c|[L/M]g|[L]am|[L/M]q|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]an|[L/M]ao|[M-INVI]tau split|[M-INVI]tau split|[L/M]x|[M-INVI]tau split|[L/M]h|[L/M]ae|[M-INVI]tau split|[L/M]ah|[M-INVI]tau from tree|[M-INVI]tau from tree
2,"575",1,No,"137,921.00","0.00","264.00","21.00","7,500.00","1.00","1.00","24.00","1.00","18.00","46,519.00",[M-INVI]tau split|[L/M]d|[L/M]c|[L/M]b|[L/M]a|[M-INVI]tau split|[L/M]ab|[M-INVI]tau split|[L/M]al|[L/M]i|[L/M]af|[L/M]j|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]t|[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]h|[L/M]ag|[M-INVI]tau split|[L/M]ao|[M-INVI]tau split|[L/M]ap|[M-INVI]tau split|[L/M]u|[L/M]an|[L/M]y|[M-INVI]tau from tree|[M-INVI]tau from tree
3,"578",1,No,"108,916.00","1.00","213.00","24.00","7,500.00","1.00","0.96","27.00","0.96","15.00","38,303.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]g|[L/M]b|[L/M]d|[M-INVI]tau split|[L/M]al|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]af|[L/M]j|[L/M]i|[L/M]q|[L/M]c|[L]ae|[L/M]as|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]t|[L/M]ah|[M-INVI]tau split|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split
4,"204",1,No,"120,970.00","1.00","205.00","24.00","7,500.00","1.00","0.96","27.00","0.96","14.00","39,770.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]j|[L]an|[L/M]af|[L/M]c|[M-INVI]tau split|[L/M]i|[L/M]b|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]q|[L/M]al|[L/M]as|[L/M]g|[L/M]d|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]am|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split
5,"261",1,No,"109,790.00","1.00","204.00","23.00","7,500.00","1.00","0.96","26.00","0.96","17.00","35,508.00",[M-INVI]tau split|[L/M]b|[L/M]c|[M-INVI]tau split|[M-INVI]tau split|[L/M]as|[L/M]q|[L]h|[L/M]s|[L/M]m|[L/M]e|[L/M]af|[L/M]d|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]ao|[M-INVI]tau split|[L/M]ag|[L/M]am|[M-INVI]tau split|[M-INVI]tau split|[L/M]y|[L/M]x|[M-INVI]tau split|[L/M]k|[L/M]u|[M-INVI]tau from tree|[M-INVI]tau from tree
6,"532",1,No,"111,906.00","1.00","209.00","25.00","7,500.00","1.00","0.96","28.00","0.96","13.00","39,174.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]g|[M-INVI]tau split|[M-INVI]tau split|[L/M]as|[L/M]af|[L/M]b|[L/M]j|[M-INVI]tau split|[L/M]i|[L/M]d|[L/M]q|[L/M]s|[L]ae|[L/M]c|[L/M]al|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split
7,"120",1,No,"139,589.00","0.00","276.00","17.00","7,500.00","1.00","1.00","20.00","1.00","11.00","45,874.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]as|[L/M]e|[L/M]s|[L/M]q|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]am|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]o|[M-INVI]tau split|[L/M]h|[L/M]k|[L/M]ai|[L/M]r|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split
8,"247",1,No,"117,790.00","1.00","205.00","26.00","7,500.00","1.00","0.97","29.00","0.96","11.00","40,370.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]q|[L/M]d|[M-INVI]tau split|[L/M]i|[M-INVI]tau split|[L/M]g|[M-INVI]tau split|[L]ae|[L/M]as|[L/M]af|[L/M]c|[L/M]j|[L/M]al|[L/M]s|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split
9,"617",1,No,"138,739.00","0.00","239.00","15.00","7,500.00","1.00","1.00","18.00","1.00","11.00","46,022.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]as|[L/M]q|[L/M]e|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]am|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[M-INVI]tau split|[L/M]k|[L/M]o|[L/M]h|[L/M]z|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split
10,"699",1,No,"112,544.00","1.00","194.00","22.00","7,500.00","1.00","0.96","25.00","0.95","14.00","36,854.00",[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[L/M]i|[L/M]d|[M-INVI]tau split|[L/M]q|[M-INVI]tau split|[L/M]ab|[L/M]af|[L/M]c|[L/M]j|[L]h|[L/M]aq|[L/M]al|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]an|[L/M]am|[M-INVI]tau split|[L/M]ag|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split
