case,event
0,d
0,i$0
0,f
0,f
0,t
0,q
0,w
0,i$1
0,p$0
0,i$1
2,ad$0
2,x
2,ap$0
2,j
2,m
2,o
2,r$0
2,l$0
3,d
3,t
3,b
3,f
3,q
3,f
3,w
3,i$1
3,p$0
3,i$1
4,f
4,d
4,b
4,t
4,f
4,q
4,w
4,i$1
4,p$0
5,d
5,f
5,f
5,i$0
5,t
5,q
5,w
5,i$1
5,p$0
5,i$1
6,f
6,b
6,t
6,d
6,q
6,w
6,f
6,i$1
6,p$0
7,b
7,a
7,f
7,t
7,f
7,q
7,w
7,i$1
7,p$0
9,t
9,i$0
9,d
9,f
9,q
9,w
9,f
9,i$1
9,p$0
9,i$1
10,k
10,t
10,i$0
10,q
10,x
10,ar
10,w
10,j
10,i$1
10,g
10,p$0
10,i$1
12,x
12,ad$0
12,i$0
12,u
12,t
12,ap$0
12,q
12,w
12,j
12,i$1
12,p$0
12,h$1
12,m
12,v
13,b
13,a
13,t
13,f
13,q
13,f
13,w
13,i$1
13,p$0
14,t
14,i$0
14,k
14,x
14,q
14,ar
14,w
14,j
14,i$1
14,p$0
14,g
14,h$1
15,x
15,ad$0
15,c
15,ap$0
15,j
15,m
15,o
15,r$0
15,l$0
16,f
16,c
16,d
16,f
17,i$0
17,f
17,t
17,a
17,q
17,f
17,w
17,i$1
17,p$0
17,i$1
18,t
18,a
18,f
18,b
18,f
18,q
18,w
18,i$1
18,p$0
19,d
19,f
19,t
19,f
19,b
19,q
19,w
19,i$1
19,p$0
20,i$0
20,t
20,k
20,q
20,ar
20,w
20,x
20,j
20,i$1
20,p$0
21,k
21,x
21,t
21,i$0
21,ar
21,q
21,w
21,j
21,m
21,i$1
21,p$0
21,h$1
21,g
22,d
22,t
22,i$0
22,f
22,f
22,q
22,w
22,i$1
22,p$0
22,i$1
23,i$0
23,d
23,t
23,f
23,q
23,f
23,w
23,i$1
23,p$0
24,d
24,i$0
24,t
24,q
24,f
24,w
24,f
24,i$1
24,p$0
24,i$1
25,a
25,f
25,f
25,i$0
25,t
25,q
25,w
25,i$1
25,p$0
25,i$1
26,t
26,k
26,i$0
26,ar
26,q
26,x
26,w
26,j
26,g
26,i$1
26,p$0
26,i$1
31,b
31,d
31,t
31,f
31,q
31,f
31,w
31,i$1
31,p$0
32,ad$0
32,b
32,u
32,x
32,t
32,q
32,ap$0
32,j
32,w
32,v
32,i$1
32,p$0
32,i$1
33,t
33,f
33,d
33,i$0
33,q
33,w
33,f
33,i$1
33,p$0
33,h$1
34,ad$0
34,t
34,x
34,ao$0
34,i$0
34,ap$0
34,q
34,w
34,j
34,i$1
34,v
34,p$0
34,h$1
35,t
35,f
35,b
35,q
35,d
35,f
35,w
35,i$1
35,p$0
36,b
36,t
36,q
36,w
36,f
36,a
36,i$1
36,p$0
36,f
37,t
37,f
37,d
37,f
37,b
37,q
37,w
37,i$1
37,p$0
38,i$0
38,d
38,t
38,q
38,f
38,f
38,w
38,i$1
38,p$0
38,i$1
39,t
39,a
39,b
39,f
39,f
39,q
39,w
39,i$1
39,p$0
41,h$0
41,f
41,d
41,f
42,f
42,a
42,c
42,f
43,f
43,t
43,i$0
43,a
43,q
43,w
43,f
43,i$1
43,p$0
43,h$1
45,f
45,d
45,c
45,f
46,i$0
46,t
46,q
46,a
46,f
46,w
46,f
46,i$1
46,p$0
46,h$1
47,x
47,t
47,k
47,i$0
47,q
47,ar
47,w
47,j
47,i$1
47,p$0
47,i$1
47,g
48,f
48,t
48,d
48,f
48,i$0
48,q
48,w
48,i$1
48,p$0
48,i$1
49,b
49,t
49,a
49,q
49,w
49,f
49,f
49,i$1
49,p$0
50,i$0
50,k
50,x
50,ar
50,t
50,j
50,g
50,q
50,w
50,i$1
50,p$0
50,h$1
51,ad$0
51,t
51,x
51,ap$0
51,b
51,d
51,q
51,w
51,ae$1
51,i$1
51,j
51,m
51,ad$1
51,ab
51,e
51,aq
51,p$1
51,aq
51,ak
51,ai
51,ae$0
51,ao$1
51,l$1
51,r$1
52,i$0
52,a
52,f
52,t
52,q
52,f
52,w
52,i$1
52,p$0
52,h$1
53,ad$0
53,x
53,b
53,t
53,ap$0
53,q
53,w
53,j
53,i$1
53,p$0
53,o
53,r$0
53,l$0
54,k
54,b
54,ar
54,t
54,x
54,q
54,w
54,j
54,i$1
54,m
54,p$0
55,t
55,a
55,f
55,b
55,q
55,f
55,w
55,i$1
55,p$0
56,i$0
56,t
56,f
56,a
56,q
56,w
56,i$1
56,f
56,p$0
56,i$1
57,t
57,b
57,a
57,q
57,f
57,w
57,f
57,i$1
57,p$0
57,i$1
58,a
58,f
58,b
58,t
58,f
58,q
58,w
58,i$1
58,p$0
58,i$1
60,i$0
60,x
60,t
60,k
60,ar
60,j
60,q
60,g
60,w
60,i$1
60,p$0
60,i$1
61,f
61,t
61,d
61,b
61,f
61,q
61,w
61,i$1
61,p$0
62,b
62,x
62,t
62,k
62,q
62,ar
62,w
62,i$1
62,j
62,p$0
62,m
62,g
63,f
63,t
63,a
63,b
63,f
63,q
63,w
63,i$1
63,p$0
65,f
65,b
65,t
65,q
65,a
65,f
65,w
65,i$1
65,p$0
65,i$1
66,f
66,t
66,i$0
66,a
66,q
66,w
66,f
66,i$1
66,p$0
66,i$1
67,f
67,b
67,d
67,f
67,t
67,q
67,w
67,i$1
67,p$0
68,b
68,a
68,f
68,t
68,q
68,f
68,w
68,i$1
68,p$0
69,b
69,d
69,f
69,f
69,t
69,q
69,w
69,i$1
69,p$0
71,f
71,a
71,b
71,t
71,q
71,f
71,w
