Result of replaying a2db046c-82e9-4353-818b-18771d2291c7 on Anonymous log imported from feb-log10-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"0",1,Yes,"16,286.00","3.00","1,364.00","13.00","1,481.00","0.92","0.82","17.00","0.85","13.00","9,270.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]a|[L/M]t|[L/M]k|[M-INVI]tau from tree|[L/M]i|[L/M]q|[L/M]x|[L/M]w|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L]ar|[L]j|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]m|[L/M]p|[L/M]g|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
2,"29",1,Yes,"6,624.00","1.00","416.00","12.00","730.00","1.00","0.94","16.00","0.92","12.00","4,560.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]t|[L/M]a|[L/M]i|[M-INVI]tau from tree|[L/M]i|[L/M]f|[L]q|[L/M]q|[L/M]w|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]i|[L/M]p|[M-INVI]tau from tree|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
3,"33",1,Yes,"28,621.00","3.00","1,460.00","13.00","2,796.00","0.92","0.82","17.00","0.85","13.00","15,307.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]a|[M-INVI]tau from tree|[L/M]i|[L/M]t|[M-INVI]tau join|[M-INVI]tau split|[L/M]x|[L/M]k|[L/M]q|[L/M]w|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau start|[L/M]i|[L]ar|[L]j|[L/M]p|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]g|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
4,"32",1,Yes,"18,139.00","3.00","933.00","11.00","2,538.00","1.00","0.80","15.00","0.73","11.00","10,167.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau split|[L]t|[L/M]t|[L/M]f|[L]q|[L/M]i|[L]q|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]f|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]i|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
5,"37",1,Yes,"13,798.00","2.00","591.00","10.00","1,667.00","0.90","0.86","14.00","0.90","10.00","8,903.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L]d|[L/M]d|[M-REAL]t|[L/M]f|[L/M]q|[L/M]w|[M-INVI]tau from tree|[L/M]i|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
6,"1",1,Yes,"138.00","6.00","19.00","8.00","44.00","0.60","0.50","12.00","0.75","8.00","131.00",[M-INVI]tau split|[M-INVI]tau split|[M-REAL]i|[M-REAL]p|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]ad|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]a|[M-REAL]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L]ap|[L]j|[L/M]m|[L/M]o|[M-INVI]tau split|[L/M]r|[L/M]l|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
7,"9",1,Yes,"8,719.00","0.00","679.00","10.00","1,081.00","1.00","1.00","14.00","1.00","10.00","5,942.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]i|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]a|[L/M]t|[L/M]q|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]f|[L/M]w|[L/M]i|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
8,"10",1,Yes,"8,740.00","0.00","486.00","10.00","1,062.00","1.00","1.00","14.00","1.00","10.00","5,754.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]i|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]t|[L/M]d|[L/M]q|[L/M]w|[L/M]f|[M-INVI]tau from tree|[L/M]i|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
9,"12",1,Yes,"8,760.00","0.00","239.00","10.00","1,025.00","1.00","1.00","14.00","1.00","10.00","5,839.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]t|[L/M]d|[L/M]i|[L/M]q|[L/M]f|[L/M]w|[M-INVI]tau from tree|[L/M]i|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
10,"16",1,Yes,"7,192.00","0.00","179.00","10.00","853.00","1.00","1.00","14.00","1.00","10.00","5,001.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]i|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]d|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]f|[L/M]t|[L/M]q|[L/M]w|[L/M]i|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree
