Result of replaying 6e24ac09-fb25-4f0b-8669-169875ab335f on Anonymous log imported from log3-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"135|389",2,Yes,"100.00","0.00","0.00","7.00","21.00","1.00","1.00","11.00","1.00","7.00","84.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]a|[L/M]u|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]e|[L/M]s|[L/M]ai|[L/M]t
2,"165|604",2,Yes,"100.00","0.00","0.00","7.00","21.00","1.00","1.00","11.00","1.00","7.00","84.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]a|[L/M]u|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]e|[L/M]s|[L/M]at|[L/M]t
3,"182|534",2,Yes,"108.00","0.00","0.00","8.00","22.00","1.00","1.00","12.00","1.00","8.00","91.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]u|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]ae|[L/M]e|[L/M]s|[L/M]ai|[L/M]t
4,"459|573",2,Yes,"107.00","0.00","0.00","7.00","22.00","1.00","1.00","11.00","1.00","7.00","90.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]u|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]e|[L/M]s|[L/M]at|[L/M]t
5,"645|662",2,Yes,"108.00","0.00","0.00","8.00","22.00","1.00","1.00","12.00","1.00","8.00","91.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]u|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]ae|[L/M]e|[L/M]s|[L/M]at|[L/M]t
6,"61",1,Yes,"3,255.00","2.00","9.00","20.00","825.00","0.95","0.92","24.00","0.95","20.00","1,475.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]av|[L/M]l|[L/M]f|[L/M]i|[L/M]q|[M-REAL]ad|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]an|[L/M]ab|[L/M]x|[M-INVI]tau join|[L]ad|[L/M]al|[L/M]j|[M-INVI]tau split|[M-INVI]tau split|[L/M]ap|[L/M]af|[L/M]v|[M-INVI]tau join|[M-INVI]tau join|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[L/M]m|[M-INVI]tau laterDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]w|[M-INVI]tau laterDoChild|[L/M]au|[M-INVI]tau finish|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau join
7,"97",1,Yes,"2,028.00","0.00","4.00","20.00","412.00","1.00","1.00","24.00","1.00","20.00","954.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]as|[L/M]i|[L/M]ad|[L/M]l|[L/M]q|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]an|[L/M]ab|[L/M]x|[M-INVI]tau join|[L/M]al|[L/M]j|[M-INVI]tau split|[L/M]af|[M-INVI]tau split|[L/M]v|[L/M]ap|[M-INVI]tau join|[M-INVI]tau join|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]ak|[L/M]m|[M-INVI]tau laterDoChild|[L/M]w|[M-INVI]tau laterDoChild|[L/M]o|[M-INVI]tau finish|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau join
8,"523",1,Yes,"3,484.00","2.00","8.00","19.00","797.00","0.95","0.91","23.00","0.95","19.00","1,535.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]k|[L/M]b|[L/M]l|[L/M]q|[M-REAL]u|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]x|[L]u|[L/M]an|[M-INVI]tau join|[L/M]al|[L/M]j|[M-INVI]tau split|[M-INVI]tau split|[L/M]ap|[L/M]v|[L/M]af|[M-INVI]tau join|[M-INVI]tau join|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau laterDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]ak|[M-INVI]tau laterDoChild|[L/M]w|[L/M]m|[M-INVI]tau finish|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau join
9,"668",1,Yes,"4,132.00","3.00","11.00","19.00","1,053.00","1.00","0.87","23.00","0.84","19.00","1,852.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]i|[L/M]l|[L/M]ad|[L/M]q|[L]an|[L]z|[L/M]f|[L/M]av|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[L]x|[L/M]al|[L/M]j|[M-INVI]tau split|[M-INVI]tau split|[L/M]ap|[L/M]af|[L/M]v|[M-INVI]tau join|[M-INVI]tau join|[L/M]d|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]au|[M-INVI]tau laterDoChild|[L/M]o|[M-INVI]tau laterDoChild|[L/M]w|[M-INVI]tau finish|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau from tree|[M-INVI]tau join
10,"142",1,Yes,"1,707.00","0.00","4.00","17.00","350.00","1.00","1.00","21.00","1.00","17.00","784.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]g|[L/M]b|[L/M]l|[L/M]u|[L/M]q|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]an|[L/M]x|[M-INVI]tau join|[L/M]al|[L/M]j|[M-INVI]tau split|[M-INVI]tau split|[L/M]ap|[L/M]af|[L/M]v|[M-INVI]tau join|[M-INVI]tau join|[L/M]d|[M-INVI]tau split|[L/M]m|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]w|[M-INVI]tau laterDoChild|[L/M]au|[M-INVI]tau finish|[M-INVI]tau from tree|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau join
