,event,case
0,am,0
1,c$0$0$1,0
2,am,1
3,c$0$0$1,1
4,am,2
5,c$0$0$1,2
6,am,3
7,c$0$0$1,3
8,c$0$0$1,4
9,am,4
10,c$0$0$1,5
11,am,5
12,c$0$0$1,6
13,am,6
14,c$0$0$1,7
15,am,7
16,am,8
17,c$0$0$1,8
18,c$0$0$1,9
19,am,9
20,c$0$0$1,10
21,am,10
22,am,11
23,c$0$0$1,11
24,am,12
25,c$0$0$1,12
26,am,13
27,c$0$0$1,13
28,c$0$0$1,14
29,am,14
30,c$0$0$1,15
31,am,15
32,am,16
33,c$0$0$1,16
34,c$0$0$1,17
35,am,17
36,am,18
37,c$0$0$1,18
38,am,19
39,c$0$0$1,19
40,c$0$0$1,20
41,am,20
42,am,21
43,c$0$0$1,21
44,c$0$0$1,22
45,am,22
46,am,23
47,c$0$0$1,23
48,c$0$0$1,24
49,am,24
50,c$0$0$1,25
51,am,25
52,c$0$0$1,26
53,am,26
54,c$0$0$1,27
55,am,27
56,am,28
57,c$0$0$1,28
58,am,29
59,c$0$0$1,29
60,am,30
61,c$0$0$1,30
62,am,31
63,c$0$0$1,31
64,am,32
65,c$0$0$1,32
66,c$0$0$1,33
67,am,33
68,am,34
69,c$0$0$1,34
70,c$0$0$1,35
71,am,35
72,c$0$0$1,36
73,am,36
74,c$0$0$1,37
75,am,37
76,c$0$0$1,38
77,am,38
78,am,39
79,c$0$0$1,39
80,am,40
81,c$0$0$1,40
82,c$0$0$1,41
83,am,41
84,am,42
85,c$0$0$1,42
86,am,43
87,c$0$0$1,43
88,c$0$0$1,44
89,am,44
90,am,45
91,c$0$0$1,45
92,am,46
93,c$0$0$1,46
94,am,47
95,c$0$0$1,47
96,c$0$0$1,48
97,am,48
98,c$0$0$1,49
99,am,49
100,am,50
101,c$0$0$1,50
102,c$0$0$1,51
103,am,51
104,c$0$0$1,52
105,am,52
106,am,53
107,c$0$0$1,53
108,c$0$0$1,54
109,am,54
110,am,55
111,c$0$0$1,55
112,am,56
113,c$0$0$1,56
114,am,57
115,c$0$0$1,57
116,am,58
117,c$0$0$1,58
118,am,59
119,c$0$0$1,59
120,c$0$0$1,60
121,am,60
122,am,61
123,c$0$0$1,61
124,c$0$0$1,62
125,am,62
126,c$0$0$1,63
127,am,63
128,am,64
129,c$0$0$1,64
130,c$0$0$1,65
131,am,65
