,event,case
0,7,0
1,9,0
2,6,0
3,0,0
4,1,0
5,7,1
6,9,1
7,6,1
8,0,1
9,1,1
10,7,2
11,9,2
12,6,2
13,0,2
14,1,2
15,8,2
16,10,2
17,3,2
18,4,2
19,7,3
20,9,3
21,6,3
22,0,3
23,1,3
24,7,4
25,9,4
26,6,4
27,0,4
28,1,4
29,7,5
30,9,5
31,6,5
32,0,5
33,1,5
34,7,6
35,9,6
36,6,6
37,0,6
38,1,6
39,7,7
40,9,7
41,6,7
42,0,7
43,1,7
44,7,8
45,9,8
46,6,8
47,0,8
48,1,8
49,7,9
50,9,9
51,6,9
52,0,9
53,1,9
54,7,10
55,9,10
56,6,10
57,0,10
58,1,10
59,7,11
60,9,11
61,6,11
62,0,11
63,2,11
64,5,11
65,7,12
66,9,12
67,6,12
68,0,12
69,1,12
70,7,13
71,9,13
72,6,13
73,0,13
74,1,13
75,7,14
76,9,14
77,6,14
78,0,14
79,1,14
80,7,15
81,9,15
82,6,15
83,0,15
84,1,15
85,7,16
86,9,16
87,6,16
88,0,16
89,1,16
90,7,17
91,9,17
92,6,17
93,0,17
94,1,17
95,7,18
96,9,18
97,6,18
98,0,18
99,1,18
100,7,19
101,9,19
102,6,19
103,0,19
104,1,19
105,7,20
106,9,20
107,6,20
108,0,20
109,1,20
110,7,21
111,9,21
112,6,21
113,0,21
114,1,21
115,7,22
116,9,22
117,6,22
118,0,22
119,1,22
120,7,23
121,9,23
122,6,23
123,0,23
124,2,23
125,5,23
126,7,24
127,9,24
128,6,24
129,0,24
130,2,24
131,5,24
132,7,25
133,9,25
134,6,25
135,0,25
136,2,25
137,5,25
138,7,26
139,9,26
140,6,26
141,0,26
142,2,26
143,5,26
144,7,27
145,9,27
146,6,27
147,0,27
148,1,27
149,7,28
150,9,28
151,6,28
152,0,28
153,1,28
154,7,29
155,9,29
156,6,29
157,0,29
158,2,29
159,5,29
160,7,30
161,9,30
162,6,30
163,0,30
164,1,30
165,7,31
166,9,31
167,6,31
168,0,31
169,1,31
170,7,32
171,9,32
172,6,32
173,0,32
174,1,32
175,7,33
176,9,33
177,6,33
178,0,33
179,1,33
180,7,34
181,9,34
182,6,34
183,0,34
184,1,34
185,7,35
186,9,35
187,6,35
188,0,35
189,2,35
190,5,35
191,7,36
192,9,36
193,6,36
194,0,36
195,1,36
196,7,37
197,9,37
198,6,37
199,0,37
200,1,37
201,7,38
202,9,38
203,6,38
204,0,38
205,1,38
206,7,39
207,9,39
208,6,39
209,0,39
210,1,39
211,7,40
212,9,40
213,6,40
214,0,40
215,2,40
216,5,40
217,7,41
218,9,41
219,6,41
220,0,41
221,1,41
222,7,42
223,9,42
224,6,42
225,0,42
226,2,42
227,5,42
228,7,43
229,9,43
230,6,43
231,0,43
232,1,43
233,7,44
234,9,44
235,6,44
236,0,44
237,2,44
238,5,44
239,7,45
240,9,45
241,6,45
242,0,45
243,1,45
244,7,46
245,9,46
246,6,46
247,0,46
248,1,46
249,7,47
250,9,47
251,6,47
252,0,47
253,1,47
254,7,48
255,9,48
256,6,48
257,0,48
258,1,48
259,7,49
260,9,49
261,6,49
262,0,49
263,2,49
264,5,49
265,7,50
266,9,50
267,6,50
268,0,50
269,1,50
270,7,51
271,9,51
272,6,51
273,0,51
274,1,51
275,7,52
276,9,52
277,6,52
278,0,52
279,1,52
280,7,53
281,9,53
282,6,53
283,0,53
284,1,53
285,7,54
286,9,54
287,6,54
288,0,54
289,1,54
290,7,55
291,9,55
292,6,55
293,0,55
294,1,55
295,7,56
296,9,56
297,6,56
298,0,56
299,1,56
300,7,57
301,9,57
302,6,57
303,0,57
304,1,57
305,7,58
306,9,58
307,6,58
308,0,58
309,1,58
310,7,59
311,9,59
312,6,59
313,0,59
314,1,59
315,7,60
316,9,60
317,6,60
318,0,60
319,2,60
320,5,60
321,7,61
322,9,61
323,6,61
324,0,61
325,2,61
326,5,61
327,7,62
328,9,62
329,6,62
330,0,62
331,1,62
332,7,63
333,9,63
334,6,63
335,0,63
336,1,63
337,7,64
338,9,64
339,6,64
340,0,64
341,1,64
342,7,65
343,9,65
344,6,65
345,0,65
346,1,65
347,7,66
348,9,66
349,6,66
350,0,66
351,2,66
352,5,66
353,7,67
354,9,67
355,6,67
356,0,67
357,1,67
358,7,68
359,9,68
360,6,68
361,0,68
362,2,68
363,5,68
364,7,69
365,9,69
366,6,69
367,0,69
368,1,69
369,7,70
370,9,70
371,6,70
372,0,70
373,1,70
374,7,71
375,9,71
376,6,71
377,0,71
378,1,71
379,7,72
380,9,72
381,6,72
382,0,72
383,2,72
384,5,72
385,7,73
386,9,73
387,6,73
388,0,73
389,1,73
390,7,74
391,9,74
392,6,74
393,0,74
394,1,74
395,7,75
396,9,75
397,6,75
398,0,75
399,1,75
400,7,76
401,9,76
402,6,76
403,0,76
404,1,76
405,7,77
406,9,77
407,6,77
408,0,77
409,1,77
410,7,78
411,9,78
412,6,78
413,0,78
414,1,78
415,7,79
416,9,79
417,6,79
418,0,79
419,2,79
420,5,79
421,7,80
422,9,80
423,6,80
424,0,80
425,1,80
426,7,81
427,9,81
428,6,81
429,0,81
430,1,81
431,7,82
432,9,82
433,6,82
434,0,82
435,8,82
436,10,82
437,3,82
438,4,82
439,7,83
440,9,83
441,6,83
442,0,83
443,2,83
444,5,83
445,7,84
446,9,84
447,6,84
448,0,84
449,1,84
450,7,85
451,9,85
452,6,85
453,0,85
454,1,85
455,7,86
456,9,86
457,6,86
458,0,86
459,1,86
460,7,87
461,9,87
462,6,87
463,0,87
464,1,87
465,7,88
466,9,88
467,6,88
468,0,88
469,2,88
470,5,88
471,7,89
472,9,89
473,6,89
474,0,89
475,1,89
476,7,90
477,9,90
478,6,90
479,0,90
480,1,90
481,7,91
482,9,91
483,6,91
484,0,91
485,2,91
486,5,91
487,7,92
488,9,92
489,6,92
490,0,92
491,2,92
492,5,92
493,7,93
494,9,93
495,6,93
496,0,93
497,2,93
498,5,93
499,7,94
500,9,94
501,6,94
502,0,94
503,1,94
504,7,95
505,9,95
506,6,95
507,0,95
508,2,95
509,5,95
510,7,96
511,9,96
512,6,96
513,0,96
514,2,96
515,5,96
516,7,97
517,9,97
518,6,97
519,0,97
520,1,97
521,7,98
522,9,98
523,6,98
524,0,98
525,1,98
526,7,99
527,9,99
528,6,99
529,0,99
530,1,99
531,7,100
532,9,100
533,6,100
534,0,100
535,2,100
536,5,100
537,7,101
538,9,101
539,6,101
540,0,101
541,1,101
542,7,102
543,9,102
544,6,102
545,0,102
546,2,102
547,5,102
548,7,103
549,9,103
550,6,103
551,0,103
552,1,103
553,7,104
554,9,104
555,6,104
556,0,104
557,1,104
558,7,105
559,9,105
560,6,105
561,0,105
562,1,105
563,7,106
564,9,106
565,6,106
566,0,106
567,1,106
568,7,107
569,9,107
570,6,107
571,0,107
572,1,107
573,7,108
574,9,108
575,6,108
576,0,108
577,1,108
578,7,109
579,9,109
580,6,109
581,0,109
582,1,109
583,7,110
584,9,110
585,6,110
586,0,110
587,2,110
588,5,110
589,7,111
590,9,111
591,6,111
592,0,111
593,1,111
594,7,112
595,9,112
596,6,112
597,0,112
598,2,112
599,5,112
600,7,113
601,9,113
602,6,113
603,0,113
604,1,113
605,7,114
606,9,114
607,6,114
608,0,114
609,1,114
610,7,115
611,9,115
612,6,115
613,0,115
614,2,115
615,5,115
616,7,116
617,9,116
618,6,116
619,0,116
620,1,116
621,7,117
622,9,117
623,6,117
624,0,117
625,2,117
626,5,117
627,7,118
628,9,118
629,6,118
630,0,118
631,1,118
632,7,119
633,9,119
634,6,119
635,0,119
636,2,119
637,5,119
638,7,120
639,9,120
640,6,120
641,0,120
642,1,120
643,7,121
644,9,121
645,6,121
646,0,121
647,1,121
648,7,122
649,9,122
650,6,122
