Result of replaying 2c7aa04e-c82d-4dad-9727-10340d4b0117 on Anonymous log imported from feb-log4-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"15|21",2,Yes,"69.00","0.00","0.00","9.00","19.00","1.00","1.00","17.00","1.00","9.00","66.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]w|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]t
2,"38",1,Yes,"139.00","2.00","13.00","15.00","36.00","1.00","0.91","23.00","0.87","15.00","124.00",[M-INVI]tau split|[L]a|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]t|[L/M]b|[L/M]q|[L]c|[L/M]c|[L/M]k|[L/M]s|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
3,"5",1,Yes,"118.00","2.00","14.00","13.00","29.00","0.87","0.90","21.00","1.00","13.00","112.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]t|[L/M]c|[L/M]y|[L/M]b|[L/M]q|[L/M]aq|[M-INVI]tau join|[M-INVI]tau split|[L/M]s|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
4,"14",1,Yes,"119.00","2.00","4.00","13.00","29.00","0.87","0.90","21.00","1.00","13.00","113.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]t|[L/M]c|[L/M]q|[L/M]y|[L/M]b|[L/M]aq|[M-INVI]tau join|[M-INVI]tau split|[L/M]k|[L/M]s|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
5,"30",1,Yes,"122.00","2.00","12.00","13.00","29.00","0.92","0.90","21.00","0.92","13.00","112.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]t|[L/M]q|[L/M]c|[L]k|[L/M]s|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
6,"3",1,Yes,"120.00","0.00","14.00","13.00","28.00","1.00","1.00","21.00","1.00","13.00","110.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]q|[L/M]t|[L/M]c|[L/M]s|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
7,"8",1,Yes,"120.00","0.00","4.00","13.00","28.00","1.00","1.00","21.00","1.00","13.00","110.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]t|[L/M]q|[L/M]c|[L/M]b|[L/M]s|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
8,"23",1,Yes,"122.00","2.00","11.00","11.00","29.00","0.85","0.89","19.00","1.00","11.00","111.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]c|[M-REAL]t|[L/M]q|[L/M]b|[L/M]k|[L/M]s|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
9,"24",1,Yes,"120.00","0.00","5.00","13.00","28.00","1.00","1.00","21.00","1.00","13.00","110.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]c|[L/M]t|[L/M]q|[L/M]k|[L/M]s|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
10,"25",1,Yes,"121.00","0.00","2.00","13.00","28.00","1.00","1.00","21.00","1.00","13.00","110.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]q|[L/M]t|[L/M]b|[L/M]c|[L/M]k|[L/M]s|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
