Result of replaying 2c7aa04e-c82d-4dad-9727-10340d4b0117 on Anonymous log imported from mar-log4-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"9|32",2,Yes,"81.00","0.00","0.00","10.00","21.00","1.00","1.00","18.00","1.00","10.00","75.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]as|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]r|[L/M]t|[M-INVI]tau from tree
2,"11|24",2,Yes,"70.00","0.00","0.00","9.00","19.00","1.00","1.00","17.00","1.00","9.00","66.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]w|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]t
3,"39",1,Yes,"256.00","5.00","40.00","22.00","75.00","0.90","0.83","30.00","0.86","22.00","219.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]as|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]r|[L/M]r|[M-INVI]tau split|[L]ac|[L/M]ac|[L]c|[L/M]aj|[M-REAL]f|[L/M]c|[L/M]ag|[M-INVI]tau join|[L/M]w|[L/M]ae|[L/M]l|[L]ab|[L/M]e|[M-REAL]ab|[L/M]as
4,"21",1,Yes,"134.00","2.00","18.00","15.00","34.00","1.00","0.91","23.00","0.87","15.00","122.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]t|[L]b|[L/M]b|[L/M]q|[L]c|[L/M]c|[L/M]m|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
5,"22",1,Yes,"122.00","5.00","10.00","12.00","38.00","0.77","0.75","20.00","0.83","12.00","114.00",[M-INVI]tau split|[M-REAL]a|[L]v|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]v|[M-REAL]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L]ak|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]b|[L/M]t|[L/M]q|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]s|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
6,"16",1,Yes,"114.00","5.00","16.00","10.00","29.00","0.67","0.72","18.00","1.00","10.00","108.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]t|[L/M]c|[L/M]y|[L/M]q|[L/M]b|[L/M]aq|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]k|[L/M]m|[M-INVI]tau join|[M-INVI]tau join|[M-REAL]d
7,"19",1,Yes,"109.00","1.00","15.00","14.00","31.00","1.00","0.95","22.00","0.93","14.00","105.00",[M-INVI]tau split|[L/M]ai|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L]am|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]b|[L/M]q|[L/M]t|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]s|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
8,"28",1,Yes,"106.00","0.00","9.00","13.00","28.00","1.00","1.00","21.00","1.00","13.00","101.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]c|[L/M]q|[L/M]b|[L/M]t|[M-INVI]tau join|[M-INVI]tau split|[L/M]s|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[L/M]t
9,"33",1,Yes,"173.00","9.00","27.00","18.00","111.00","1.00","0.65","26.00","0.50","18.00","169.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]w|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau join|[L]u|[L]u|[L]a|[L]aj|[L]v|[L]ak|[L]am|[L]c|[L]w|[L/M]u
10,"31",1,Yes,"136.00","4.00","19.00","11.00","36.00","0.89","0.79","19.00","0.73","11.00","114.00",[M-INVI]tau split|[M-REAL]ai|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L]c|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]as|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau from tree|[L]al|[L]n
