Result of replaying 7bcea169-08a8-497b-b2e2-550983724e93 on Anonymous log imported from log5-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"10|14|20|32|37|41|55|58|102|109|114|122|127|132|158|178|179|199|202|205|208|213|232|246|247|259|270|279|283|290|292|301|308|344|345|348|353|358|377|378|381|409|411|415|427|454|478|479|491|494|520|533|544|545|553|567|595|605|613|621|622|634|635|672|698",65,Yes,"23.00","0.00","0.00","3.00","4.00","1.00","1.00","4.00","1.00","3.00","17.00",[L/M]c|[L/M]w|[L/M]q
2,"0|45|48|51|61|62|92|101|140|144|147|148|161|165|183|184|211|215|230|234|235|239|251|269|295|323|347|352|355|391|393|397|408|423|432|510|513|531|536|541|547|551|571|591|593|597|610|611|612|616|620|624|647|649|659|675|684|686|688",59,Yes,"23.00","0.00","0.00","3.00","4.00","1.00","1.00","4.00","1.00","3.00","17.00",[L/M]c|[L/M]u|[L/M]q
3,"7|8|22|83|116|129|150|180|191|258|266|282|304|313|325|326|333|356|361|370|375|438|447|467|472|516|540|546|575|617|627|657|662|663",34,Yes,"51.00","0.00","0.00","4.00","11.00","1.00","1.00","5.00","1.00","4.00","39.00",[L/M]c|[M-INVI]tau split|[L/M]z|[L/M]ak|[M-INVI]tau join|[L/M]q
4,"4|6|36|43|49|65|80|125|133|135|228|248|298|342|354|386|394|428|444|457|497|501|502|587|631|667",26,Yes,"51.00","0.00","0.00","4.00","11.00","1.00","1.00","5.00","1.00","4.00","39.00",[L/M]c|[M-INVI]tau split|[L/M]ak|[L/M]z|[M-INVI]tau join|[L/M]q
5,"26|28|44|54|69|142|245|316|322|429|452|464|508|537|585|628",16,Yes,"64.00","1.00","0.00","1.00","20.00","0.50","0.50","2.00","1.00","1.00","39.00",[L/M]c|[M-INVI]tau from tree|[M-REAL]af
6,"3|17|29|47|89|157|172|203|321|367|384|435|471|483|679",15,Yes,"386.00","1.00","1.00","11.00","114.00","1.00","0.92","12.00","0.91","11.00","243.00",[L/M]b|[M-INVI]tau split|[L/M]f|[L/M]ai|[M-INVI]tau join|[L/M]r|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]g|[L]aq|[L/M]h|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aa|[L/M]ab|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
7,"9|212|220|303|318|363|395|426|526|552|579|640",12,Yes,"32.00","0.00","0.00","2.00","6.00","1.00","1.00","3.00","1.00","2.00","22.00",[L/M]y|[M-INVI]tau from tree|[L/M]t
8,"40|95|96|193|224|240|267|297|514|670",10,Yes,"186.00","0.00","0.00","11.00","45.00","1.00","1.00","12.00","1.00","11.00","131.00",[L/M]b|[M-INVI]tau split|[L/M]ai|[L/M]f|[M-INVI]tau join|[L/M]r|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]h|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aa|[L/M]aq|[L/M]ab|[L/M]n|[M-INVI]tau join|[M-INVI]tau join
9,"35|168|200|227|291|412|511|538|639",9,Yes,"386.00","1.00","1.00","11.00","114.00","1.00","0.92","12.00","0.91","11.00","243.00",[L/M]b|[M-INVI]tau split|[L/M]ai|[L/M]f|[M-INVI]tau join|[L/M]r|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]g|[L]aq|[L/M]h|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aa|[L/M]ab|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
10,"11|186|216|236|337|383|396|486|653",9,Yes,"186.00","0.00","0.00","11.00","45.00","1.00","1.00","12.00","1.00","11.00","131.00",[L/M]b|[M-INVI]tau split|[L/M]f|[L/M]ai|[M-INVI]tau join|[L/M]r|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]h|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aa|[L/M]aq|[L/M]ab|[L/M]n|[M-INVI]tau join|[M-INVI]tau join
11,"30|115|117|156|190|368|466|632|680",9,Yes,"37.00","0.00","0.00","3.00","7.00","1.00","1.00","4.00","1.00","3.00","26.00",[L/M]y|[M-INVI]tau from tree|[L/M]ac|[L/M]an
12,"19|39|106|242|268|276|284|618|674",9,Yes,"64.00","1.00","0.00","1.00","20.00","0.50","0.50","2.00","1.00","1.00","39.00",[L/M]e|[M-INVI]tau from tree|[M-REAL]af
13,"56|68|194|195|237|332|382|505|561",9,Yes,"60.00","1.00","0.00","2.00","15.00","0.67","0.67","3.00","1.00","2.00","40.00",[L/M]c|[L/M]w|[M-REAL]q
14,"91|206|255|293|324|573|577|677|695",9,Yes,"32.00","0.00","0.00","2.00","6.00","1.00","1.00","3.00","1.00","2.00","22.00",[L/M]y|[M-INVI]tau from tree|[L/M]af
15,"120|214|310|328|376|385|401|476|496",9,Yes,"60.00","1.00","0.00","2.00","15.00","0.67","0.67","3.00","1.00","2.00","40.00",[L/M]c|[L/M]u|[M-REAL]q
16,"143|170|329|365|422|507|556|669",8,Yes,"187.00","0.00","0.00","11.00","45.00","1.00","1.00","12.00","1.00","11.00","130.00",[L/M]b|[M-INVI]tau split|[L/M]f|[L/M]ai|[M-INVI]tau join|[L/M]r|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]g|[L/M]h|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aq|[L/M]aa|[L/M]ab|[L/M]n|[M-INVI]tau join|[M-INVI]tau join
17,"162|280|305|460|480|535|637|690",8,Yes,"187.00","0.00","1.00","11.00","45.00","1.00","1.00","12.00","1.00","11.00","130.00",[L/M]b|[M-INVI]tau split|[L/M]ai|[L/M]f|[M-INVI]tau join|[L/M]r|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]g|[L/M]h|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aq|[L/M]aa|[L/M]ab|[L/M]n|[M-INVI]tau join|[M-INVI]tau join
18,"34|84|155|262|265|434|441|569",8,Yes,"29.00","0.00","0.00","3.00","5.00","1.00","1.00","4.00","1.00","3.00","19.00",[L/M]a|[M-INVI]tau from tree|[L/M]al|[L/M]t
19,"52|118|171|233|350|372|475|609",8,Yes,"64.00","1.00","0.00","1.00","20.00","0.50","0.50","2.00","1.00","1.00","39.00",[L/M]y|[M-INVI]tau from tree|[M-REAL]af
20,"100|175|192|281|309|633|636|648",8,Yes,"32.00","0.00","0.00","2.00","6.00","1.00","1.00","3.00","1.00","2.00","22.00",[L/M]o|[M-INVI]tau from tree|[L/M]ap
21,"86|90|188|306|425|530|607",7,Yes,"396.00","1.00","0.00","10.00","124.00","1.00","0.91","11.00","0.90","10.00","236.00",[L/M]b|[M-INVI]tau split|[L/M]ai|[L/M]f|[M-INVI]tau join|[L/M]l|[L/M]ao|[L/M]ad|[M-INVI]tau split|[L/M]v|[L]n|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
22,"16|105|141|152|398|534|570",7,Yes,"291.00","1.00","1.00","10.00","93.00","1.00","0.91","11.00","0.90","10.00","196.00",[L/M]b|[M-INVI]tau split|[L/M]ai|[L/M]f|[M-INVI]tau join|[L/M]l|[L/M]ao|[L/M]ad|[M-INVI]tau split|[L/M]g|[L]aq|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join
23,"27|104|360|402|417|500|504",7,Yes,"32.00","0.00","0.00","2.00","6.00","1.00","1.00","3.00","1.00","2.00","22.00",[L/M]e|[M-INVI]tau from tree|[L/M]ap
24,"88|210|437|445|453|685",6,Yes,"203.00","0.00","0.00","10.00","54.00","1.00","1.00","11.00","1.00","10.00","130.00",[L/M]b|[M-INVI]tau split|[L/M]ai|[L/M]f|[M-INVI]tau join|[L/M]l|[L/M]ao|[L/M]ad|[M-INVI]tau split|[L/M]v|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
25,"288|302|404|485|550|654",6,Yes,"186.00","0.00","0.00","11.00","45.00","1.00","1.00","12.00","1.00","11.00","130.00",[L/M]b|[M-INVI]tau split|[L/M]f|[L/M]ai|[M-INVI]tau join|[L/M]r|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]h|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aq|[L/M]aa|[L/M]ab|[L/M]n|[M-INVI]tau join|[M-INVI]tau join
