Result of replaying 1b4b427e-6651-4ea1-87b5-b10ce024a26d on Anonymous log imported from mar-log8-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"30",1,Yes,"81,669.00","7.00","4,464.00","18.00","7,783.00","0.87","0.71","24.00","0.72","18.00","38,980.00",[M-INVI]tau split|[M-INVI]tau split|[M-REAL]ak|[M-INVI]tau split|[M-INVI]tau split|[L/M]j|[L]g|[L/M]g|[L/M]ac|[M-INVI]tau split|[M-REAL]a|[L/M]b|[L/M]n|[M-INVI]tau join|[L/M]ad|[L]af|[L]af|[L/M]ap|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]ar|[L/M]l|[L/M]aj|[L/M]t|[L/M]o|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L]v|[L]x
2,"0",1,Yes,"55,643.00","5.00","2,363.00","16.00","3,698.00","0.87","0.77","22.00","0.81","16.00","20,550.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]ac|[M-INVI]tau split|[M-REAL]a|[M-INVI]tau split|[M-INVI]tau from tree|[L]ad|[L/M]g|[L/M]b|[L/M]ah|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[L]l|[L/M]w|[L/M]af|[L]ak|[L/M]c|[L/M]ak|[M-INVI]tau join|[M-INVI]tau from tree|[M-REAL]l|[L/M]m|[L/M]t|[L/M]o|[L/M]x|[L/M]v|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
3,"38",1,Yes,"363.00","7.00","30.00","17.00","42.00","0.86","0.70","23.00","0.71","17.00","262.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]a|[L/M]b|[L/M]ac|[M-INVI]tau join|[M-INVI]tau split|[L]af|[L]af|[L/M]af|[L/M]n|[L/M]g|[L]j|[L]j|[L/M]j|[L/M]ak|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]ad|[L]l|[L/M]l|[M-REAL]aj|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]t|[L/M]r|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
4,"6",1,Yes,"396.00","1.00","34.00","14.00","36.00","0.93","0.95","20.00","1.00","14.00","298.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]g|[L/M]ah|[L/M]e|[M-INVI]tau split|[M-REAL]a|[L/M]b|[L/M]w|[M-INVI]tau join|[L/M]aq|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[L/M]ak|[L/M]ap|[L/M]l|[L/M]m|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]ar|[L/M]r|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
5,"22",1,Yes,"139,016.00","9.00","6,963.00","15.00","18,019.00","0.75","0.57","21.00","0.60","15.00","56,746.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]ab|[L/M]w|[M-INVI]tau split|[M-REAL]a|[L/M]p|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[L]aq|[L]aq|[L]aq|[L]aq|[L]n|[L/M]n|[L/M]ak|[L]l|[L/M]c|[L/M]g|[M-INVI]tau join|[M-INVI]tau from tree|[M-REAL]l|[L/M]m|[L/M]t|[L/M]r|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
6,"39",1,Yes,"367.00","1.00","31.00","14.00","36.00","0.93","0.95","20.00","1.00","14.00","287.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]a|[L/M]b|[L/M]n|[L/M]g|[L/M]w|[L/M]ab|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]l|[L/M]m|[L/M]s|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[L/M]ap|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]z|[L/M]ak|[L/M]ar|[L/M]t|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
7,"33",1,Yes,"152,775.00","4.00","6,458.00","13.00","10,941.00","0.85","0.79","19.00","0.85","13.00","57,501.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]a|[L/M]b|[L/M]e|[L/M]n|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[L]aq|[L/M]g|[L]l|[L/M]w|[L/M]c|[L/M]ak|[M-INVI]tau join|[M-INVI]tau from tree|[M-REAL]l|[L/M]m|[L/M]r|[L/M]t|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
8,"9",1,Yes,"292.00","2.00","23.00","10.00","34.00","0.83","0.88","16.00","1.00","10.00","236.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]p|[L/M]a|[L/M]ap|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]u|[M-INVI]tau split|[L/M]k|[L/M]ao|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]q|[L/M]ar|[L/M]t|[L/M]aa|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
9,"24",1,Yes,"339.00","1.00","23.00","13.00","33.00","0.93","0.95","19.00","1.00","13.00","242.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]j|[L/M]n|[M-INVI]tau split|[M-REAL]a|[L/M]b|[L/M]ac|[L/M]g|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[L/M]ak|[L/M]ad|[L/M]c|[L/M]l|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]t|[L/M]m|[L/M]r|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
10,"28",1,Yes,"295.00","1.00","21.00","12.00","33.00","0.92","0.94","18.00","1.00","12.00","209.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]n|[L/M]ab|[L/M]g|[L/M]w|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]a|[L/M]p|[L/M]ak|[L/M]c|[L/M]l|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]t|[L/M]m|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aa|[L/M]u|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
11,"17",1,Yes,"322.00","2.00","27.00","11.00","32.00","0.91","0.88","17.00","0.91","11.00","235.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]p|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]k|[L/M]ao|[L/M]ak|[L/M]c|[L/M]t|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]h|[L]ai|[L/M]s|[L/M]z|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
12,"3",1,Yes,"265.00","0.00","22.00","9.00","31.00","1.00","1.00","15.00","1.00","9.00","214.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]f|[L/M]b|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]d|[L/M]af|[L/M]ap|[L/M]u|[L/M]ak|[L/M]ar|[L/M]t|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
13,"11",1,Yes,"239.00","1.00","20.00","10.00","31.00","0.91","0.94","16.00","1.00","10.00","179.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]p|[L/M]ak|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ao|[L/M]c|[L/M]k|[L/M]t|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]al|[L/M]aa|[L/M]u|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
14,"26",1,Yes,"313.00","1.00","23.00","10.00","31.00","0.91","0.94","16.00","1.00","10.00","232.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]p|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]ao|[L/M]ak|[L/M]c|[L/M]k|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]q|[L/M]s|[L/M]t|[L/M]z|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
15,"35",1,Yes,"276.00","2.00","27.00","7.00","31.00","0.78","0.85","13.00","1.00","7.00","215.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]b|[L/M]f|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]t|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]u|[L/M]aa|[L/M]af|[L/M]ap|[L/M]ak|[L/M]ar|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
16,"8",1,Yes,"223.00","2.00","19.00","10.00","39.00","1.00","0.88","16.00","0.80","10.00","179.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L]f|[L/M]f|[L]b|[L/M]b|[L/M]s|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[L/M]z|[L/M]c|[L/M]t|[L/M]ak|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
