Result of replaying 1b4b427e-6651-4ea1-87b5-b10ce024a26d on Anonymous log imported from log8-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"72|432|646|688",4,Yes,"76,517.00","0.00","105.00","8.00","5,835.00","1.00","1.00","10.00","1.00","8.00","36,070.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]f|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[M-INVI]tau split|[L/M]s|[L/M]c|[L/M]ak|[M-INVI]tau split|[L/M]t|[M-INVI]tau split|[L/M]z|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
2,"155|222|417|596",4,Yes,"77,355.00","0.00","140.00","7.00","5,762.00","1.00","1.00","9.00","1.00","7.00","36,709.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]p|[L/M]f|[M-INVI]tau split|[L/M]ak|[L/M]r|[L/M]ap|[M-INVI]tau split|[L/M]ar|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
3,"291|613|615|630",4,Yes,"63,709.00","0.00","90.00","7.00","4,888.00","1.00","1.00","9.00","1.00","7.00","30,384.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]f|[M-INVI]tau split|[L/M]r|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[L/M]c|[L/M]ak|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
4,"107|154|208|504",4,Yes,"67,517.00","0.00","98.00","6.00","5,245.00","1.00","1.00","8.00","1.00","6.00","32,021.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]p|[M-INVI]tau split|[L/M]r|[L/M]ak|[L/M]c|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join
5,"24|169|614",3,Yes,"58,284.00","0.00","81.00","8.00","4,358.00","1.00","1.00","10.00","1.00","8.00","28,475.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]b|[M-INVI]tau split|[L/M]s|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[L/M]ak|[M-INVI]tau split|[L/M]z|[L/M]c|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
6,"35|299|322",3,Yes,"56,055.00","0.00","76.00","8.00","4,178.00","1.00","1.00","10.00","1.00","8.00","27,658.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]b|[M-INVI]tau split|[L/M]s|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[M-INVI]tau split|[L/M]z|[L/M]ak|[L/M]c|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join
7,"148|397|424",3,Yes,"73,136.00","0.00","97.00","7.00","5,457.00","1.00","1.00","9.00","1.00","7.00","34,486.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]f|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[M-INVI]tau split|[L/M]r|[L/M]ak|[L/M]c|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
8,"178|479|516",3,Yes,"67,013.00","0.00","91.00","6.00","5,245.00","1.00","1.00","8.00","1.00","6.00","32,021.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]p|[M-INVI]tau split|[L/M]r|[L/M]c|[L/M]ak|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join
9,"285|336|603",3,Yes,"67,733.00","0.00","105.00","6.00","5,245.00","1.00","1.00","8.00","1.00","6.00","32,021.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]p|[L/M]f|[M-INVI]tau split|[L/M]r|[L/M]ak|[L/M]c|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join
10,"64|185",2,Yes,"54,744.00","0.00","74.00","8.00","4,070.00","1.00","1.00","10.00","1.00","8.00","26,971.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]b|[L/M]f|[M-INVI]tau split|[L/M]s|[M-INVI]tau split|[L/M]z|[M-INVI]tau join|[M-INVI]tau split|[L/M]af|[L/M]ak|[L/M]c|[M-INVI]tau split|[L/M]t|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join
