Result of replaying 15d051da-9179-43ea-ac9e-8e7de21d591a on Anonymous log imported from mar-log9-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"28",1,Yes,"135,265.00","10.00","6,987.00","29.00","16,633.00","0.85","0.80","49.00","0.79","29.00","57,976.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aj|[L/M]f|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]p|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]s|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]h|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]s|[L/M]am|[L]q|[L/M]q|[L]h|[L/M]i|[L/M]ai|[L]ac|[L/M]ac|[L/M]ac|[L]aa|[L/M]aa|[L/M]al|[L/M]ab|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L]o|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]n|[M-INVI]tau split|[L/M]ad|[L/M]ai|[L/M]al|[L/M]z|[M-INVI]tau join|[M-REAL]d|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[L]d
2,"15",1,Yes,"558,088.00","15.00","25,434.00","23.00","57,960.00","0.64","0.65","43.00","0.78","23.00","193,683.00",[M-INVI]tau split|[L]ak|[L]ak|[L/M]ak|[M-REAL]a|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]al|[M-REAL]p|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]aa|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[L/M]w|[L/M]d|[M-INVI]tau join|[L/M]ah|[L/M]h|[L/M]ai|[L/M]ac|[L/M]s|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]aj|[L/M]ac|[M-INVI]tau split|[L/M]am|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-REAL]ab|[M-INVI]tau join|[M-INVI]tau join|[M-REAL]o|[M-REAL]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L]ab|[L]ai|[L/M]ai|[L]n|[L/M]n|[M-REAL]ad|[M-REAL]al|[L/M]d|[L/M]z|[M-INVI]tau join|[M-REAL]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
3,"20",1,Yes,"135,783.00","14.00","6,678.00","25.00","13,581.00","0.69","0.69","45.00","0.80","25.00","61,765.00",[M-INVI]tau split|[L/M]j|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]al|[M-REAL]p|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[L]ak|[L/M]ai|[L/M]s|[L/M]aa|[M-INVI]tau split|[M-INVI]tau from tree|[L]ab|[L/M]ac|[M-INVI]tau join|[L/M]w|[L/M]d|[L/M]ah|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]ab|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]q|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-REAL]o|[M-REAL]w|[M-INVI]tau split|[L/M]z|[L/M]k|[M-INVI]tau join|[L]y|[L/M]y|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]z|[M-INVI]tau split|[M-REAL]ad|[M-REAL]al|[L/M]ai|[L]n|[L]n|[L/M]n|[L/M]d|[M-INVI]tau join|[M-REAL]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
4,"33",1,Yes,"157,787.00","7.00","7,714.00","29.00","19,611.00","0.92","0.86","49.00","0.83","29.00","58,750.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]f|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]h|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]s|[L]aa|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L]aj|[L/M]aj|[L/M]ab|[L/M]ai|[M-INVI]tau join|[M-INVI]tau split|[L/M]s|[L/M]q|[L/M]ac|[L/M]al|[L/M]p|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]z|[L]w|[L/M]k|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L]ai|[L/M]ai|[L/M]ad|[L/M]al|[L/M]n|[L/M]z|[M-INVI]tau join|[M-REAL]d|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[L]d
5,"32",1,Yes,"27,484.00","5.00","1,932.00","29.00","2,877.00","0.96","0.90","49.00","0.86","29.00","16,673.00",[M-INVI]tau split|[L/M]q|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau split|[L]s|[L/M]aj|[L]f|[L/M]f|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]h|[L/M]aa|[L/M]ai|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]am|[L/M]i|[L/M]s|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]q|[L/M]p|[L]o|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L]ai|[L/M]ai|[L/M]ad|[L/M]al|[L/M]n|[L/M]d|[L/M]z|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
6,"3",1,Yes,"21,203.00","4.00","1,439.00","27.00","2,180.00","0.96","0.91","47.00","0.89","27.00","10,689.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]ah|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]w|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]h|[M-INVI]tau from tree|[M-INVI]tau join|[L]aj|[L/M]s|[L/M]aa|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]ai|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]s|[L/M]ac|[L/M]ab|[L/M]q|[L/M]p|[L/M]al|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L]z|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[M-REAL]al|[L/M]d|[L/M]n|[L/M]z|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
7,"23",1,Yes,"13,329.00","4.00","716.00","27.00","1,680.00","0.96","0.91","47.00","0.89","27.00","7,400.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]f|[L/M]aj|[M-INVI]tau join|[L]i|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]s|[M-INVI]tau from tree|[M-INVI]tau join|[M-REAL]h|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L]q|[L/M]s|[L/M]aa|[L/M]q|[L/M]p|[L]h|[L/M]ab|[L/M]al|[L/M]ai|[L/M]ac|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]z|[L/M]k|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[L/M]al|[L/M]n|[L/M]d|[L/M]z|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
8,"0",1,Yes,"27,597.00","12.00","1,149.00","21.00","2,498.00","0.66","0.71","41.00","0.90","21.00","12,946.00",[M-INVI]tau split|[L/M]ak|[L]ah|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]al|[M-REAL]p|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]s|[M-INVI]tau split|[M-INVI]tau from tree|[L/M]w|[L/M]h|[L/M]aa|[L/M]d|[L/M]ac|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]am|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]ai|[L/M]ac|[L/M]ab|[M-INVI]tau split|[M-REAL]q|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]af|[L/M]aj|[M-INVI]tau join|[M-INVI]tau join|[M-REAL]o|[M-REAL]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[L/M]y|[M-INVI]tau split|[M-INVI]tau split|[M-REAL]z|[L/M]n|[M-INVI]tau split|[M-REAL]ad|[M-REAL]al|[L/M]ai|[L]n|[L/M]d|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
9,"8",1,Yes,"381.00","4.00","35.00","27.00","78.00","0.93","0.91","47.00","0.93","27.00","366.00",[M-INVI]tau split|[L]j|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aj|[L/M]q|[L/M]f|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau split|[L]s|[L/M]s|[M-REAL]h|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]ai|[L/M]i|[L/M]aa|[L/M]ab|[L/M]ac|[L/M]am|[L/M]q|[L/M]al|[L/M]p|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-REAL]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[L/M]al|[L/M]n|[L/M]d|[L/M]z|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
10,"10",1,Yes,"2,617.00","2.00","177.00","29.00","314.00","1.00","0.96","49.00","0.93","29.00","1,844.00",[M-INVI]tau split|[M-INVI]tau from tree|[L/M]j|[L/M]ak|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]w|[L]j|[L/M]ah|[M-INVI]tau split|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[M-INVI]tau from tree|[M-INVI]tau join|[L]aj|[L/M]s|[L/M]aa|[L/M]h|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]s|[L/M]ai|[L/M]ac|[L/M]q|[L/M]p|[L/M]al|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]ad|[L/M]ai|[L/M]al|[L/M]n|[L/M]d|[L/M]z|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
