Result of replaying 15d051da-9179-43ea-ac9e-8e7de21d591a on Anonymous log imported from log9-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"90",1,Yes,"53,823.00","2.00","95.00","30.00","5,372.00","1.00","0.94","34.00","0.93","30.00","20,885.00",[M-INVI]tau split|[L/M]ak|[L]w|[L]c|[L/M]q|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]at|[L/M]d|[M-INVI]tau join|[M-INVI]tau split|[L/M]i|[M-INVI]tau split|[L/M]s|[L/M]h|[L/M]am|[L/M]ai|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]ac|[L/M]aa|[L/M]ab|[L/M]q|[M-INVI]tau split|[L/M]al|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau split|[L/M]z|[L/M]n|[L/M]d|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
2,"144",1,Yes,"81,938.00","2.00","260.00","29.00","7,491.00","1.00","0.94","33.00","0.93","29.00","34,887.00",[M-INVI]tau split|[L/M]ak|[L]w|[L]ah|[L/M]j|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]h|[M-INVI]tau split|[M-INVI]tau split|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]ai|[M-INVI]tau split|[L/M]s|[L/M]ac|[L/M]aa|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]ab|[L/M]q|[M-INVI]tau split|[L/M]p|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ad|[L/M]ai|[L/M]al|[M-INVI]tau split|[L/M]z|[L/M]n|[L/M]d|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
3,"5",1,Yes,"77,952.00","1.00","140.00","27.00","7,286.00","1.00","0.97","31.00","0.96","27.00","34,249.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aj|[L/M]q|[L/M]f|[L/M]j|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[M-INVI]tau split|[L/M]ai|[M-INVI]tau from tree|[M-INVI]tau split|[L]aj|[L/M]am|[L/M]s|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]q|[L/M]s|[L/M]ac|[L/M]aa|[M-INVI]tau split|[L/M]p|[L/M]al|[L/M]ab|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau split|[L/M]d|[L/M]z|[L/M]n|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
4,"15",1,Yes,"33,695.00","1.00","59.00","27.00","3,369.00","1.00","0.97","31.00","0.96","27.00","15,932.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]f|[L/M]q|[L/M]j|[L]s|[L/M]aj|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]i|[L/M]aa|[L/M]h|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]q|[M-INVI]tau split|[L/M]al|[L/M]ai|[L/M]ab|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]ac|[L/M]w|[M-INVI]tau split|[L/M]z|[L/M]k|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ad|[L/M]ai|[L/M]al|[M-INVI]tau split|[L/M]n|[L/M]d|[L/M]z|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
5,"22",1,Yes,"45,082.00","1.00","80.00","27.00","4,495.00","1.00","0.97","31.00","0.96","27.00","20,319.00",[M-INVI]tau split|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aj|[L/M]j|[L/M]f|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L]aj|[L/M]am|[M-INVI]tau split|[L/M]h|[L/M]s|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]ai|[M-INVI]tau split|[L/M]s|[L/M]ac|[L/M]aa|[L/M]q|[L/M]ab|[M-INVI]tau split|[L/M]p|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau split|[L/M]d|[L/M]z|[L/M]n|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
6,"37",1,Yes,"44,926.00","1.00","93.00","30.00","4,265.00","1.00","0.97","34.00","0.97","30.00","22,160.00",[M-INVI]tau split|[L/M]q|[L/M]ak|[L]c|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]w|[M-INVI]tau split|[M-INVI]tau split|[L/M]d|[L/M]s|[L/M]at|[L/M]h|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]ab|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]ai|[L/M]i|[L/M]q|[M-INVI]tau split|[L/M]p|[L/M]ac|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]z|[L/M]k|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau split|[L/M]z|[L/M]d|[L/M]n|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
7,"38",1,Yes,"77,937.00","1.00","162.00","29.00","7,309.00","1.00","0.97","33.00","0.97","29.00","34,167.00",[M-INVI]tau split|[L/M]j|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[M-INVI]tau split|[L]ak|[L/M]ai|[L/M]s|[L/M]w|[M-INVI]tau split|[L/M]ac|[L/M]ah|[L/M]aa|[M-INVI]tau split|[L/M]d|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[M-INVI]tau split|[L/M]s|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]q|[L/M]p|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau split|[L/M]d|[L/M]z|[L/M]n|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
8,"45",1,Yes,"23,836.00","1.00","43.00","26.00","2,513.00","1.00","0.97","30.00","0.96","26.00","12,215.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aj|[L/M]a|[L]s|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[M-INVI]tau split|[L/M]ai|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]i|[L/M]s|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]ac|[M-INVI]tau split|[L/M]q|[M-INVI]tau split|[L/M]al|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ad|[L/M]ai|[L/M]al|[M-INVI]tau split|[L/M]n|[L/M]z|[L/M]d|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
9,"47",1,Yes,"44,380.00","1.00","88.00","27.00","4,587.00","1.00","0.97","31.00","0.96","27.00","17,341.00",[M-INVI]tau split|[L/M]j|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]f|[L]s|[L/M]aj|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]g|[M-INVI]tau split|[L/M]h|[L/M]aa|[L/M]ai|[L/M]s|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]ac|[L/M]ab|[M-INVI]tau split|[L/M]q|[M-INVI]tau split|[L/M]al|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]z|[L/M]k|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ad|[L/M]ai|[L/M]al|[M-INVI]tau split|[L/M]z|[L/M]d|[L/M]n|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
10,"53",1,Yes,"64,419.00","1.00","119.00","30.00","6,195.00","1.00","0.97","34.00","0.97","30.00","25,832.00",[M-INVI]tau split|[L/M]j|[L/M]ak|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]w|[L/M]c|[M-INVI]tau split|[M-INVI]tau split|[L]q|[L/M]d|[L/M]h|[L/M]at|[L/M]s|[L/M]ai|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]i|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]aa|[L/M]ab|[L/M]ac|[L/M]q|[M-INVI]tau split|[L/M]p|[L/M]al|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ad|[L/M]al|[L/M]ai|[M-INVI]tau split|[L/M]n|[L/M]d|[L/M]z|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
11,"72",1,Yes,"15,771.00","1.00","32.00","29.00","1,606.00","1.00","0.97","33.00","0.97","29.00","8,834.00",[M-INVI]tau split|[L/M]ak|[L]w|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[L/M]c|[M-INVI]tau split|[M-INVI]tau split|[L/M]at|[L/M]ai|[M-INVI]tau split|[L/M]ac|[L/M]d|[L/M]s|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]s|[L/M]aa|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]i|[L/M]ab|[L/M]q|[L/M]p|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau split|[L/M]n|[L/M]d|[L/M]z|[M-INVI]tau join|[L/M]c|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
12,"80",1,Yes,"36,889.00","1.00","67.00","26.00","3,675.00","1.00","0.97","30.00","0.96","26.00","17,786.00",[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]aj|[L/M]a|[L]s|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]g|[L/M]am|[M-INVI]tau split|[L/M]s|[L/M]h|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau split|[L/M]q|[L/M]ai|[M-INVI]tau split|[L/M]al|[L/M]ac|[L/M]ab|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]z|[L/M]k|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau split|[L/M]ad|[L/M]ai|[L/M]al|[M-INVI]tau split|[L/M]z|[L/M]d|[L/M]n|[M-INVI]tau join|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join
