Result of replaying aab063bd-2cbc-41b1-9691-4f4a50d89cfb on log2-15February.csv

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"11",1,Yes,"2,159.00","12.00","150.00","39.00","642.00","1.00","0.72","43.00","0.69","39.00","987.00",[M-INVI]tau split|[M-INVI]tau from tree|[L/M]a|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ae|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L]i|[L/M]s|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]ao|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L]d|[L]t|[L]ah|[L]t|[L]j|[L]j|[L]ai|[L]a|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L]p|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ae|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]ao|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[M-INVI]tau from tree|[L]j|[L]ai
2,"6",1,Yes,"448.00","3.00","50.00","29.00","97.00","0.93","0.91","33.00","0.97","29.00","336.00",[M-INVI]tau split|[M-REAL]a|[M-INVI]tau split|[L/M]f|[M-INVI]tau split|[L/M]v|[M-REAL]as|[L/M]n|[L/M]h|[L/M]k|[L/M]ag|[L/M]ap|[L/M]ad|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]x|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L]ah|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[M-INVI]tau from tree
3,"19",1,Yes,"395.00","5.00","37.00","30.00","95.00","0.93","0.85","34.00","0.90","30.00","280.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau split|[L/M]h|[L/M]f|[L/M]k|[L/M]n|[M-INVI]tau split|[L]ag|[L/M]ag|[L/M]v|[L/M]ap|[L/M]as|[L]aj|[L/M]ad|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-REAL]aj|[M-INVI]tau split|[L]l|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]i|[L/M]e|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]an|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
4,"28",1,Yes,"355.00","0.00","30.00","28.00","76.00","1.00","1.00","32.00","1.00","28.00","255.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau split|[L/M]f|[L/M]n|[L/M]h|[L/M]k|[M-INVI]tau split|[L/M]ag|[L/M]u|[L/M]ap|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]aj|[M-INVI]tau split|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ae|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[L/M]i|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau start|[L/M]an|[L/M]aa|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
5,"35",1,Yes,"291.00","0.00","17.00","27.00","67.00","1.00","1.00","31.00","1.00","27.00","225.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[L/M]f|[L/M]a|[M-INVI]tau split|[L/M]u|[L/M]k|[L/M]n|[L/M]ag|[L/M]ap|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau split|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[L/M]e|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[L/M]i|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
6,"17",1,Yes,"359.00","0.00","26.00","26.00","76.00","1.00","1.00","30.00","1.00","26.00","261.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]h|[L/M]f|[L/M]a|[M-INVI]tau split|[L/M]u|[L/M]n|[L/M]k|[L/M]ap|[L/M]ag|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]m|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ae|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]ab|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]aq|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau from tree|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
7,"36",1,Yes,"388.00","0.00","27.00","26.00","80.00","1.00","1.00","30.00","1.00","26.00","278.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]a|[L/M]h|[L/M]k|[L/M]n|[M-INVI]tau split|[L/M]w|[L/M]ag|[L/M]ap|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]m|[M-INVI]tau split|[L/M]aa|[M-INVI]tau start|[L/M]an|[M-INVI]tau from tree|[L/M]ae|[M-INVI]tau from tree|[L/M]x|[L/M]i|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ao|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
8,"13",1,Yes,"367.00","0.00","27.00","26.00","78.00","1.00","1.00","30.00","1.00","26.00","263.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]f|[L/M]k|[L/M]h|[L/M]ap|[L/M]a|[L/M]n|[M-INVI]tau split|[L/M]u|[L/M]ag|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]z|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]y|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau start|[L/M]ab|[L/M]aa|[L/M]i|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]an|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
9,"31",1,Yes,"397.00","0.00","11.00","26.00","84.00","1.00","1.00","30.00","1.00","26.00","275.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau split|[L/M]f|[L/M]h|[L/M]k|[L/M]n|[M-INVI]tau split|[L/M]ar|[L/M]ap|[L/M]ag|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau join|[L/M]o|[L/M]p|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]r|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]y|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]b|[M-INVI]tau split|[M-INVI]tau start|[L/M]ab|[L/M]i|[L/M]aa|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]af|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]an|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
10,"18",1,Yes,"291.00","0.00","30.00","22.00","66.00","1.00","1.00","26.00","1.00","22.00","209.00",[M-INVI]tau split|[L/M]a|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]ac|[L/M]l|[M-INVI]tau join|[M-INVI]tau split|[L/M]b|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]e|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ab|[M-INVI]tau from tree|[L/M]ab|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]r|[L/M]i|[M-INVI]tau split|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ao|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]aq|[M-INVI]tau from tree|[L/M]x|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]d|[L/M]ah|[L/M]t|[L/M]j|[L/M]ai
