,event,case
0,a,0
1,a,1
2,b,2
3,a,2
4,g,2
5,b,3
6,aj,3
7,a,4
8,b,5
9,a,5
10,g,5
11,g,6
12,b,6
13,g,7
14,b,7
15,a,8
16,b,9
17,a,9
18,g,9
19,a,10
20,b,11
21,g,12
22,b,12
23,a,12
24,aj,13
25,b,13
26,a,14
27,a,15
28,k,16
29,a,16
30,b,16
31,a,17
32,b,18
33,a,18
34,a,19
35,b,19
36,g,20
37,b,20
38,a,21
39,b,22
40,a,22
41,aj,22
42,a,23
43,b,23
44,a,24
45,b,24
46,a,25
47,b,25
48,aj,25
49,b,26
50,g,26
51,a,26
52,aj,27
53,b,27
54,aj,28
55,b,28
56,k,29
57,a,29
58,b,29
59,a,30
60,a,31
61,b,31
62,a,32
63,b,33
64,a,33
65,b,34
66,a,34
67,b,35
68,a,35
69,b,36
70,k,36
71,g,37
72,a,37
73,b,37
74,b,38
75,b,39
76,g,39
77,a,40
78,b,41
79,g,41
80,a,42
81,b,43
82,a,43
83,a,44
84,b,45
85,b,46
86,k,46
87,a,46
88,b,47
89,aj,48
90,b,48
91,b,49
92,a,50
93,g,51
94,a,51
95,b,51
96,a,52
97,b,53
98,aj,53
99,a,53
100,a,54
101,a,55
102,b,56
103,b,57
104,g,57
105,a,58
106,b,58
107,k,58
108,b,59
109,b,60
110,a,60
111,aj,61
112,b,61
113,g,62
114,b,62
115,a,62
116,a,63
117,aj,64
118,b,64
119,b,65
120,a,66
121,b,66
122,a,67
123,b,68
124,aj,68
125,a,69
126,a,70
127,b,71
128,a,71
129,b,72
130,a,72
131,g,72
132,a,73
133,a,74
134,a,75
135,b,76
136,aj,77
137,b,77
138,b,78
139,g,78
140,b,79
141,aj,79
142,a,80
143,a,81
144,aj,82
145,b,82
146,a,82
147,g,83
148,a,83
149,b,83
150,b,84
151,aj,84
152,a,85
153,b,86
154,a,86
155,aj,87
156,a,87
157,b,87
158,a,88
159,aj,88
160,b,88
161,g,89
162,a,89
163,b,89
164,a,90
165,b,91
166,a,91
167,a,92
168,aj,93
169,b,93
170,b,94
171,b,95
172,a,95
173,aj,95
174,aj,96
175,b,96
176,b,97
177,k,97
178,b,98
179,a,98
180,aj,98
181,a,99
182,b,99
183,k,100
184,b,100
185,b,101
186,a,101
187,b,102
188,a,102
189,k,103
190,b,103
191,a,103
192,a,104
193,a,105
194,g,106
195,b,106
196,a,106
197,aj,107
198,b,107
199,a,107
200,a,108
201,g,109
202,b,109
203,a,109
204,a,110
205,a,111
206,a,112
207,b,113
208,aj,113
209,a,113
210,b,114
211,aj,114
212,a,114
213,b,115
214,b,116
215,a,116
216,aj,116
217,b,117
218,g,117
219,g,118
220,a,118
221,b,118
222,aj,119
223,b,119
224,b,120
225,k,120
226,a,120
227,a,121
228,a,122
229,b,122
230,a,123
231,a,124
232,a,125
233,b,125
234,aj,125
235,b,126
236,a,126
237,g,126
238,a,127
239,a,128
240,a,129
241,b,130
242,aj,130
243,a,130
244,a,131
245,b,131
246,k,132
247,b,132
248,a,133
249,b,133
250,k,133
251,aj,134
252,b,134
253,a,135
254,b,136
255,a,136
256,aj,136
257,b,137
258,aj,137
259,a,137
260,a,138
261,a,139
262,a,140
263,aj,140
264,b,140
265,a,141
266,a,142
267,a,143
268,k,143
269,b,143
270,b,144
271,a,144
272,k,144
273,k,145
274,b,145
275,a,146
276,b,147
277,b,148
278,a,149
279,g,149
280,b,149
281,aj,150
282,b,150
283,b,151
284,k,151
285,a,151
286,b,152
287,g,152
288,k,153
289,b,153
290,b,154
291,aj,154
292,g,155
293,b,155
294,b,156
295,aj,156
296,aj,157
297,a,157
298,b,157
299,g,158
300,b,158
301,b,159
302,a,159
303,g,159
304,b,160
305,k,160
306,a,161
307,a,162
308,a,163
309,a,164
310,b,165
311,a,165
312,a,166
313,a,167
314,aj,167
315,b,167
316,a,168
317,g,168
318,b,168
319,a,169
320,a,170
321,a,171
322,a,172
323,b,173
324,a,173
325,k,173
326,aj,174
327,a,174
328,b,174
329,a,175
330,g,175
331,b,175
332,b,176
333,g,177
334,a,177
335,b,177
336,a,178
337,b,178
338,k,178
339,a,179
340,b,180
341,a,181
342,b,182
343,k,182
344,g,183
345,b,183
346,b,184
347,k,184
348,b,185
349,k,185
350,b,186
351,b,187
352,aj,187
353,b,188
354,a,189
355,k,190
356,b,190
357,aj,191
358,b,191
359,a,192
360,a,193
361,b,194
362,b,195
363,b,196
364,a,196
365,g,196
366,a,197
367,a,198
368,b,199
369,a,200
370,b,201
371,a,202
372,a,203
373,aj,204
374,b,204
375,a,205
376,aj,206
377,b,206
378,a,206
379,a,207
380,a,208
381,aj,208
382,b,208
383,a,209
384,aj,210
385,a,210
386,b,210
387,b,211
388,k,211
389,a,212
390,a,213
391,k,213
392,b,213
393,b,214
394,b,215
395,b,216
396,aj,216
397,a,216
398,aj,217
399,b,217
400,a,218
401,a,219
402,g,220
403,b,220
404,a,220
405,b,221
406,a,221
407,aj,221
408,a,222
409,a,223
410,k,224
411,b,224
412,a,224
413,a,225
414,a,226
415,b,227
416,g,227
417,a,227
418,b,228
419,a,228
420,b,229
421,a,229
422,b,230
423,aj,230
424,a,230
425,a,231
426,a,232
427,a,233
428,b,234
429,a,234
430,g,234
431,a,235
432,a,236
433,b,237
434,a,237
435,b,238
436,a,239
437,g,239
438,b,239
439,b,240
440,k,241
441,b,241
442,b,242
443,a,242
444,aj,242
445,a,243
446,k,243
447,b,243
448,a,244
449,b,244
450,k,245
451,b,245
452,a,245
453,g,246
454,a,246
455,b,246
456,b,247
457,aj,247
458,a,247
459,g,248
460,a,248
461,b,248
462,a,249
463,a,250
464,b,251
465,k,251
466,a,252
467,a,253
468,a,254
469,aj,255
470,a,255
471,b,255
472,a,256
473,k,256
474,b,256
475,a,257
476,a,258
477,b,259
478,b,260
479,a,260
480,g,261
481,b,261
482,b,262
483,aj,262
484,a,262
485,b,263
486,a,263
487,g,264
488,b,264
489,b,265
490,g,265
491,a,265
492,a,266
493,b,267
494,k,267
495,a,268
496,k,269
497,a,269
498,b,269
499,a,270
500,k,270
501,b,270
502,b,271
503,a,271
504,g,271
505,a,272
506,k,273
507,b,273
