Result of replaying 26dbe176-0891-452e-8667-e63192a6357c on Anonymous log imported from feb-log3-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"22",1,Yes,"1,258.00","3.00","172.00","18.00","202.00","1.00","0.85","20.00","0.83","18.00","902.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau split|[L/M]b|[L/M]u|[L/M]l|[L/M]k|[L/M]q|[L]x|[L/M]x|[L/M]an|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau join|[L]al|[L/M]ab|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau laterDoChild|[L/M]aa|[L/M]d|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]w|[M-INVI]tau laterDoChild|[L/M]ak|[L/M]m|[L]o|[L/M]o|[M-INVI]tau finish|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau join
2,"17",1,Yes,"278.00","2.00","39.00","15.00","47.00","1.00","0.88","17.00","0.87","15.00","241.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]a|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau from tree|[M-INVI]tau laterDoChild|[M-INVI]tau split|[L/M]c|[L/M]f|[L/M]as|[L/M]i|[L/M]aq|[L/M]ad|[L/M]ar|[L]d|[L]d|[L/M]d|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau skipChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[L/M]au|[L/M]w|[L/M]o|[M-INVI]tau finish|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau join
3,"15",1,Yes,"258.00","0.00","39.00","14.00","43.00","1.00","1.00","16.00","1.00","14.00","235.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau split|[L/M]g|[L/M]l|[L/M]b|[L/M]q|[L/M]u|[L/M]z|[L/M]x|[L/M]an|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau laterDoChild|[M-INVI]tau split|[L/M]ah|[L/M]ao|[L/M]d|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau laterDoChild|[L/M]n|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau join
4,"35",1,Yes,"179.00","5.00","34.00","11.00","62.00","0.80","0.62","13.00","0.73","11.00","171.00",[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau split|[M-REAL]u|[M-INVI]tau firstDoChild|[L/M]l|[M-REAL]q|[M-INVI]tau join|[M-INVI]tau skipChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau split|[L/M]b|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L]an|[L]al|[L/M]al|[M-INVI]tau from tree|[L/M]d|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau laterDoChild|[M-INVI]tau skipChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[L/M]ak|[L/M]w|[M-INVI]tau finish|[L]ag|[L/M]ag|[M-INVI]tau finish|[M-INVI]tau join
5,"27",1,Yes,"229.00","3.00","41.00","14.00","48.00","0.92","0.81","16.00","0.86","14.00","212.00",[M-INVI]tau split|[M-INVI]tau split|[M-REAL]l|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau split|[L/M]g|[L/M]q|[L/M]x|[L/M]b|[L/M]an|[L/M]u|[L/M]ab|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau from tree|[L/M]p|[L/M]d|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau laterDoChild|[L]o|[L/M]o|[L/M]m|[L]n|[L/M]n|[M-INVI]tau finish|[M-INVI]tau join
6,"2",1,Yes,"742.00","2.00","96.00","9.00","124.00","1.00","0.82","11.00","0.78","9.00","560.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[L/M]a|[M-INVI]tau split|[L]b|[L/M]b|[L]ae|[L/M]k|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]d|[L/M]u|[M-INVI]tau join|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau skipChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]ak|[L/M]o|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau from tree|[M-INVI]tau finish|[M-INVI]tau join
7,"6",1,Yes,"250.00","0.00","43.00","15.00","41.00","1.00","1.00","17.00","1.00","15.00","225.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau split|[L/M]b|[L/M]k|[L/M]l|[L/M]u|[L/M]q|[L/M]z|[L/M]an|[L/M]x|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]al|[M-INVI]tau laterDoChild|[L/M]h|[L/M]p|[L/M]d|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]m|[M-INVI]tau laterDoChild|[M-INVI]tau laterDoChild|[L/M]o|[L/M]n|[M-INVI]tau finish|[M-INVI]tau join
8,"39",1,Yes,"177.00","1.00","26.00","15.00","41.00","1.00","0.94","17.00","0.93","15.00","164.00",[M-INVI]tau split|[M-INVI]tau split|[M-INVI]tau split|[L/M]i|[L/M]f|[L/M]l|[L/M]as|[L/M]ad|[L/M]q|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau split|[L/M]z|[L/M]an|[L/M]x|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau laterDoChild|[M-INVI]tau split|[L/M]aq|[L]m|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]m|[M-INVI]tau laterDoChild|[L/M]o|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau join
9,"7",1,Yes,"232.00","0.00","33.00","13.00","40.00","1.00","1.00","15.00","1.00","13.00","209.00",[M-INVI]tau split|[M-INVI]tau split|[L/M]l|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau skipChild|[M-INVI]tau split|[L/M]b|[L/M]aj|[L/M]q|[L/M]an|[L/M]u|[L/M]x|[L/M]ab|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau join|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau laterDoChild|[L/M]y|[L/M]d|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[L/M]o|[M-INVI]tau laterDoChild|[L/M]n|[M-INVI]tau skipChild|[M-INVI]tau finish|[M-INVI]tau join
10,"26",1,Yes,"192.00","10.00","29.00","17.00","105.00","1.00","0.47","19.00","0.41","17.00","186.00",[M-INVI]tau split|[M-INVI]tau start|[M-INVI]tau split|[L]a|[L]b|[L]e|[L/M]u|[M-INVI]tau firstDoChild|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau skipChild|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau laterDoChild|[L]s|[L]at|[L]t|[L/M]a|[M-INVI]tau split|[L]u|[L/M]b|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau finish|[M-INVI]tau finish|[M-INVI]tau start|[M-INVI]tau firstDoChild|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]u|[L]u|[L/M]e|[L/M]s|[M-INVI]tau skipChild|[M-INVI]tau finish|[L]at|[L/M]at|[L/M]t|[M-INVI]tau join
