,event,case
0,5,0
1,2,0
2,3,0
3,1,0
4,5,1
5,2,1
6,3,1
7,1,1
8,5,2
9,2,2
10,3,2
11,1,2
12,0,2
13,4,2
14,5,3
15,2,3
16,3,3
17,1,3
18,5,4
19,2,4
20,3,4
21,1,4
22,5,5
23,2,5
24,3,5
25,1,5
26,5,6
27,2,6
28,3,6
29,1,6
30,5,7
31,2,7
32,3,7
33,1,7
34,5,8
35,2,8
36,3,8
37,1,8
38,5,9
39,2,9
40,3,9
41,1,9
42,5,10
43,2,10
44,3,10
45,1,10
46,5,11
47,2,11
48,3,11
49,1,11
50,0,11
51,5,12
52,2,12
53,3,12
54,1,12
55,5,13
56,2,13
57,3,13
58,1,13
59,5,14
60,2,14
61,3,14
62,1,14
63,5,15
64,2,15
65,3,15
66,1,15
67,5,16
68,2,16
69,3,16
70,1,16
71,5,17
72,2,17
73,3,17
74,1,17
75,5,18
76,2,18
77,3,18
78,1,18
79,5,19
80,2,19
81,3,19
82,1,19
83,5,20
84,2,20
85,3,20
86,1,20
87,5,21
88,2,21
89,3,21
90,1,21
91,5,22
92,2,22
93,3,22
94,1,22
95,5,23
96,2,23
97,3,23
98,1,23
99,0,23
100,5,24
101,2,24
102,3,24
103,1,24
104,0,24
105,5,25
106,2,25
107,3,25
108,1,25
109,0,25
110,5,26
111,2,26
112,1,26
113,3,26
114,0,26
115,5,27
116,2,27
117,3,27
118,1,27
119,5,28
120,2,28
121,3,28
122,1,28
123,5,29
124,2,29
125,3,29
126,1,29
127,0,29
128,5,30
129,2,30
130,3,30
131,1,30
132,5,31
133,2,31
134,3,31
135,1,31
136,5,32
137,2,32
138,3,32
139,1,32
140,5,33
141,2,33
142,3,33
143,1,33
144,5,34
145,2,34
146,3,34
147,1,34
148,5,35
149,2,35
150,3,35
151,1,35
152,0,35
153,5,36
154,2,36
155,3,36
156,1,36
157,5,37
158,2,37
159,3,37
160,1,37
161,5,38
162,2,38
163,3,38
164,1,38
165,5,39
166,2,39
167,3,39
168,1,39
169,5,40
170,2,40
171,3,40
172,1,40
173,0,40
174,5,41
175,2,41
176,3,41
177,1,41
178,5,42
179,2,42
180,1,42
181,3,42
182,0,42
183,5,43
184,2,43
185,3,43
186,1,43
187,5,44
188,2,44
189,3,44
190,1,44
191,0,44
192,5,45
193,2,45
194,3,45
195,1,45
196,5,46
197,2,46
198,3,46
199,1,46
200,5,47
201,2,47
202,3,47
203,1,47
204,5,48
205,2,48
206,3,48
207,1,48
208,5,49
209,2,49
210,3,49
211,1,49
212,0,49
213,5,50
214,2,50
215,3,50
216,1,50
217,5,51
218,2,51
219,3,51
220,1,51
221,5,52
222,2,52
223,3,52
224,1,52
225,5,53
226,2,53
227,3,53
228,1,53
229,5,54
230,2,54
231,3,54
232,1,54
233,5,55
234,2,55
235,3,55
236,1,55
237,5,56
238,2,56
239,3,56
240,1,56
241,5,57
242,2,57
243,3,57
244,1,57
245,5,58
246,2,58
247,3,58
248,1,58
249,5,59
250,2,59
251,3,59
252,1,59
253,5,60
254,2,60
255,3,60
256,1,60
257,0,60
258,5,61
259,2,61
260,3,61
261,1,61
262,0,61
263,5,62
264,2,62
265,3,62
266,1,62
267,5,63
268,2,63
269,3,63
270,1,63
271,5,64
272,2,64
273,3,64
274,1,64
275,5,65
276,2,65
277,3,65
278,1,65
279,5,66
280,2,66
281,1,66
282,3,66
283,0,66
284,5,67
285,2,67
286,3,67
287,1,67
288,5,68
289,2,68
290,3,68
291,1,68
292,0,68
293,5,69
294,2,69
295,3,69
296,1,69
297,5,70
298,2,70
299,3,70
300,1,70
301,5,71
302,2,71
303,3,71
304,1,71
305,5,72
306,2,72
307,3,72
308,1,72
309,0,72
310,5,73
311,2,73
312,3,73
313,1,73
314,5,74
315,2,74
316,3,74
317,1,74
318,5,75
319,2,75
320,3,75
321,1,75
322,5,76
323,2,76
324,3,76
325,1,76
326,5,77
327,2,77
328,3,77
329,1,77
330,5,78
331,2,78
332,3,78
333,1,78
334,5,79
335,2,79
336,3,79
337,1,79
338,0,79
339,5,80
340,2,80
341,3,80
342,1,80
343,5,81
344,2,81
345,3,81
346,1,81
347,5,82
348,2,82
349,3,82
350,1,82
351,0,82
352,4,82
353,5,83
354,2,83
355,1,83
356,3,83
357,0,83
358,5,84
359,2,84
360,3,84
361,1,84
362,5,85
363,2,85
364,3,85
365,1,85
366,5,86
367,2,86
368,3,86
369,1,86
370,5,87
371,2,87
372,3,87
373,1,87
374,5,88
375,2,88
376,3,88
377,1,88
378,0,88
379,5,89
380,2,89
381,3,89
382,1,89
383,5,90
384,2,90
385,3,90
386,1,90
387,5,91
388,2,91
389,3,91
390,1,91
391,0,91
392,5,92
393,2,92
394,3,92
395,1,92
396,0,92
397,5,93
398,2,93
399,3,93
400,1,93
401,0,93
402,5,94
403,2,94
404,3,94
405,1,94
406,5,95
407,2,95
408,3,95
409,1,95
410,0,95
411,5,96
412,2,96
413,3,96
414,1,96
415,0,96
416,5,97
417,2,97
418,3,97
419,1,97
420,5,98
421,2,98
422,3,98
423,1,98
424,5,99
425,2,99
426,3,99
427,1,99
428,5,100
429,2,100
430,3,100
431,1,100
432,0,100
433,5,101
434,2,101
435,3,101
436,1,101
437,5,102
438,2,102
439,3,102
440,1,102
441,0,102
442,5,103
443,2,103
444,3,103
445,1,103
446,5,104
447,2,104
448,3,104
449,1,104
450,5,105
451,2,105
452,3,105
453,1,105
454,5,106
455,2,106
456,3,106
457,1,106
458,5,107
459,2,107
460,3,107
461,1,107
462,5,108
463,2,108
464,3,108
465,1,108
466,5,109
467,2,109
468,3,109
469,1,109
470,5,110
471,2,110
472,3,110
473,1,110
474,0,110
475,5,111
476,2,111
477,3,111
478,1,111
479,5,112
480,2,112
481,3,112
482,1,112
483,0,112
484,5,113
485,2,113
486,3,113
487,1,113
488,5,114
489,2,114
490,3,114
491,1,114
492,5,115
493,2,115
494,3,115
495,1,115
496,0,115
497,5,116
498,2,116
499,3,116
500,1,116
501,5,117
502,2,117
503,3,117
504,1,117
505,0,117
506,5,118
507,2,118
508,3,118
509,1,118
510,5,119
511,2,119
512,3,119
513,1,119
514,0,119
515,5,120
516,2,120
517,3,120
518,1,120
519,5,121
520,2,121
521,3,121
522,1,121
523,5,122
524,2,122
525,3,122
526,1,122
527,5,123
528,2,123
529,3,123
530,1,123
531,5,124
532,2,124
533,3,124
534,1,124
535,5,125
536,2,125
537,3,125
538,1,125
539,5,126
540,2,126
541,3,126
542,1,126
543,0,126
544,5,127
545,2,127
546,3,127
547,1,127
548,5,128
549,2,128
550,3,128
551,1,128
552,5,129
553,2,129
554,3,129
555,1,129
556,5,130
557,2,130
558,3,130
559,1,130
560,5,131
561,2,131
562,3,131
563,1,131
564,5,132
565,2,132
566,3,132
567,1,132
568,0,132
569,5,133
570,2,133
571,3,133
572,1,133
573,0,133
574,5,134
575,2,134
576,3,134
577,1,134
578,0,134
579,5,135
580,2,135
581,3,135
582,1,135
583,5,136
584,2,136
585,3,136
586,1,136
587,5,137
588,2,137
589,3,137
590,1,137
591,5,138
592,2,138
593,3,138
594,1,138
595,5,139
596,2,139
597,3,139
598,1,139
599,5,140
600,2,140
601,3,140
602,1,140
603,5,141
604,2,141
605,3,141
606,1,141
607,5,142
608,2,142
609,3,142
610,1,142
611,5,143
612,2,143
613,3,143
614,1,143
615,0,143
616,5,144
617,2,144
618,3,144
619,1,144
620,0,144
621,5,145
622,2,145
623,3,145
624,1,145
625,5,146
626,2,146
627,3,146
628,1,146
629,5,147
630,2,147
631,3,147
632,1,147
633,5,148
634,2,148
635,1,148
636,3,148
637,0,148
638,5,149
639,2,149
640,3,149
641,1,149
642,5,150
643,2,150
644,1,150
645,3,150
646,0,150
647,5,151
648,2,151
649,3,151
650,1,151
651,5,152
652,2,152
653,3,152
654,1,152
655,5,153
656,2,153
657,3,153
658,1,153
659,0,153
660,5,154
661,2,154
662,3,154
663,1,154
664,5,155
665,2,155
666,3,155
667,1,155
668,5,156
669,2,156
670,3,156
671,1,156
672,0,156
673,5,157
674,2,157
675,3,157
676,1,157
677,5,158
678,2,158
679,3,158
680,1,158
681,0,158
682,5,159
683,2,159
684,1,159
685,3,159
686,0,159
687,5,160
688,2,160
689,3,160
690,1,160
691,5,161
692,2,161
693,3,161
694,1,161
695,5,162
696,2,162
697,3,162
698,1,162
699,0,162
700,5,163
701,2,163
702,3,163
703,1,163
704,5,164
705,2,164
706,3,164
707,1,164
708,5,165
709,2,165
710,3,165
711,1,165
712,5,166
713,2,166
714,3,166
715,1,166
716,5,167
717,2,167
718,3,167
719,1,167
720,5,168
721,2,168
722,3,168
723,1,168
724,5,169
725,2,169
726,3,169
727,1,169
728,5,170
729,2,170
730,3,170
731,1,170
732,5,171
733,2,171
734,3,171
735,1,171
736,5,172
737,2,172
738,3,172
739,1,172
740,5,173
741,2,173
742,3,173
743,1,173
744,0,173
745,5,174
746,2,174
747,3,174
748,1,174
749,5,175
750,2,175
751,3,175
752,1,175
753,5,176
754,2,176
755,3,176
756,1,176
757,5,177
758,2,177
759,1,177
760,3,177
761,0,177
762,5,178
763,2,178
764,3,178
765,1,178
766,5,179
767,2,179
768,3,179
769,1,179
770,0,179
771,5,180
772,2,180
773,3,180
774,1,180
775,5,181
776,2,181
777,3,181
778,1,181
779,5,182
780,2,182
781,3,182
782,1,182
783,5,183
784,2,183
785,3,183
786,1,183
787,5,184
788,2,184
789,3,184
790,1,184
791,0,184
792,4,184
793,5,185
794,2,185
795,3,185
796,1,185
797,5,186
798,2,186
799,3,186
800,1,186
801,5,187
802,2,187
803,3,187
804,1,187
805,5,188
806,2,188
807,3,188
808,1,188
809,5,189
810,2,189
811,3,189
812,1,189
813,5,190
814,2,190
815,3,190
816,1,190
817,0,190
818,5,191
819,2,191
820,3,191
821,1,191
822,5,192
823,2,192
824,3,192
825,1,192
