case,event
0,q
0,aj
0,f
0,m
0,c
0,b
0,o
0,m
0,ab
0,d
0,ar
0,p
0,l
0,aq
1,s
1,m
1,f
1,aj
1,m
1,d
1,ab
1,n
1,ac
1,ah
2,s
2,o
2,p
2,au
3,m
3,r
3,aj
3,al
3,x
3,d
3,b
3,ad
3,m
3,ab
3,n
3,r
3,ao
3,ac
3,i
3,b
3,ah
3,as
4,b
4,av
4,r
4,aj
4,j
4,c
4,r
4,y
4,m
4,m
4,o
4,d
4,ar
4,ab
4,ao
4,p
4,b
4,l
4,i
4,aq
4,as
5,aj
5,ap
5,u
5,av
5,d
5,m
5,r
5,ao
5,s
5,r
5,i
5,b
5,m
5,aa
6,s
6,aj
6,f
6,c
6,y
6,m
6,o
6,m
6,av
6,ab
6,ar
6,p
6,l
6,aq
7,q
7,r
7,aj
7,j
7,aj
7,q
7,c
7,m
7,o
7,av
7,r
7,m
7,d
7,ao
7,b
7,ar
7,ab
7,i
7,p
7,l
7,aa
7,aq
8,d
8,al
8,m
8,b
8,at
8,aj
8,ap
8,n
8,m
8,ac
8,r
8,ah
8,ao
8,ab
8,b
8,i
8,aa
9,f
9,d
9,q
9,n
9,aj
9,m
9,aj
9,m
9,ab
9,ac
9,ah
10,m
10,aj
10,s
10,f
10,d
10,m
10,ab
10,n
10,ac
11,s
11,o
11,au
11,p
12,d
12,al
12,aj
12,r
12,d
12,q
12,c
12,m
12,aj
12,q
12,ao
12,b
12,o
12,m
12,d
12,ab
12,i
12,ar
12,as
12,p
12,l
12,aq
14,aj
14,s
14,ap
14,av
14,d
14,r
14,x
14,m
14,ao
14,i
14,b
14,n
14,m
14,as
14,ac
14,ad
15,ap
15,aj
15,d
15,x
15,s
15,am
15,al
15,m
15,m
15,ad
15,r
15,ab
15,ao
15,b
15,i
15,aa
16,f
16,aj
16,q
16,m
16,d
16,aj
16,am
16,m
16,ab
17,q
17,q
17,aj
17,f
17,c
17,m
17,aj
17,m
17,ab
17,o
17,d
17,ar
17,p
17,l
17,aq
18,d
18,al
18,d
18,u
18,q
18,r
18,m
18,aj
18,ao
18,ap
18,i
18,m
18,b
18,ab
18,u
18,as
20,a
20,au
20,p
21,al
21,q
21,r
21,aj
21,r
21,aj
21,j
21,c
21,o
21,m
21,q
21,ao
21,m
21,b
21,i
21,d
21,ab
21,aa
21,ar
21,p
21,l
21,aq
22,c
22,aj
22,m
22,y
22,s
22,o
22,f
22,m
22,av
22,ar
22,ab
22,p
22,l
22,aq
23,m
23,c
23,q
23,aj
23,y
23,u
23,o
23,f
23,m
23,av
23,ar
23,p
23,ab
23,l
23,aq
24,a
24,p
24,au
25,r
25,z
25,aj
25,av
25,ap
25,m
25,n
25,b
25,m
25,ac
25,r
25,ah
25,ab
25,ao
25,b
25,i
25,as
27,m
27,q
27,u
27,f
27,aj
27,d
27,m
27,ab
27,am
28,q
28,aj
28,f
28,m
28,aj
28,d
28,m
28,ab
28,n
28,ac
28,ah
29,q
29,aj
29,u
29,m
29,f
29,ap
29,u
29,m
30,m
30,r
30,z
30,aj
30,aj
30,q
30,al
30,d
30,n
30,m
30,r
30,ac
30,ao
30,ab
30,ah
30,i
30,b
30,aa
31,d
31,al
31,q
31,s
31,r
31,c
31,m
31,z
31,aj
31,ao
31,b
31,o
31,m
31,i
31,as
31,d
31,ab
31,ar
31,p
31,l
31,aq
32,m
32,x
32,d
32,r
32,ad
32,av
32,s
32,aj
32,r
32,m
32,n
32,ab
32,ao
32,ac
32,i
32,b
32,ah
32,as
33,q
33,f
33,s
33,aj
33,c
33,m
33,m
33,o
33,d
33,ab
33,ar
33,p
33,l
33,aq
