traceName,alignmentFitness,alignmentCost,moveNr,moveType,processActivity,logActivity,log:attribute:concept:name
"1","1.00000000","100.00000000","0","LMGOOD","a","a",""
"1","1.00000000","100.00000000","1","LMGOOD","p","p",""
"1","1.00000000","100.00000000","2","LMGOOD","ae","ae",""
"1","1.00000000","100.00000000","3","LMGOOD","al","al",""
"1","1.00000000","100.00000000","4","LMGOOD","ak","ak",""
"1","1.00000000","100.00000000","5","LMGOOD","s","s",""
"1","1.00000000","100.00000000","6","LMGOOD","ap","ap",""
"1","1.00000000","100.00000000","7","LMGOOD","ar","ar",""
"1","1.00000000","100.00000000","8","LMGOOD","z","z",""
"1","1.00000000","100.00000000","9","LMGOOD","t","t",""
"10","1.00000000","100.00000000","0","LMGOOD","b","b",""
"10","1.00000000","100.00000000","1","LMGOOD","af","af",""
"10","1.00000000","100.00000000","2","LMGOOD","ag","ag",""
"10","1.00000000","100.00000000","3","LMGOOD","ak","ak",""
"10","1.00000000","100.00000000","4","LMGOOD","ap","ap",""
"10","1.00000000","100.00000000","5","LMGOOD","o","o",""
"10","1.00000000","100.00000000","6","LMGOOD","x","x",""
"10","1.00000000","100.00000000","7","LMGOOD","ar","ar",""
"10","1.00000000","100.00000000","8","LMGOOD","v","v",""
"10","1.00000000","100.00000000","9","LMGOOD","t","t",""
"11","1.00000000","80.00000000","0","LMGOOD","b","b",""
"11","1.00000000","80.00000000","1","LMGOOD","af","af",""
"11","1.00000000","80.00000000","2","LMGOOD","f","f",""
"11","1.00000000","80.00000000","3","LMGOOD","ap","ap",""
"11","1.00000000","80.00000000","4","LMGOOD","ak","ak",""
"11","1.00000000","80.00000000","5","LMGOOD","u","u",""
"11","1.00000000","80.00000000","6","LMGOOD","d","d",""
"11","1.00000000","80.00000000","7","LMGOOD","t","t",""
"12","1.00000000","60.00000000","0","LMGOOD","p","p",""
"12","1.00000000","60.00000000","1","LMGOOD","f","f",""
"12","1.00000000","60.00000000","2","LMGOOD","c","c",""
"12","1.00000000","60.00000000","3","LMGOOD","ak","ak",""
"12","1.00000000","60.00000000","4","LMGOOD","r","r",""
"12","1.00000000","60.00000000","5","LMGOOD","t","t",""
"13","1.00000000","90.00000000","0","LMGOOD","f","f",""
"13","1.00000000","90.00000000","1","LMGOOD","b","b",""
"13","1.00000000","90.00000000","2","LMGOOD","u","u",""
"13","1.00000000","90.00000000","3","LMGOOD","d","d",""
"13","1.00000000","90.00000000","4","LMGOOD","af","af",""
"13","1.00000000","90.00000000","5","LMGOOD","ak","ak",""
"13","1.00000000","90.00000000","6","LMGOOD","ap","ap",""
"13","1.00000000","90.00000000","7","LMGOOD","ar","ar",""
"13","1.00000000","90.00000000","8","LMGOOD","t","t",""
"16","1.00000000","140.00000000","0","LMGOOD","j","j",""
"16","1.00000000","140.00000000","1","LMGOOD","b","b",""
"16","1.00000000","140.00000000","2","LMGOOD","g","g",""
"16","1.00000000","140.00000000","3","LMGOOD","af","af",""
"16","1.00000000","140.00000000","4","LMGOOD","n","n",""
"16","1.00000000","140.00000000","5","LMGOOD","c","c",""
"16","1.00000000","140.00000000","6","LMGOOD","ak","ak",""
"16","1.00000000","140.00000000","7","LMGOOD","ab","ab",""
"16","1.00000000","140.00000000","8","LMGOOD","t","t",""
"16","1.00000000","140.00000000","9","LMGOOD","l","l",""
"16","1.00000000","140.00000000","10","LMGOOD","m","m",""
"16","1.00000000","140.00000000","11","LMGOOD","o","o",""
"16","1.00000000","140.00000000","12","LMGOOD","x","x",""
"16","1.00000000","140.00000000","13","LMGOOD","v","v",""
"20","1.00000000","140.00000000","0","LMGOOD","b","b",""
"20","1.00000000","140.00000000","1","LMGOOD","af","af",""
"20","1.00000000","140.00000000","2","LMGOOD","ap","ap",""
"20","1.00000000","140.00000000","3","LMGOOD","a","a",""
"20","1.00000000","140.00000000","4","LMGOOD","ar","ar",""
"20","1.00000000","140.00000000","5","LMGOOD","k","k",""
"20","1.00000000","140.00000000","6","LMGOOD","ao","ao",""
"20","1.00000000","140.00000000","7","LMGOOD","ak","ak",""
"20","1.00000000","140.00000000","8","LMGOOD","t","t",""
"20","1.00000000","140.00000000","9","LMGOOD","am","am",""
"20","1.00000000","140.00000000","10","LMGOOD","o","o",""
"20","1.00000000","140.00000000","11","LMGOOD","y","y",""
"20","1.00000000","140.00000000","12","LMGOOD","x","x",""
"20","1.00000000","140.00000000","13","LMGOOD","v","v",""
"21","1.00000000","140.00000000","0","LMGOOD","ac","ac",""
"21","1.00000000","140.00000000","1","LMGOOD","g","g",""
"21","1.00000000","140.00000000","2","LMGOOD","p","p",""
"21","1.00000000","140.00000000","3","LMGOOD","ah","ah",""
"21","1.00000000","140.00000000","4","LMGOOD","w","w",""
"21","1.00000000","140.00000000","5","LMGOOD","ap","ap",""
"21","1.00000000","140.00000000","6","LMGOOD","ak","ak",""
"21","1.00000000","140.00000000","7","LMGOOD","ad","ad",""
"21","1.00000000","140.00000000","8","LMGOOD","ar","ar",""
"21","1.00000000","140.00000000","9","LMGOOD","l","l",""
"21","1.00000000","140.00000000","10","LMGOOD","m","m",""
"21","1.00000000","140.00000000","11","LMGOOD","u","u",""
"21","1.00000000","140.00000000","12","LMGOOD","t","t",""
"21","1.00000000","140.00000000","13","LMGOOD","d","d",""
"22","1.00000000","90.00000000","0","LMGOOD","b","b",""
