case,event
0,aj$1
0,f
0,am
0,a
0,s$1
0,s$1
0,h
0,q$0
0,ai$0$1
0,ac$1
0,al$0
0,g
0,aa
0,p
0,o
0,w$1
0,z$0
0,ab
0,k
0,ad
0,ai$1
0,al$1
0,z$1
0,d$1
0,n$0
0,c$0
1,a
1,ak
1,h
1,s$1
1,ai$0$1
1,ah
1,ac$1
1,w$0
1,aa
1,d$0
1,aj$0
1,am
1,ac$0
1,ab
1,q$0
1,z$0
1,k
1,ai$1
1,ai$1
1,d$1
1,n$0
1,z$1
1,c$0
3,f
3,aj$1
3,am
3,s$1
3,j
3,q$1
3,q$1
3,g
3,p
3,h
3,al$0
3,s$0
3,ai$0$0
3,o
3,aa
3,ac$0
3,w$1
3,ab
3,k
3,z$0
3,ad
3,ai$1
3,al$1
3,z$1
3,d$1
3,n$0
3,c$0
5,aj$1
5,q$1
5,f
5,j
5,h
5,ai$0$1
5,aj$1
5,am
5,s$1
5,q$0
5,s$0
5,ac$1
5,aa
5,p
5,al$0
5,ab
5,o
5,w$1
5,k
5,z$0
5,ai$1
5,ad
5,al$1
5,d$1
5,z$1
5,n$0
5,c$0
6,q$1
6,aj$1
6,f
6,am
6,aj$1
6,j
6,s$1
6,h
6,s$0
6,aa
6,ab
6,ai$0$0
6,q$0
6,ac$1
6,p
6,al$0
6,o
6,w$1
6,k
6,z$0
6,ad
6,ai$1
6,al$1
6,z$1
6,n$0
6,d$1
6,c$0
8,ak
8,a
8,ah
8,s$1
8,aa
8,w$0
8,ab
8,h
8,ai$0$1
8,ac$1
8,d$0
8,s$0
8,am
8,aj$0
8,q$0
8,p
8,al$0
8,o
8,w$1
8,k
8,z$0
8,ad
8,al$1
8,ai$1
8,d$1
8,z$1
8,n$0
8,c$0
9,j
9,aj$1
9,f
9,q$1
9,s$1
9,i
9,h
9,am
9,s$0
9,aa
9,ai$0$1
9,q$0
9,ab
9,ac$1
9,p
9,al$0
9,o
9,w$1
9,k
9,z$0
9,ai$1
9,ad
9,al$1
9,d$1
9,z$1
9,n$0
9,c$0
11,ak
11,j
11,q$1
11,w$0
11,ah
11,h
11,s$1
11,aa
11,ai$0$1
11,d$0
11,s$0
11,am
11,ab
11,ac$1
11,aj$0
11,q$0
11,p
11,al$0
11,o
11,w$1
11,z$0
11,k
11,ai$1
11,ad
11,al$1
11,z$1
11,n$0
11,d$1
11,c$0
12,f
12,q$1
12,j
12,aj$1
12,am
12,aj$1
12,s$1
12,s$0
12,q$0
12,h
12,aa
12,al$0
12,ai$0$0
12,p
12,ac$1
12,ab
12,o
12,w$1
12,z$0
12,k
12,ad
12,ai$1
12,al$1
12,d$1
12,n$0
12,z$1
12,c$0
14,aj$1
14,a
14,s$1
14,aa
14,f
14,am
14,ab
14,h
14,i
14,s$0
14,ai$0$0
14,q$0
14,ac$1
14,al$0
14,p
14,o
14,w$1
14,k
14,z$0
14,ai$1
14,ad
14,al$1
14,d$1
14,z$1
14,n$0
14,c$0
15,f
15,q$1
15,j
15,s$1
15,aj$1
15,s$1
15,am
15,i
15,aa
15,h
15,q$0
15,al$0
15,ai$0$0
15,ab
15,p
15,o
15,ac$0
15,w$1
15,z$0
15,k
15,ad
15,ai$1
15,al$1
15,n$0
15,d$1
15,z$1
15,c$0
18,j
18,aj$1
18,f
18,q$1
18,am
18,s$1
18,g
18,aa
18,s$0
18,h
18,ai$0$1
18,q$0
18,ab
18,al$0
18,ac$1
18,p
18,o
18,w$1
18,z$0
18,k
18,ad
18,al$1
18,ai$1
18,z$1
18,d$1
18,n$0
18,c$0
19,f
19,a
19,aj$1
19,am
19,g
19,s$1
19,h
19,s$1
19,q$0
19,al$0
19,p
19,ai$0$0
19,aa
19,ac$1
19,o
19,ab
19,w$1
19,k
19,z$0
19,ai$1
19,ad
19,al$1
19,z$1
19,d$1
19,n$0
19,c$0
20,j
20,ak
20,q$1
20,h
20,s$1
20,ah
20,w$0
20,ai$0$1
20,ac$1
20,aa
20,d$0
20,ab
20,aj$0
20,am
20,s$0
20,q$0
20,al$0
20,p
20,o
20,w$1
20,z$0
20,k
20,ai$1
20,ad
20,al$1
20,d$1
20,n$0
20,z$1
20,c$0
21,ak
21,w$0
21,a
21,h
21,ai$0$1
21,s$1
21,d$0
21,ah
21,aa
21,ac$1
21,am
21,ac$0
21,aj$0
21,ab
21,q$0
21,z$0
21,k
21,ai$1
21,ai$1
21,n$0
21,z$1
22,q$1
22,aj$1
22,j
22,f
22,aj$1
22,am
22,h
22,s$1
22,ai$0$1
22,s$0
22,ac$1
22,aa
22,q$0
22,ab
22,p
22,al$0
22,o
22,w$1
22,k
22,z$0
22,ai$1
22,ad
22,al$1
22,d$1
22,z$1
22,n$0
22,c$0
24,ak
24,a
24,w$0
24,h
24,ai$0$1
24,s$1
24,ah
24,d$0
24,ac$1
24,aa
24,s$0
24,aj$0
24,ab
24,am
24,q$0
24,al$0
24,p
24,o
24,w$1
24,k
24,z$0
24,ad
24,ai$1
24,al$1
24,d$1
24,n$0
24,z$1
24,c$0
27,a
27,ak
27,h
27,s$1
27,ai$0$1
27,ac$1
27,n$1
27,w$0
27,d$0
27,am
27,s$0
27,aa
27,ab
27,q$0
27,p
27,g
27,al$0
27,o
27,w$1
27,z$0
27,k
27,ai$1
27,ad
27,al$1
27,n$0
27,d$1
27,z$1
27,c$0
28,j
28,f
28,q$1
28,aj$1
28,s$1
28,h
28,am
28,aj$1
28,aa
28,s$0
28,ai$0$1
28,ac$1
28,ab
28,q$0
28,al$0
28,p
28,o
28,w$1
28,z$0
28,k
28,ad
28,al$1
28,ai$1
28,d$1
28,n$0
28,z$1
28,c$0
29,ak
29,a
29,h
29,s$1
29,n$1
29,w$0
29,ai$0$1
29,aa
29,d$0
29,ac$1
29,g
29,s$0
29,ab
29,am
29,q$0
29,al$0
29,p
29,o
29,w$1
29,k
29,z$0
29,ai$1
29,ad
29,al$1
29,d$1
29,z$1
29,n$0
29,c$0
30,a
30,s$1
30,ak
30,h
30,aa
30,ab
30,ah
30,w$0
30,d$0
30,ai$0$1
30,am
30,ac$0
30,aj$0
30,q$0
30,ac$0
30,k
30,z$0
30,ai$1
30,ai$1
30,d$1
30,z$1
30,n$0
30,c$0
31,aj$1
31,q$1
31,j
31,s$1
31,aa
31,h
31,f
31,g
31,s$0
31,ab
31,ai$0$0
31,am
31,q$0
31,p
31,al$0
31,ac$0
31,o
31,w$1
31,z$0
31,k
31,ad
31,ai$1
31,al$1
31,z$1
31,d$1
31,n$0
31,c$0
32,a
32,aj$1
32,h
32,f
32,g
32,am
32,s$1
32,s$1
32,ai$0$1
32,q$0
32,p
32,ac$1
32,aa
32,al$0
32,ab
32,o
32,w$1
32,k
32,z$0
32,ai$1
32,ad
32,al$1
32,n$0
32,z$1
32,d$1
32,c$0
33,j
33,q$1
33,f
33,h
33,aj$1
33,s$1
33,aa
33,ab
33,aj$1
33,am
33,ai$0$0
33,ac$1
33,s$0
33,q$0
33,p
33,al$0
33,o
33,w$1
33,z$0
33,k
33,ad
33,ai$1
33,al$1
33,n$0
33,d$1
33,z$1
33,c$0
34,q$1
34,j
34,ak
34,ah
34,w$0
34,h
34,s$1
34,d$0
34,ai$0$1
34,ac$1
34,aa
34,am
34,ab
34,aj$0
34,ac$0
34,q$0
34,z$0
34,k
34,ai$1
34,ai$1
34,d$1
34,n$0
34,z$1
34,c$0
36,ak
36,q$1
36,ah
36,j
36,h
36,w$0
36,s$1
36,ai$0$1
36,d$0
36,ac$1
36,aa
36,ab
36,af
36,aj$0
36,k
36,ac$0
36,z$0
36,ai$1
36,ai$1
36,n$0
36,z$1
36,d$1
36,c$0
37,q$1
37,ak
37,c$1
37,j
37,w$0
37,d$0
37,s$1
37,at
37,h
37,aa
37,s$0
37,ab
37,am
37,ai$0$0
37,i
37,q$0
37,p
37,ac$0
37,al$0
37,o
37,w$1
37,z$0
37,k
37,ai$1
37,ad
37,al$1
37,z$1
37,d$1
37,n$0
37,c$0
38,j
38,q$1
38,h
38,ak
38,ai$0$1
38,s$1
38,w$0
38,ac$1
38,ah
38,aa
38,d$0
38,ab
38,s$0
38,aj$0
38,am
38,q$0
38,p
38,al$0
38,o
38,w$1
38,k
38,z$0
38,ai$1
38,ad
38,al$1
38,d$1
38,z$1
38,n$0
38,c$0
41,f
41,q$1
41,aj$1
41,j
41,am
41,aj$1
41,s$1
41,s$0
41,h
41,aa
41,q$0
41,ai$0$0
41,p
41,al$0
41,ab
41,ac$0
41,o
41,w$1
41,z$0
41,k
41,ad
41,al$1
41,ai$1
41,d$1
41,n$0
41,z$1
41,c$0
42,j
42,aj$1
42,f
42,q$1
42,am
42,s$1
42,i
42,s$0
42,aa
42,h
42,ab
42,q$0
42,ai$0$0
42,ac$1
42,al$0
42,p
42,o
42,w$1
42,z$0
42,k
42,ad
42,al$1
42,ai$1
42,d$1
42,n$0
42,z$1
42,c$0
43,a
43,h
43,ak
43,ai$0$1
43,ac$1
43,w$0
43,d$0
43,s$1
43,aa
43,ab
43,n$1
43,g
43,s$0
43,am
43,q$0
43,al$0
43,p
43,o
43,w$1
43,z$0
43,k
43,ai$1
43,ad
43,al$1
43,d$1
43,z$1
43,n$0
43,c$0
45,aj$1
45,a
45,s$1
45,f
45,h
45,ai$0$1
45,aa
45,am
45,i
45,s$0
45,ab
45,ac$1
45,q$0
45,al$0
45,p
45,o
45,w$1
45,k
45,z$0
45,ad
45,ai$1
45,al$1
45,n$0
45,z$1
45,d$1
45,c$0
47,j
47,q$1
47,f
47,s$1
47,aj$1
47,am
47,g
47,h
47,aa
47,ai$0$1
47,s$0
47,ac$1
47,ab
47,q$0
47,al$0
47,p
47,o
47,w$1
47,z$0
47,k
47,ad
47,ai$1
47,al$1
47,z$1
47,d$1
47,n$0
47,c$0
49,ak
49,n$1
49,w$0
49,a
49,h
49,d$0
49,s$1
49,am
49,ai$0$1
49,s$0
49,aa
49,q$0
49,al$0
49,p
49,g
49,ac$0
49,ab
49,o
49,w$1
49,z$0
49,k
49,ad
49,al$1
49,ai$1
49,d$1
49,z$1
49,n$0
49,c$0
50,a
50,s$1
50,ak
50,h
50,aa
50,n$1
50,w$0
50,ai$0$1
50,d$0
50,ab
50,ac$1
50,am
50,s$0
50,g
50,q$0
50,al$0
50,p
50,o
50,w$1
50,k
50,z$0
50,ad
50,ai$1
50,al$1
50,d$1
50,z$1
50,n$0
50,c$0
51,q$1
51,j
51,f
51,aj$1
51,h
51,am
51,s$1
51,i
51,s$0
51,q$0
51,ai$0$1
51,p
51,aa
51,ac$1
51,al$0
51,ab
51,o
51,w$1
51,k
51,z$0
51,ai$1
51,ad
51,al$1
51,n$0
51,z$1
51,d$1
51,c$0
53,j
53,ak
53,w$0
53,c$1
53,q$1
53,d$0
53,h
53,at
53,s$1
53,ai$0$1
53,am
53,i
53,s$0
53,aa
53,ab
53,ac$1
53,q$0
53,p
53,al$0
53,o
53,w$1
53,k
53,z$0
53,ad
53,al$1
53,ai$1
53,n$0
53,d$1
53,z$1
53,c$0
55,j
55,ak
55,w$0
55,q$1
55,d$0
55,ah
55,s$1
55,aa
55,h
55,ac$1
55,aj$0
55,am
55,ai$0$0
55,ac$0
55,ab
55,q$0
55,k
55,z$0
55,ai$1
55,ai$1
55,z$1
55,n$0
55,d$1
55,c$0
56,ak
56,w$0
56,j
56,ah
56,q$1
56,s$1
56,h
56,d$0
56,am
56,aj$1
56,aa
56,s$0
56,ai$0$0
56,ab
56,q$0
56,al$0
56,ac$0
56,p
56,o
56,w$1
56,k
56,z$0
56,ai$1
56,ad
56,al$1
56,d$1
56,z$1
56,n$0
56,c$0
57,f
57,aj$1
57,am
57,s$1
57,q$1
57,a
57,p
57,s$0
57,g
57,h
57,aa
57,al$0
57,ab
57,o
57,w$1
57,ai$0$0
57,ac$0
57,k
57,z$0
57,ai$1
57,ad
57,al$1
57,z$1
57,d$1
57,n$0
57,c$0
58,f
58,q$1
58,j
58,h
58,s$1
58,aa
58,aj$1
58,am
58,s$0
58,ab
58,ai$0$0
58,q$0
58,p
58,g
58,al$0
58,o
58,ac$0
58,w$1
58,z$0
58,k
58,ad
58,ai$1
58,al$1
58,z$1
58,d$1
58,n$0
58,c$0
59,f
59,a
59,aj$1
59,h
59,am
59,g
59,s$1
59,s$1
59,ai$0$1
59,q$0
59,ac$1
59,al$0
59,aa
59,p
59,o
59,w$1
59,z$0
59,ab
59,k
59,ai$1
59,ad
59,al$1
59,d$1
59,n$0
59,z$1
59,c$0
60,f
60,q$1
60,aj$1
60,j
60,h
60,s$1
60,aa
60,aj$1
60,ai$0$1
60,am
60,s$0
60,ab
60,q$0
60,p
60,ac$1
60,al$0
60,o
60,w$1
60,k
60,z$0
60,ad
60,ai$1
60,al$1
60,n$0
60,z$1
60,d$1
60,c$0
61,ak
61,a
61,ah
61,w$0
61,s$1
61,aa
61,d$0
61,aj$1
61,h
61,ai$0$1
61,am
61,ab
61,s$0
61,ac$1
61,q$0
61,p
61,al$0
61,o
61,w$1
61,k
61,z$0
61,ad
61,ai$1
61,al$1
61,z$1
61,n$0
61,d$1
61,c$0
62,j
62,q$1
62,aj$1
62,f
62,h
62,s$1
62,g
62,s$0
62,aa
62,ai$0$0
62,am
62,ab
62,q$0
62,ac$1
62,al$0
62,p
62,o
62,w$1
62,k
62,z$0
62,ad
62,al$1
62,ai$1
62,d$1
62,n$0
62,z$1
62,c$0
63,q$1
63,ak
63,w$0
63,j
63,d$0
63,ah
63,aj$1
63,am
63,q$0
63,h
63,ac$1
63,k
63,s$0
63,z$0
63,ai$1
63,ai$1
63,ai$1
63,z$1
63,aa
63,n$0
63,ab
63,ac$0
63,d$1
63,c$0
64,j
64,f
64,aj$1
64,q$1
64,h
64,ai$0$1
64,ac$1
64,s$1
64,am
64,i
64,s$0
64,q$0
64,al$0
64,aa
64,ab
64,p
64,o
64,w$1
64,z$0
64,k
64,ad
64,ai$1
64,al$1
64,z$1
64,d$1
64,n$0
64,c$0
65,f
65,a
65,aj$1
65,h
65,ai$0$1
65,am
65,s$1
65,g
65,s$1
65,ac$1
65,aa
65,q$0
65,p
65,al$0
65,ab
65,o
65,w$1
65,k
65,z$0
65,ad
65,al$1
65,ai$1
65,d$1
65,z$1
65,n$0
65,c$0
66,aj$1
66,j
66,f
66,s$1
66,q$1
66,i
66,am
66,s$0
66,q$0
66,h
66,p
66,ai$0$0
66,aa
66,al$0
66,ac$1
66,ab
66,o
66,w$1
66,k
66,z$0
66,ad
66,al$1
66,ai$1
66,d$1
66,z$1
66,n$0
66,c$0
67,f
67,q$1
67,aj$1
67,s$1
67,am
67,j
67,h
67,g
67,ai$0$1
67,ac$1
67,s$0
67,q$0
67,al$0
67,p
67,aa
67,o
67,ab
67,w$1
67,k
67,z$0
67,ad
67,ai$1
67,al$1
67,z$1
67,n$0
67,d$1
67,c$0
68,q$1
68,ak
68,j
68,s$1
68,h
68,c$1
68,w$0
68,at
68,d$0
68,aa
68,ab
68,ai$0$1
68,i
68,s$0
68,am
68,ac$1
68,q$0
68,al$0
68,p
68,o
68,w$1
68,k
68,z$0
68,ad
68,ai$1
68,al$1
68,n$0
68,d$1
68,z$1
68,c$0
70,ak
70,a
70,n$1
70,h
70,w$0
70,s$1
70,ai$0$1
70,ac$1
70,aa
70,d$0
70,ab
70,s$0
70,g
70,am
70,q$0
70,p
70,al$0
70,o
70,w$1
70,z$0
70,k
70,ad
70,ai$1
70,al$1
70,n$0
70,d$1
70,z$1
70,c$0
71,q$1
71,j
71,ak
71,h
71,ai$0$1
71,w$0
71,s$1
71,ah
71,d$0
71,s$0
71,aa
71,ac$1
71,am
71,ab
71,q$0
71,aj$0
71,al$0
71,p
71,o
71,w$1
71,k
71,z$0
71,ad
71,ai$1
71,al$1
71,z$1
71,d$1
71,n$0
71,c$0
72,ak
72,w$0
72,a
72,h
72,c$1
72,at
72,ai$0$1
72,ac$1
72,d$0
72,s$0
72,s$0
72,aa
72,am
72,i
72,ab
72,q$0
72,p
72,al$0
72,o
72,w$1
72,k
72,z$0
72,ai$1
72,ad
72,al$1
72,n$0
72,d$1
72,z$1
72,c$0
74,j
74,q$1
74,h
