,event,case
0,c,0
1,h,0
2,j,0
3,af,0
4,ao,0
5,m,0
6,d,0
7,a,0
8,g,0
9,ag,0
10,an,0
11,b,0
12,y,0
13,ae,0
14,ac,0
15,f,0
16,as,1
17,b,1
18,c,1
19,q,1
20,m,1
21,s,1
22,g,1
23,af,1
24,j,1
25,d,1
26,am,1
27,ae,1
28,ao,1
29,h,1
30,x,1
31,an,1
32,ah,1
33,ag,1
34,ac,1
35,p,1
36,y,1
37,v,1
38,j,2
39,d,2
40,an,2
41,m,2
42,n,2
43,s,2
44,b,2
45,as,2
46,af,2
47,c,2
48,q,2
49,am,2
50,ao,2
51,y,2
52,h,2
53,c,3
54,q,3
55,af,3
56,j,3
57,an,3
58,b,3
59,as,3
60,m,3
61,ao,3
62,g,3
63,h,3
64,d,3
65,y,3
66,s,3
67,ae,3
68,am,3
69,ai,3
70,ah,3
71,o,3
72,v,3
73,ag,3
74,ac,3
75,d,4
76,a,4
77,m,4
78,b,4
79,j,4
80,af,4
81,ao,4
82,f,4
83,g,4
84,y,4
85,c,4
86,an,4
87,v,4
88,ae,4
89,h,4
90,ah,4
91,ag,4
92,u,4
93,ak,4
94,p,4
95,b,5
96,g,5
97,aq,5
98,ae,5
99,am,5
100,c,5
101,d,5
102,af,5
103,h,5
104,m,5
105,j,5
106,q,5
107,ah,5
108,ag,5
109,ao,5
110,ac,5
111,x,5
112,an,5
113,y,5
114,v,5
115,a,6
116,al,6
117,i,6
118,g,6
119,c,6
120,h,6
121,d,6
122,t,6
123,j,6
124,f,6
125,b,6
126,af,6
127,ad,6
128,ao,6
129,ae,6
130,an,6
131,ag,6
132,ah,6
133,u,6
134,y,6
135,ak,6
136,v,6
137,p,6
138,af,7
139,b,7
140,s,7
141,j,7
142,q,7
143,m,7
144,c,7
145,h,7
146,ao,7
147,g,7
148,ae,7
149,d,7
150,an,7
151,ag,7
152,y,7
153,as,7
154,ac,7
155,v,7
156,ah,7
157,am,7
158,o,7
159,ai,7
160,d,8
161,af,8
162,j,8
163,m,8
164,aq,8
165,an,8
166,ao,8
167,c,8
168,b,8
169,g,8
170,y,8
171,q,8
172,v,8
173,h,8
174,ae,8
175,ag,8
176,am,8
177,x,8
