,event,case
0,0,0
1,0,1
2,1,2
3,0,3
4,1,4
5,1,5
6,1,6
7,1,7
8,0,8
9,1,9
10,0,10
11,0,11
12,1,12
13,1,13
14,0,14
15,1,15
16,0,16
17,0,17
18,1,18
19,1,19
20,1,20
21,1,21
22,0,22
23,1,23
24,1,24
25,0,25
26,1,26
27,1,27
28,0,28
29,1,29
30,1,30
31,0,31
32,0,32
33,1,33
34,1,34
35,1,35
36,0,36
37,1,37
38,1,38
39,0,39
40,0,40
41,1,41
42,1,42
43,0,43
44,1,44
45,0,45
46,1,46
47,0,47
48,0,48
49,1,49
50,1,50
51,0,51
52,1,52
53,0,53
54,1,54
55,1,55
56,0,56
57,1,57
58,0,58
59,1,59
60,1,60
61,1,61
62,1,62
63,0,63
64,1,64
65,0,65
66,1,66
67,1,67
68,0,68
69,0,69
70,1,70
71,0,71
72,0,72
73,0,73
74,1,74
75,1,75
76,0,76
77,0,77
78,0,78
79,1,79
80,1,80
81,1,81
82,1,82
83,0,83
84,1,84
85,1,85
86,1,86
87,1,87
88,1,88
89,0,89
90,0,90
91,0,91
92,0,92
93,1,93
94,0,94
95,0,95
96,1,96
97,1,97
98,0,98
99,1,99
100,0,100
101,1,101
102,1,102
103,1,103
104,0,104
105,1,105
106,1,106
107,1,107
108,0,108
109,1,109
110,1,110
111,0,111
112,1,112
113,0,113
114,1,114
115,1,115
116,1,116
117,0,117
118,1,118
119,1,119
120,0,120
121,0,121
122,1,122
123,0,123
124,0,124
125,0,125
126,0,126
127,1,127
128,0,128
129,0,129
130,0,130
131,0,131
132,1,132
133,1,133
134,1,134
135,0,135
136,0,136
137,0,137
138,1,138
139,1,139
140,1,140
141,1,141
142,1,142
143,0,143
144,1,144
145,0,145
146,0,146
147,0,147
148,1,148
149,0,149
150,0,150
151,0,151
152,1,152
153,1,153
154,0,154
155,1,155
156,0,156
157,1,157
158,1,158
159,0,159
160,1,160
161,0,161
162,1,162
163,1,163
164,1,164
165,1,165
166,1,166
167,0,167
168,0,168
169,0,169
170,0,170
171,1,171
172,1,172
173,1,173
174,0,174
175,1,175
176,0,176
177,1,177
178,0,178
179,0,179
180,0,180
181,1,181
182,1,182
183,1,183
184,1,184
185,1,185
186,1,186
187,1,187
188,1,188
189,1,189
190,0,190
191,1,191
192,0,192
193,1,193
194,1,194
195,1,195
196,0,196
197,1,197
198,0,198
199,1,199
200,0,200
201,1,201
202,1,202
203,0,203
204,0,204
205,0,205
206,1,206
207,1,207
208,1,208
209,1,209
210,0,210
211,1,211
212,0,212
213,1,213
214,1,214
215,1,215
216,0,216
217,0,217
218,1,218
219,0,219
220,0,220
221,0,221
222,1,222
223,0,223
224,0,224
225,0,225
226,1,226
227,0,227
228,1,228
229,0,229
230,0,230
231,1,231
232,1,232
233,1,233
234,0,234
235,0,235
236,0,236
237,0,237
238,1,238
239,0,239
240,1,240
241,0,241
242,1,242
243,0,243
244,1,244
245,0,245
246,0,246
247,0,247
248,1,248
249,0,249
250,0,250
251,0,251
252,0,252
253,0,253
254,0,254
255,0,255
256,0,256
257,0,257
258,0,258
259,0,259
260,0,260
261,1,261
262,0,262
263,0,263
264,0,264
265,1,265
266,1,266
267,1,267
268,1,268
269,1,269
270,0,270
271,0,271
272,0,272
273,1,273
274,0,274
275,1,275
276,1,276
277,1,277
278,1,278
279,0,279
280,1,280
281,0,281
282,0,282
283,0,283
284,1,284
285,0,285
286,0,286
287,1,287
288,1,288
289,1,289
290,0,290
291,1,291
292,1,292
293,0,293
294,1,294
295,0,295
296,1,296
297,1,297
298,0,298
299,0,299
300,1,300
301,0,301
302,0,302
303,0,303
304,0,304
305,0,305
306,0,306
307,0,307
308,1,308
