Result of replaying 08719580-c17b-40c0-89ea-81800b420bf9 on Anonymous log imported from feb-log9-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"31",1,Yes,"9,562.00","4.00","342.00","32.00","2,061.00","0.97","0.89","38.00","0.91","32.00","3,850.00",[M-INVI]tau split|[L/M]ak|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]a|[M-INVI]tau start|[M-INVI]tau start|[L/M]w|[M-INVI]tau from tree|[L/M]s|[L/M]aa|[L/M]ab|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]d|[L/M]h|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]d|[M-INVI]tau split|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]ai|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau start|[M-INVI]tau start|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]o|[L]z|[L/M]w|[M-INVI]tau split|[L]k|[L/M]k|[M-REAL]z|[M-INVI]tau split|[M-INVI]tau start|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau start|[L/M]n|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c|[L]z
2,"16",1,Yes,"1,751.00","1.00","86.00","32.00","338.00","1.00","0.97","38.00","0.97","32.00","1,040.00",[M-INVI]tau split|[L/M]ak|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]j|[M-INVI]tau start|[M-INVI]tau start|[L/M]ah|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]w|[L/M]h|[L/M]aa|[L/M]ab|[M-INVI]tau from tree|[L/M]ai|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]d|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]d|[M-INVI]tau split|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau start|[M-INVI]tau start|[L/M]al|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L]p|[L/M]z|[L/M]k|[M-INVI]tau split|[L/M]ad|[M-INVI]tau start|[L/M]ai|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]z|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]z|[L/M]d|[M-INVI]tau start|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c
3,"39",1,Yes,"5,874.00","3.00","129.00","27.00","1,078.00","0.96","0.91","33.00","0.93","27.00","2,134.00",[M-INVI]tau split|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau start|[M-INVI]tau start|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]j|[M-INVI]tau start|[M-INVI]tau start|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau start|[M-INVI]tau start|[L/M]g|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau start|[M-INVI]tau start|[L/M]al|[L/M]h|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L]o|[L/M]s|[L/M]aa|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]ai|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]w|[M-INVI]tau from tree|[L]k|[L/M]ac|[L/M]ab|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[M-REAL]k|[L/M]z|[M-INVI]tau split|[M-INVI]tau start|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]z|[L/M]d|[M-INVI]tau start|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c
4,"3",1,Yes,"2,133.00","1.00","104.00","29.00","353.00","1.00","0.97","35.00","0.97","29.00","1,355.00",[M-INVI]tau split|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]aj|[M-INVI]tau start|[M-INVI]tau start|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]aj|[M-INVI]tau start|[M-INVI]tau start|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[L/M]aa|[L/M]h|[M-INVI]tau start|[M-INVI]tau start|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]ai|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L]o|[L/M]ab|[L/M]w|[M-INVI]tau from tree|[L/M]ac|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau split|[L/M]ad|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]d|[L/M]z|[M-INVI]tau start|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c
5,"4",1,Yes,"5,340.00","3.00","191.00","31.00","1,053.00","0.97","0.92","37.00","0.94","31.00","2,107.00",[M-INVI]tau split|[L/M]j|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]ak|[M-INVI]tau start|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]w|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[L/M]aa|[L]h|[L/M]h|[L/M]ab|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau start|[M-INVI]tau start|[L/M]g|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]ai|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]w|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]o|[M-REAL]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau split|[M-INVI]tau start|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau start|[L/M]n|[M-INVI]tau from tree|[L/M]n|[L/M]d|[L/M]z|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c|[L]c
6,"38",1,Yes,"1,205.00","0.00","46.00","29.00","214.00","1.00","1.00","35.00","1.00","29.00","731.00",[M-INVI]tau split|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]ak|[M-INVI]tau start|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]j|[M-INVI]tau start|[M-INVI]tau start|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]w|[L/M]h|[M-INVI]tau from tree|[L/M]ai|[L/M]aa|[L/M]ab|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]d|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]g|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau start|[M-INVI]tau start|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]z|[L/M]k|[M-INVI]tau split|[M-INVI]tau start|[L/M]ai|[L/M]ad|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]z|[M-INVI]tau start|[L/M]n|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c
7,"20",1,Yes,"2,023.00","1.00","48.00","27.00","349.00","0.96","0.97","33.00","1.00","27.00","1,104.00",[M-INVI]tau split|[M-REAL]aa|[L/M]h|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau start|[M-INVI]tau start|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]ai|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau start|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[L/M]ab|[M-INVI]tau start|[M-INVI]tau start|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[L/M]z|[M-INVI]tau split|[L/M]ad|[L/M]al|[M-INVI]tau start|[L/M]ai|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau start|[L/M]n|[L/M]z|[L/M]d|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c
8,"33",1,Yes,"2,733.00","2.00","121.00","24.00","462.00","0.96","0.93","30.00","0.96","24.00","1,489.00",[M-INVI]tau split|[L/M]f|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]j|[M-INVI]tau start|[M-INVI]tau start|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]g|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[L/M]h|[M-INVI]tau start|[M-INVI]tau start|[L/M]ai|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]p|[L/M]aa|[L/M]ab|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]w|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]k|[M-REAL]z|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ai|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau start|[L]al|[L/M]d|[L/M]n|[L/M]z|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c
9,"7",1,Yes,"10,533.00","4.00","332.00","28.00","2,143.00","0.96","0.88","34.00","0.89","28.00","3,743.00",[M-INVI]tau split|[L/M]ak|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]a|[M-INVI]tau start|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]w|[M-INVI]tau from tree|[L/M]at|[L/M]h|[L/M]aa|[L/M]ab|[M-INVI]tau from tree|[L/M]ai|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]d|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau split|[M-INVI]tau start|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]i|[M-INVI]tau from tree|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]k|[M-REAL]z|[M-INVI]tau split|[L/M]ad|[M-INVI]tau start|[L/M]ai|[M-INVI]tau from tree|[L]ad|[L]d|[L/M]al|[M-INVI]tau join|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c|[L]z
10,"21",1,Yes,"1,255.00","0.00","26.00","28.00","217.00","1.00","1.00","34.00","1.00","28.00","784.00",[M-INVI]tau split|[L/M]ak|[M-INVI]tau start|[M-INVI]tau start|[L/M]ah|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]a|[L/M]h|[M-INVI]tau start|[M-INVI]tau start|[L/M]w|[M-INVI]tau from tree|[L/M]d|[M-INVI]tau split|[L/M]aj|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]am|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]ai|[L/M]aa|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]s|[L/M]ab|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau start|[L/M]ac|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]q|[M-INVI]tau start|[M-INVI]tau start|[L/M]p|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[L/M]al|[M-INVI]tau split|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]o|[L/M]w|[M-INVI]tau split|[L/M]z|[L/M]k|[M-INVI]tau split|[L/M]ad|[M-INVI]tau start|[L/M]ai|[L/M]al|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau split|[L/M]z|[L/M]d|[M-INVI]tau start|[L/M]n|[M-INVI]tau from tree|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau join|[L/M]c
